date,object,value
2016-07-01,retirement_charges,5330
2016-10-01,retirement_charges,5013
2017-01-01,retirement_charges,5934
2017-04-01,retirement_charges,6138
2017-07-01,retirement_charges,5445
2017-10-01,retirement_charges,5283
2018-01-01,retirement_charges,6321
2018-04-01,retirement_charges,6741
2018-07-01,retirement_charges,6002
2018-10-01,retirement_charges,6113
2019-01-01,retirement_charges,7004
2019-04-01,retirement_charges,6375
2019-07-01,retirement_charges,6255
2019-10-01,retirement_charges,6260
2020-01-01,retirement_charges,7424
2020-04-01,retirement_charges,7102
2020-07-01,retirement_charges,6545
2020-10-01,retirement_charges,6462
2021-01-01,retirement_charges,7960
2021-04-01,retirement_charges,7337
2021-07-01,retirement_charges,6901
2021-10-01,retirement_charges,6896
2022-01-01,retirement_charges,8400
2022-04-01,retirement_charges,7729
2022-07-01,retirement_charges,7714
2022-10-01,retirement_charges,7554
2023-01-01,retirement_charges,9358
2023-04-01,retirement_charges,8373
2023-07-01,retirement_charges,8291
2023-10-01,retirement_charges,8057
2024-01-01,retirement_charges,10353
1999-01-01,debt_service,1100
1999-04-01,debt_service,2105
1999-07-01,debt_service,1630
1999-10-01,debt_service,3106
2000-01-01,debt_service,799
2000-04-01,debt_service,2730
2000-07-01,debt_service,2069
2000-10-01,debt_service,3457
2001-01-01,debt_service,1213
2001-04-01,debt_service,2690
2001-07-01,debt_service,1860
2001-10-01,debt_service,3871
2002-01-01,debt_service,2699
2002-04-01,debt_service,3053
2002-07-01,debt_service,1905
2002-10-01,debt_service,2012
2003-01-01,debt_service,1377
2003-04-01,debt_service,3516
2003-07-01,debt_service,2443
2003-10-01,debt_service,3210
2004-01-01,debt_service,1867
2004-04-01,debt_service,3198
2004-07-01,debt_service,2410
2004-10-01,debt_service,3444
2005-01-01,debt_service,2587
2005-04-01,debt_service,3024
2005-07-01,debt_service,2927
2005-10-01,debt_service,3067
2006-01-01,debt_service,3228
2006-04-01,debt_service,2740
2006-07-01,debt_service,3244
2006-10-01,debt_service,3284
2007-01-01,debt_service,3067
2007-04-01,debt_service,3036
2007-07-01,debt_service,3040
2007-10-01,debt_service,3768
2008-01-01,debt_service,3365
2008-04-01,debt_service,2615
2008-07-01,debt_service,3646
2008-10-01,debt_service,3170
2009-01-01,debt_service,3598
2009-04-01,debt_service,3157
2009-07-01,debt_service,3581
2009-10-01,debt_service,3885
2010-01-01,debt_service,3297
2010-04-01,debt_service,3111
2010-07-01,debt_service,5245
2010-10-01,debt_service,3968
2011-01-01,debt_service,4493
2011-04-01,debt_service,3409
2011-07-01,debt_service,5279
2011-10-01,debt_service,4536
2012-01-01,debt_service,4659
2012-04-01,debt_service,4450
2012-07-01,debt_service,5117
2012-10-01,debt_service,5312
2013-01-01,debt_service,4539
2013-04-01,debt_service,5299
2013-07-01,debt_service,5954
2013-10-01,debt_service,4984
2014-01-01,debt_service,6222
2014-04-01,debt_service,4580
2014-07-01,debt_service,6761
2014-10-01,debt_service,5025
2015-01-01,debt_service,5817
2015-04-01,debt_service,5690
2015-07-01,debt_service,7119
2015-10-01,debt_service,5657
2016-01-01,debt_service,6870
2016-04-01,debt_service,5669
2016-07-01,debt_service,7589
2016-10-01,debt_service,6352
2017-01-01,debt_service,7199
2017-04-01,debt_service,6262
2017-07-01,debt_service,6084
2017-10-01,debt_service,8319
2018-01-01,debt_service,6004
2018-04-01,debt_service,8623
2018-07-01,debt_service,6310
2018-10-01,debt_service,9611
2019-01-01,debt_service,6107
2019-04-01,debt_service,9519
2019-07-01,debt_service,8675
2019-10-01,debt_service,8632
2020-01-01,debt_service,8621
2020-04-01,debt_service,8189
2020-07-01,debt_service,9100
2020-10-01,debt_service,8585
2021-01-01,debt_service,9262
2021-04-01,debt_service,9133
2021-07-01,debt_service,9495
2021-10-01,debt_service,10179
2022-01-01,debt_service,9140
2022-04-01,debt_service,10686
2022-07-01,debt_service,9363
2022-10-01,debt_service,12081
2023-01-01,debt_service,9467
2023-04-01,debt_service,12771
2023-07-01,debt_service,7577
2023-10-01,debt_service,16516
2024-01-01,debt_service,7690
1999-01-01,debt_service_dom,1060
1999-04-01,debt_service_dom,1926
1999-07-01,debt_service_dom,1358
1999-10-01,debt_service_dom,2713
2000-01-01,debt_service_dom,670
2000-04-01,debt_service_dom,2333
2000-07-01,debt_service_dom,1951
2000-10-01,debt_service_dom,2914
2001-01-01,debt_service_dom,1104
2001-04-01,debt_service_dom,2327
2001-07-01,debt_service_dom,1740
2001-10-01,debt_service_dom,3313
2002-01-01,debt_service_dom,2435
2002-04-01,debt_service_dom,2694
2002-07-01,debt_service_dom,1550
2002-10-01,debt_service_dom,1298
2003-01-01,debt_service_dom,963
2003-04-01,debt_service_dom,3092
2003-07-01,debt_service_dom,2043
2003-10-01,debt_service_dom,2565
2004-01-01,debt_service_dom,1508
2004-04-01,debt_service_dom,2807
2004-07-01,debt_service_dom,2006
2004-10-01,debt_service_dom,2840
2005-01-01,debt_service_dom,2186
2005-04-01,debt_service_dom,2668
2005-07-01,debt_service_dom,2526
2005-10-01,debt_service_dom,2494
2006-01-01,debt_service_dom,2833
2006-04-01,debt_service_dom,2387
2006-07-01,debt_service_dom,2868
2006-10-01,debt_service_dom,2902
2007-01-01,debt_service_dom,2679
2007-04-01,debt_service_dom,2709
2007-07-01,debt_service_dom,2668
2007-10-01,debt_service_dom,3429
2008-01-01,debt_service_dom,3077
2008-04-01,debt_service_dom,2346
2008-07-01,debt_service_dom,3362
2008-10-01,debt_service_dom,2858
2009-01-01,debt_service_dom,3299
2009-04-01,debt_service_dom,2883
2009-07-01,debt_service_dom,3285
2009-10-01,debt_service_dom,3846
2010-01-01,debt_service_dom,3040
2010-04-01,debt_service_dom,3080
2010-07-01,debt_service_dom,4989
2010-10-01,debt_service_dom,3854
2011-01-01,debt_service_dom,4259
2011-04-01,debt_service_dom,3306
2011-07-01,debt_service_dom,5041
2011-10-01,debt_service_dom,4427
2012-01-01,debt_service_dom,4510
2012-04-01,debt_service_dom,4347
2012-07-01,debt_service_dom,4968
2012-10-01,debt_service_dom,5211
2013-01-01,debt_service_dom,4401
