state,district,stage,sex,date,teachers
Johor,Kluang,secondary,both,2018-01-01,1960
Johor,Kluang,secondary,both,2019-01-01,1960
Johor,Kluang,secondary,both,2020-01-01,1923
Johor,Kluang,secondary,both,2021-01-01,1866
Johor,Kluang,secondary,both,2022-01-01,1891
Johor,Kluang,secondary,both,2023-06-30,1872
Johor,Kluang,secondary,both,2024-06-30,1889
Johor,Kluang,secondary,both,2025-06-30,1885
Johor,Kluang,secondary,female,2017-01-01,1316
Johor,Kluang,secondary,female,2018-01-01,1306
Johor,Kluang,secondary,female,2019-01-01,1322
Johor,Kluang,secondary,female,2020-01-01,1309
Johor,Kluang,secondary,female,2021-01-01,1272
Johor,Kluang,secondary,female,2022-01-01,1304
Johor,Kluang,secondary,female,2023-06-30,1300
Johor,Kluang,secondary,female,2024-06-30,1328
Johor,Kluang,secondary,female,2025-06-30,1338
Johor,Kluang,secondary,male,2017-01-01,676
Johor,Kluang,secondary,male,2018-01-01,654
Johor,Kluang,secondary,male,2019-01-01,638
Johor,Kluang,secondary,male,2020-01-01,614
Johor,Kluang,secondary,male,2021-01-01,594
Johor,Kluang,secondary,male,2022-01-01,587
Johor,Kluang,secondary,male,2023-06-30,572
Johor,Kluang,secondary,male,2024-06-30,561
Johor,Kluang,secondary,male,2025-06-30,547
Johor,Kota Tinggi,primary,both,2017-01-01,1782
Johor,Kota Tinggi,primary,both,2018-01-01,2213
Johor,Kota Tinggi,primary,both,2019-01-01,2150
Johor,Kota Tinggi,primary,both,2020-01-01,2181
Johor,Kota Tinggi,primary,both,2021-01-01,2145
Johor,Kota Tinggi,primary,both,2022-01-01,2103
Johor,Kota Tinggi,primary,both,2023-06-30,1810
Johor,Kota Tinggi,primary,both,2024-06-30,1875
Johor,Kota Tinggi,primary,both,2025-06-30,1902
Johor,Kota Tinggi,primary,female,2017-01-01,1152
Johor,Kota Tinggi,primary,female,2018-01-01,1439
Johor,Kota Tinggi,primary,female,2019-01-01,1398
Johor,Kota Tinggi,primary,female,2020-01-01,1412
Johor,Kota Tinggi,primary,female,2021-01-01,1416
Johor,Kota Tinggi,primary,female,2022-01-01,1432
Johor,Kota Tinggi,primary,female,2023-06-30,1229
Johor,Kota Tinggi,primary,female,2024-06-30,1262
Johor,Kota Tinggi,primary,female,2025-06-30,1286
Johor,Kota Tinggi,primary,male,2017-01-01,630
Johor,Kota Tinggi,primary,male,2018-01-01,774
Johor,Kota Tinggi,primary,male,2019-01-01,752
Johor,Kota Tinggi,primary,male,2020-01-01,769
Johor,Kota Tinggi,primary,male,2021-01-01,729
Johor,Kota Tinggi,primary,male,2022-01-01,671
Johor,Kota Tinggi,primary,male,2023-06-30,581
Johor,Kota Tinggi,primary,male,2024-06-30,613
Johor,Kota Tinggi,primary,male,2025-06-30,616
Johor,Kota Tinggi,secondary,both,2017-01-01,1497
Johor,Kota Tinggi,secondary,both,2018-01-01,1799
Johor,Kota Tinggi,secondary,both,2019-01-01,1772
Johor,Kota Tinggi,secondary,both,2020-01-01,1740
Johor,Kota Tinggi,secondary,both,2021-01-01,1735
Johor,Kota Tinggi,secondary,both,2022-01-01,1764
Johor,Kota Tinggi,secondary,both,2023-06-30,1452
Johor,Kota Tinggi,secondary,both,2024-06-30,1470
Johor,Kota Tinggi,secondary,both,2025-06-30,1462
