arrest_types,date,sex,ethnicity,drug_arrests
supply,2020-01-01,both,others,1223
supply,2020-01-01,male,others,1056
supply,2020-01-01,female,others,167
posses,2020-01-01,both,others,4373
posses,2020-01-01,male,others,4014
posses,2020-01-01,female,others,359
urine_positive,2020-01-01,both,others,9093
urine_positive,2020-01-01,male,others,8443
urine_positive,2020-01-01,female,others,650
overall,2021-01-01,both,others,12921
overall,2021-01-01,male,others,12008
overall,2021-01-01,female,others,913
supply,2021-01-01,both,others,1431
supply,2021-01-01,male,others,1268
supply,2021-01-01,female,others,163
posses,2021-01-01,both,others,4422
posses,2021-01-01,male,others,4117
posses,2021-01-01,female,others,305
urine_positive,2021-01-01,both,others,7068
urine_positive,2021-01-01,male,others,6623
urine_positive,2021-01-01,female,others,445
overall,2022-01-01,both,others,18396
overall,2022-01-01,male,others,17302
overall,2022-01-01,female,others,1094
supply,2022-01-01,both,others,1592
supply,2022-01-01,male,others,1439
supply,2022-01-01,female,others,153
posses,2022-01-01,both,others,6537
posses,2022-01-01,male,others,6162
posses,2022-01-01,female,others,375
urine_positive,2022-01-01,both,others,10267
urine_positive,2022-01-01,male,others,9701
urine_positive,2022-01-01,female,others,566
overall,2023-01-01,both,others,20916
overall,2023-01-01,male,others,19638
overall,2023-01-01,female,others,1278
supply,2023-01-01,both,others,1597
supply,2023-01-01,male,others,1463
supply,2023-01-01,female,others,134
posses,2023-01-01,both,others,6924
posses,2023-01-01,male,others,6534
posses,2023-01-01,female,others,390
urine_positive,2023-01-01,both,others,12395
urine_positive,2023-01-01,male,others,11641
urine_positive,2023-01-01,female,others,754
overall,2019-01-01,both,non_citizens,28348
overall,2019-01-01,male,non_citizens,26471
overall,2019-01-01,female,non_citizens,1877
supply,2019-01-01,both,non_citizens,1495
supply,2019-01-01,male,non_citizens,1180
supply,2019-01-01,female,non_citizens,315
posses,2019-01-01,both,non_citizens,3922
posses,2019-01-01,male,non_citizens,3419
posses,2019-01-01,female,non_citizens,503
urine_positive,2019-01-01,both,non_citizens,5965
urine_positive,2019-01-01,male,non_citizens,5369
urine_positive,2019-01-01,female,non_citizens,596
overall,2020-01-01,both,non_citizens,23369
overall,2020-01-01,male,non_citizens,21704
overall,2020-01-01,female,non_citizens,1665
supply,2020-01-01,both,non_citizens,1246
supply,2020-01-01,male,non_citizens,929
supply,2020-01-01,female,non_citizens,317
posses,2020-01-01,both,non_citizens,2686
posses,2020-01-01,male,non_citizens,2319
posses,2020-01-01,female,non_citizens,367
urine_positive,2020-01-01,both,non_citizens,3385
urine_positive,2020-01-01,male,non_citizens,2882
urine_positive,2020-01-01,female,non_citizens,503
overall,2021-01-01,both,non_citizens,5569
overall,2021-01-01,male,non_citizens,4702
overall,2021-01-01,female,non_citizens,867
supply,2021-01-01,both,non_citizens,1124
supply,2021-01-01,male,non_citizens,846
supply,2021-01-01,female,non_citizens,278
posses,2021-01-01,both,non_citizens,2411
posses,2021-01-01,male,non_citizens,2124
posses,2021-01-01,female,non_citizens,287
urine_positive,2021-01-01,both,non_citizens,2034
urine_positive,2021-01-01,male,non_citizens,1732
urine_positive,2021-01-01,female,non_citizens,302
overall,2022-01-01,both,non_citizens,8610
overall,2022-01-01,male,non_citizens,7561
overall,2022-01-01,female,non_citizens,1049
supply,2022-01-01,both,non_citizens,1445
