date,volume,value
2022-10-21,13112,156256089.36
2022-10-25,63295,297556546.93
2022-10-26,40073,432215207.69
2022-10-27,102277,237708710.62
2022-10-28,59418,238902475.54
2022-10-31,28983,394705975.89
2022-11-01,73225,323726796.97
2022-11-02,72877,316574410.43
2022-11-03,32321,184718318.15
2022-11-04,27092,223734150.46
2022-11-07,69587,220901820.37
2022-11-08,34228,271593933.35
2022-11-09,52332,326800128.48
2022-11-10,177133,278248109.62
2022-11-11,61821,193851122.52
2022-11-14,18965,254144104.71
2022-11-15,29188,329137017.35
2022-11-16,42616,236173002.04
2022-11-17,12045,219210950.14
2022-11-21,25169,249244722.16
2022-11-22,26015,354004520.85
2022-11-23,53121,245428555.79
2022-11-24,8615,180869958.39
2022-11-25,17440,207622656.29
2022-11-29,165769,403385861.31
2022-11-30,45464,546582168.97
2022-12-01,37187,246017200.79
2022-12-02,116000,301766454.83
2022-12-05,61609,243466154.6
2022-12-06,67829,382611680.04
2022-12-07,40088,259832886.91
2022-12-08,39244,213248992.07
2022-12-09,24843,234894339.62
2022-12-12,202974,277283680.04
2022-12-13,26007,348993253.32
2022-12-14,26928,280335596.47
2022-12-15,31284,230648642.62
2022-12-16,19935,163362591.79
2022-12-19,25243,202245557.48
2022-12-20,12151,341083495.7
2022-12-21,40361,246965611.42
2022-12-22,22481,172866993.38
2022-12-23,18291,208095749.44
2022-12-27,105834,310468320.66
2022-12-28,62748,415334512.76
2022-12-29,62204,445929960.54
2022-12-30,25274,208997369.35
2023-01-03,115127,286815832.47
2023-01-04,61536,445963454.89
2023-01-05,105096,347231923.37
2023-01-06,21398,185859157.45
2023-01-09,47325,295471795.54
2023-01-10,148211,393678601.43
2023-01-11,95883,304287662.02
2023-01-12,19253,246371495.72
2023-01-13,10140,214270124.89
2023-01-16,54532,298489227.35
2023-01-17,15981,309305843.81
2023-01-18,34229,222700792.48
2023-01-19,8548,237967044.06
2023-01-20,12526,169190606.19
2023-01-25,76304,239889347.01
2023-01-26,57799,379810239.42
2023-01-27,91455,253062545.73
2023-01-30,99807,352387380.75
2023-01-31,10186,410145750.44
2023-02-02,150284,357444542.48
2023-02-03,55842,282122605.35
2023-02-07,43031,379714865.71
2023-02-08,83194,474072823.77
2023-02-09,46136,277727863.42
2023-02-10,172116,286600528.81
2023-02-13,64629,326074901.73
2023-02-14,10807,354983925.0
2023-02-15,48325,347073456.29
2023-02-16,23565,218655656.64
2023-02-17,11468,142996098.68
2023-02-20,20948,174054662.72
2023-02-21,14692,287165948.62
2023-02-22,30409,253450352.01
2023-02-23,12398,199317589.96
2023-02-24,32167,208508138.46
2023-02-27,142527,287449285.92
2023-02-28,72371,365574754.11
2023-03-01,68690,485580580.61
2023-03-02,120416,284496377.77
2023-03-03,54191,207827246.65
2023-03-06,83092,235997886.23
2023-03-07,24996,432366508.77
2023-03-08,53168,250242514.96
2023-03-09,33469,277625757.59
2023-03-10,201192,230879450.75
2023-03-13,52646,269035085.55
2023-03-14,10111,386125468.26
2023-03-15,46576,280362168.0
2023-03-16,19566,154959306.2
2023-03-17,11168,140851308.83
2023-03-20,21281,221786904.47
2023-03-21,15893,266559801.75
2023-03-22,43176,276372822.48
2023-03-23,13951,174727291.5
2023-03-24,44522,165703518.73
2023-03-27,123377,210290893.38
2023-03-28,66049,335724842.77
2023-03-29,47563,307524603.55
2023-03-30,9811,798329215.22
2023-03-31,8118,276219273.26
2023-04-03,127733,258191347.72
2023-04-04,41950,379393635.91
2023-04-05,118228,398021508.77
2023-04-06,33250,192536791.18
2023-04-07,22591,199546262.71
2023-04-10,149885,232087311.52
2023-04-11,75260,306997756.95
2023-04-12,66381,365346605.75
2023-04-13,11816,370388450.49
2023-04-14,10435,189983594.89
2023-04-17,65610,245754544.72
2023-04-18,34625,317448090.67
2023-04-19,37550,268452712.56
2023-04-20,9825,225407922.41
2023-04-25,89325,299138213.73
2023-04-26,47441,408549514.1
2023-04-27,102819,335572671.7
2023-04-28,65902,214738289.07
2023-05-02,142697,375806741.25
2023-05-03,103769,426878540.85
2023-05-05,84870,573110107.32
2023-05-08,53027,289564424.42
2023-05-09,18809,423521736.6
2023-05-10,212303,356348627.52
2023-05-11,43266,254123105.19
2023-05-12,9564,235521730.42
2023-05-15,42994,303043960.52
2023-05-16,21254,341093114.91
2023-05-17,28020,240799476.27
2023-05-18,12237,190390270.15
2023-05-19,7743,150960787.29
2023-05-22,35532,235027452.23
2023-05-23,24447,311154365.95
2023-05-24,38595,230332427.46
2023-05-25,34313,200714103.0
2023-05-26,67535,223171805.99
2023-05-29,129974,277129971.55
2023-05-30,40817,359747279.81
2023-05-31,22545,445194996.91
2023-06-01,76194,187635570.84
2023-06-02,83260,230612800.84
2023-06-06,79051,298430624.17
2023-06-07,73989,492678889.41
2023-06-08,60614,291583415.46
2023-06-09,22875,262689500.4
2023-06-12,221617,274903277.12
2023-06-13,22256,338387377.53
2023-06-14,29902,340996217.7
2023-06-15,31664,245715718.09
2023-06-16,18408,176684709.31
2023-06-19,19432,196973119.64
2023-06-20,18433,308835119.06
2023-06-21,35225,290864496.78
2023-06-22,19542,164260482.2
2023-06-23,19541,174797472.44
2023-06-26,103273,237025702.54
2023-06-27,85023,379042455.15
2023-06-28,105617,340708061.34
2023-06-30,29029,372762614.91
2023-07-03,142664,513742127.78
2023-07-04,57306,424644477.28
2023-07-05,55948,297730404.16
2023-07-06,53723,214253222.9
2023-07-07,46534,230815650.9
2023-07-10,197096,294647064.65
2023-07-11,66386,427835355.85
2023-07-12,43148,333578019.16
2023-07-13,11655,234947990.52
2023-07-14,15226,220972049.23
2023-07-17,47410,249407647.18
2023-07-18,12311,270704743.03
2023-07-20,33671,331904494.6
2023-07-21,16973,233740806.32
2023-07-24,34710,224670456.66
2023-07-25,37439,378973019.72
2023-07-26,67967,286983805.89
2023-07-27,108750,233282112.23
2023-07-28,72597,224639992.73
2023-07-31,32460,324267918.71
2023-08-01,78519,409850529.38
2023-08-02,100783,293159232.95
2023-08-03,56226,263919628.12
2023-08-04,33854,225808748.3
2023-08-07,76349,242950656.33
2023-08-08,38783,331267148.35
2023-08-09,44600,310339354.6
2023-08-10,187950,295737341.97
2023-08-11,47841,190337076.07
2023-08-14,21220,263394277.49
2023-08-15,26185,342877418.98
2023-08-16,40617,289843048.33
2023-08-17,8543,199984265.65
2023-08-18,10932,211948477.52
2023-08-21,24086,176439435.58
2023-08-22,28764,305617329.4
2023-08-23,39879,292059608.7
2023-08-24,25564,152694027.01
2023-08-25,66845,161724530.68
2023-08-28,126751,267728717.37
2023-08-29,60092,393494309.86
2023-08-30,29048,286378751.56
2023-09-01,67376,226788323.66
2023-09-04,148776,458204325.8
2023-09-05,65449,544234254.16
2023-09-06,64352,246388430.71
2023-09-07,132584,313608916.96
2023-09-08,241522,338461650.76
2023-09-11,483727,448359350.6
2023-09-12,36973,372015876.07
2023-09-13,33241,300594382.55
2023-09-14,11301,257119947.35
2023-09-15,36543,220199623.58
2023-09-18,25873,207370786.12
2023-09-19,18335,244100704.64
2023-09-20,21068,252715994.83
2023-09-21,28534,196482734.3
2023-09-22,9576,154575431.16
2023-09-25,56019,201376057.11
2023-09-26,84094,346720153.17
2023-09-27,131235,403315883.64
2023-09-29,71028,270971038.24
2023-10-02,137559,461014361.17
2023-10-03,84704,406372732.41
2023-10-04,63645,346317991.76
2023-10-05,68151,230054484.26
2023-10-06,23951,213524567.66
2023-10-09,37709,224646049.5
2023-10-10,189919,417515875.51
2023-10-11,74980,279888006.96
2023-10-12,17441,212812049.76
2023-10-13,12607,194836513.71
2023-10-16,43033,277565775.9
2023-10-17,15485,361835487.41
2023-10-18,30559,250186395.69
2023-10-19,12065,116629038.63
2023-10-20,14294,181232160.95
2023-10-23,30302,170293551.39
2023-10-24,10742,303584144.21
2023-10-25,125783,310709703.37
2023-10-26,25272,202779192.88
2023-10-30,103598,253818341.52
2023-10-31,10798,367600087.53
2023-11-01,127251,249573505.32
2023-11-02,70405,260739729.55
2023-11-03,61919,233350402.56
2023-11-06,86574,207013176.84
2023-11-07,36965,419897109.61
2023-11-08,42722,320575229.19
2023-11-09,28499,223367475.02
2023-11-10,188252,268632434.02
2023-11-14,73152,353991189.97
2023-11-15,31441,406637792.44
2023-11-16,35757,225185068.58
2023-11-17,10877,197972851.23
2023-11-20,28208,200853180.47
2023-11-21,23671,270223746.35
2023-11-22,31589,258744070.49
2023-11-23,14506,178557532.83
2023-11-24,68306,174326464.78
2023-11-27,122718,238213017.91
2023-11-28,86457,525447100.28
2023-11-29,52401,282607846.53
2023-11-30,13907,272075470.33
2023-12-01,82177,195323108.72
2023-12-04,116364,246246717.51
2023-12-05,78209,385035766.09
