date,state,parlimen,lf,lf_employed,lf_unemployed,lf_outside,u_rate,p_rate,ep_ratio
2023-01-01,Sarawak,P.202 Sri Aman,31.5,30.5,1.0,12.2,3.2,72.0,69.8
2021-01-01,Sarawak,P.203 Lubok Antu,14.7,14.2,0.5,6.9,4.0,68.2,65.7
2022-01-01,Sarawak,P.203 Lubok Antu,15.0,14.5,0.4,6.7,2.8,69.1,66.8
2023-01-01,Sarawak,P.203 Lubok Antu,13.0,12.7,0.3,5.5,2.4,70.4,68.6
2021-01-01,Sarawak,P.204 Betong,17.9,16.9,1.0,10.8,4.8,62.3,58.9
2022-01-01,Sarawak,P.204 Betong,18.0,17.0,1.0,10.8,5.4,62.5,59.0
2023-01-01,Sarawak,P.204 Betong,15.5,14.9,0.6,9.0,4.0,63.2,60.8
2021-01-01,Sarawak,P.205 Saratok,24.8,23.7,1.1,11.6,4.4,68.1,65.1
2022-01-01,Sarawak,P.205 Saratok,25.2,24.4,0.8,11.4,3.3,68.9,66.7
2023-01-01,Sarawak,P.205 Saratok,21.1,20.5,0.6,9.0,3.0,70.0,68.1
2021-01-01,Sarawak,P.206 Tanjong Manis,17.7,17.0,0.7,9.0,4.0,66.2,63.7
2022-01-01,Sarawak,P.206 Tanjong Manis,18.0,17.5,0.5,9.0,2.8,66.7,64.8
2023-01-01,Sarawak,P.206 Tanjong Manis,15.9,15.5,0.4,7.5,2.4,68.1,66.2
2021-01-01,Sarawak,P.207 Igan,14.9,13.9,1.0,7.6,5.9,66.2,61.8
2022-01-01,Sarawak,P.207 Igan,15.1,14.3,0.8,7.6,5.5,66.6,63.0
2023-01-01,Sarawak,P.207 Igan,13.1,12.5,0.7,6.3,5.1,67.7,64.4
2021-01-01,Sarawak,P.208 Sarikei,23.0,21.6,1.4,11.5,5.0,66.6,62.6
2022-01-01,Sarawak,P.208 Sarikei,23.3,22.1,1.1,11.4,4.9,67.0,63.7
2023-01-01,Sarawak,P.208 Sarikei,20.1,19.2,0.9,10.1,4.4,66.6,63.6
2021-01-01,Sarawak,P.209 Julau,19.3,18.2,1.1,7.4,4.8,72.3,68.2
2022-01-01,Sarawak,P.209 Julau,19.6,18.7,0.9,7.3,4.4,72.9,69.5
2023-01-01,Sarawak,P.209 Julau,17.4,16.7,0.7,7.2,4.0,70.8,67.9
2021-01-01,Sarawak,P.210 Kanowit,12.6,11.9,0.7,5.9,4.8,68.2,64.3
2022-01-01,Sarawak,P.210 Kanowit,12.8,12.3,0.6,5.7,4.4,69.3,66.5
2023-01-01,Sarawak,P.210 Kanowit,11.4,11.0,0.4,5.2,3.7,68.6,66.3
2021-01-01,Sarawak,P.211 Lanang,54.4,51.1,3.3,28.2,5.3,65.9,61.9
2022-01-01,Sarawak,P.211 Lanang,55.3,51.8,3.4,27.8,6.2,66.6,62.3
2023-01-01,Sarawak,P.211 Lanang,51.7,49.5,2.2,24.4,4.3,67.9,65.0
2021-01-01,Sarawak,P.212 Sibu,76.5,73.8,2.7,35.7,3.6,68.2,65.8
2022-01-01,Sarawak,P.212 Sibu,78.0,76.1,1.9,34.8,2.4,69.1,67.5
2023-01-01,Sarawak,P.212 Sibu,74.6,72.7,1.9,30.8,2.6,70.8,69.0
2021-01-01,Sarawak,P.213 Mukah,33.7,32.5,1.2,16.8,3.4,66.8,64.4
2022-01-01,Sarawak,P.213 Mukah,34.3,33.4,0.9,16.6,2.5,67.4,65.6
2023-01-01,Sarawak,P.213 Mukah,29.9,28.8,1.1,13.7,3.6,68.5,66.1
2021-01-01,Sarawak,P.214 Selangau,27.9,26.8,1.1,14.0,4.3,66.6,64.0
2022-01-01,Sarawak,P.214 Selangau,28.3,27.6,0.8,13.9,2.7,67.1,65.4
2023-01-01,Sarawak,P.214 Selangau,25.4,24.8,0.6,12.1,2.5,67.8,66.1
2021-01-01,Sarawak,P.215 Kapit,23.4,21.9,1.5,11.7,5.8,66.7,62.4
2022-01-01,Sarawak,P.215 Kapit,23.7,22.5,1.2,11.6,5.1,67.3,63.7
2023-01-01,Sarawak,P.215 Kapit,19.9,18.9,1.0,9.9,4.8,66.7,63.4
2021-01-01,Sarawak,P.216 Hulu Rajang,27.5,26.3,1.2,12.7,4.5,68.5,65.4
2022-01-01,Sarawak,P.216 Hulu Rajang,28.0,27.1,0.9,12.4,3.1,69.3,67.1
2023-01-01,Sarawak,P.216 Hulu Rajang,23.7,23.0,0.7,9.9,3.0,70.5,68.5
2021-01-01,Sarawak,P.217 Bintulu,137.5,133.0,4.6,58.0,3.5,70.4,68.0
2022-01-01,Sarawak,P.217 Bintulu,140.6,136.6,3.9,56.0,2.8,71.5,69.5
2023-01-01,Sarawak,P.217 Bintulu,131.5,128.3,3.2,49.5,2.5,72.7,70.9
2021-01-01,Sarawak,P.218 Sibuti,36.3,35.1,1.3,20.8,3.6,63.6,61.5
2022-01-01,Sarawak,P.218 Sibuti,37.1,35.8,1.3,20.4,3.6,64.6,62.3
2023-01-01,Sarawak,P.218 Sibuti,34.7,33.4,1.3,18.1,3.8,65.8,63.3
2021-01-01,Sarawak,P.219 Miri,116.5,112.8,3.7,55.3,3.1,67.8,65.7
2022-01-01,Sarawak,P.219 Miri,119.6,117.4,2.1,53.2,1.8,69.2,67.9
2023-01-01,Sarawak,P.219 Miri,111.7,109.2,2.6,46.0,2.3,70.8,69.2
2021-01-01,Sarawak,P.220 Baram,36.5,34.5,2.0,19.5,4.8,65.2,61.6
2022-01-01,Sarawak,P.220 Baram,37.4,35.8,1.7,18.9,4.4,66.5,63.6
2023-01-01,Sarawak,P.220 Baram,31.2,30.0,1.2,14.9,3.8,67.7,65.1
2021-01-01,Sarawak,P.221 Limbang,24.5,22.9,1.6,11.4,5.6,68.2,63.8
2022-01-01,Sarawak,P.221 Limbang,25.0,23.7,1.3,11.2,5.2,69.1,65.5
2023-01-01,Sarawak,P.221 Limbang,22.1,21.3,0.8,9.5,3.8,70.0,67.4
2021-01-01,Sarawak,P.222 Lawas,20.0,18.8,1.2,8.2,5.2,70.9,66.7
2022-01-01,Sarawak,P.222 Lawas,20.3,19.0,1.2,8.1,6.1,71.4,66.9
2023-01-01,Sarawak,P.222 Lawas,18.4,17.4,0.9,6.7,5.0,73.2,69.3
