year,state,jobs,addicts
2020-01-01,W.P. Putrajaya,jualan,4
2021-01-01,W.P. Putrajaya,jualan,6
2022-01-01,W.P. Putrajaya,jualan,3
2023-01-01,W.P. Putrajaya,jualan,
2016-01-01,Malaysia,penganggur,4533
2017-01-01,Malaysia,penganggur,4125
2018-01-01,Malaysia,penganggur,3650
2019-01-01,Malaysia,penganggur,3682
2020-01-01,Malaysia,penganggur,2953
2021-01-01,Malaysia,penganggur,2188
2022-01-01,Malaysia,penganggur,1869
2023-01-01,Malaysia,penganggur,1689
2020-01-01,Johor,penganggur,317
2021-01-01,Johor,penganggur,234
2022-01-01,Johor,penganggur,170
2023-01-01,Johor,penganggur,159
2020-01-01,Kedah,penganggur,402
2021-01-01,Kedah,penganggur,300
2022-01-01,Kedah,penganggur,310
2023-01-01,Kedah,penganggur,192
2020-01-01,Kelantan,penganggur,276
2021-01-01,Kelantan,penganggur,197
2022-01-01,Kelantan,penganggur,146
2023-01-01,Kelantan,penganggur,122
2020-01-01,Melaka,penganggur,78
2021-01-01,Melaka,penganggur,49
2022-01-01,Melaka,penganggur,37
2023-01-01,Melaka,penganggur,13
2020-01-01,Negeri Sembilan,penganggur,123
2021-01-01,Negeri Sembilan,penganggur,72
2022-01-01,Negeri Sembilan,penganggur,62
2023-01-01,Negeri Sembilan,penganggur,41
2020-01-01,Pahang,penganggur,216
2021-01-01,Pahang,penganggur,84
2022-01-01,Pahang,penganggur,100
2023-01-01,Pahang,penganggur,135
2020-01-01,Perak,penganggur,245
2021-01-01,Perak,penganggur,267
2022-01-01,Perak,penganggur,186
2023-01-01,Perak,penganggur,167
2020-01-01,Perlis,penganggur,19
2021-01-01,Perlis,penganggur,2
2022-01-01,Perlis,penganggur,8
2023-01-01,Perlis,penganggur,11
2020-01-01,Pulau Pinang,penganggur,98
2021-01-01,Pulau Pinang,penganggur,100
2022-01-01,Pulau Pinang,penganggur,86
2023-01-01,Pulau Pinang,penganggur,102
2020-01-01,Sabah,penganggur,209
2021-01-01,Sabah,penganggur,102
2022-01-01,Sabah,penganggur,38
2023-01-01,Sabah,penganggur,40
2020-01-01,Sarawak,penganggur,140
2021-01-01,Sarawak,penganggur,163
2022-01-01,Sarawak,penganggur,256
2023-01-01,Sarawak,penganggur,299
2020-01-01,Selangor,penganggur,229
2021-01-01,Selangor,penganggur,275
2022-01-01,Selangor,penganggur,165
2023-01-01,Selangor,penganggur,98
2020-01-01,Terengganu,penganggur,290
2021-01-01,Terengganu,penganggur,186
2022-01-01,Terengganu,penganggur,166
2023-01-01,Terengganu,penganggur,192
2020-01-01,W.P. Kuala Lumpur,penganggur,259
2021-01-01,W.P. Kuala Lumpur,penganggur,139
2022-01-01,W.P. Kuala Lumpur,penganggur,130
2023-01-01,W.P. Kuala Lumpur,penganggur,112
2020-01-01,W.P. Labuan,penganggur,44
2021-01-01,W.P. Labuan,penganggur,16
2022-01-01,W.P. Labuan,penganggur,9
2023-01-01,W.P. Labuan,penganggur,6
2020-01-01,W.P. Putrajaya,penganggur,8
2021-01-01,W.P. Putrajaya,penganggur,2
2022-01-01,W.P. Putrajaya,penganggur,
2023-01-01,W.P. Putrajaya,penganggur,
2016-01-01,Malaysia,pengangkutan,1230
2017-01-01,Malaysia,pengangkutan,950
2018-01-01,Malaysia,pengangkutan,940
2019-01-01,Malaysia,pengangkutan,1118
2020-01-01,Malaysia,pengangkutan,959
2021-01-01,Malaysia,pengangkutan,842
2022-01-01,Malaysia,pengangkutan,1294
2023-01-01,Malaysia,pengangkutan,
2020-01-01,Johor,pengangkutan,117
2021-01-01,Johor,pengangkutan,117
2022-01-01,Johor,pengangkutan,200
2023-01-01,Johor,pengangkutan,
2020-01-01,Kedah,pengangkutan,104
2021-01-01,Kedah,pengangkutan,65
2022-01-01,Kedah,pengangkutan,110
2023-01-01,Kedah,pengangkutan,
2020-01-01,Kelantan,pengangkutan,71
2021-01-01,Kelantan,pengangkutan,80
2022-01-01,Kelantan,pengangkutan,120
2023-01-01,Kelantan,pengangkutan,
2020-01-01,Melaka,pengangkutan,43
2021-01-01,Melaka,pengangkutan,23
2022-01-01,Melaka,pengangkutan,37
2023-01-01,Melaka,pengangkutan,
2020-01-01,Negeri Sembilan,pengangkutan,65
2021-01-01,Negeri Sembilan,pengangkutan,55
2022-01-01,Negeri Sembilan,pengangkutan,76
2023-01-01,Negeri Sembilan,pengangkutan,
2020-01-01,Pahang,pengangkutan,99
2021-01-01,Pahang,pengangkutan,60
2022-01-01,Pahang,pengangkutan,67
2023-01-01,Pahang,pengangkutan,
2020-01-01,Perak,pengangkutan,99
2021-01-01,Perak,pengangkutan,89
2022-01-01,Perak,pengangkutan,136
2023-01-01,Perak,pengangkutan,
2020-01-01,Perlis,pengangkutan,6
