year,state,jobs,addicts
2022-01-01,W.P. Putrajaya,bekerja_sendiri,3
2023-01-01,W.P. Putrajaya,bekerja_sendiri,1
2016-01-01,Malaysia,pesara,
2017-01-01,Malaysia,pesara,
2018-01-01,Malaysia,pesara,
2019-01-01,Malaysia,pesara,
2020-01-01,Malaysia,pesara,
2021-01-01,Malaysia,pesara,29
2022-01-01,Malaysia,pesara,47
2023-01-01,Malaysia,pesara,50
2020-01-01,Johor,pesara,
2021-01-01,Johor,pesara,3
2022-01-01,Johor,pesara,5
2023-01-01,Johor,pesara,3
2020-01-01,Kedah,pesara,
2021-01-01,Kedah,pesara,1
2022-01-01,Kedah,pesara,7
2023-01-01,Kedah,pesara,2
2020-01-01,Kelantan,pesara,
2021-01-01,Kelantan,pesara,2
2022-01-01,Kelantan,pesara,5
2023-01-01,Kelantan,pesara,11
2020-01-01,Melaka,pesara,
2021-01-01,Melaka,pesara,2
2022-01-01,Melaka,pesara,2
2023-01-01,Melaka,pesara,3
2020-01-01,Negeri Sembilan,pesara,
2021-01-01,Negeri Sembilan,pesara,3
2022-01-01,Negeri Sembilan,pesara,6
2023-01-01,Negeri Sembilan,pesara,4
2020-01-01,Pahang,pesara,
2021-01-01,Pahang,pesara,1
2022-01-01,Pahang,pesara,4
2023-01-01,Pahang,pesara,4
2020-01-01,Perak,pesara,
2021-01-01,Perak,pesara,3
2022-01-01,Perak,pesara,5
2023-01-01,Perak,pesara,2
2020-01-01,Perlis,pesara,
2021-01-01,Perlis,pesara,
2022-01-01,Perlis,pesara,
2023-01-01,Perlis,pesara,
2020-01-01,Pulau Pinang,pesara,
2021-01-01,Pulau Pinang,pesara,2
2022-01-01,Pulau Pinang,pesara,1
2023-01-01,Pulau Pinang,pesara,4
2020-01-01,Sabah,pesara,
2021-01-01,Sabah,pesara,1
2022-01-01,Sabah,pesara,2
2023-01-01,Sabah,pesara,6
2020-01-01,Sarawak,pesara,
2021-01-01,Sarawak,pesara,4
2022-01-01,Sarawak,pesara,
2023-01-01,Sarawak,pesara,2
2020-01-01,Selangor,pesara,
2021-01-01,Selangor,pesara,4
2022-01-01,Selangor,pesara,6
2023-01-01,Selangor,pesara,2
2020-01-01,Terengganu,pesara,
2021-01-01,Terengganu,pesara,1
2022-01-01,Terengganu,pesara,
2023-01-01,Terengganu,pesara,3
2020-01-01,W.P. Kuala Lumpur,pesara,
2021-01-01,W.P. Kuala Lumpur,pesara,2
2022-01-01,W.P. Kuala Lumpur,pesara,2
2023-01-01,W.P. Kuala Lumpur,pesara,4
2020-01-01,W.P. Labuan,pesara,
2021-01-01,W.P. Labuan,pesara,
2022-01-01,W.P. Labuan,pesara,1
2023-01-01,W.P. Labuan,pesara,
2020-01-01,W.P. Putrajaya,pesara,
2021-01-01,W.P. Putrajaya,pesara,
2022-01-01,W.P. Putrajaya,pesara,
2023-01-01,W.P. Putrajaya,pesara,
2016-01-01,Malaysia,tiada_pekerjaan,
2017-01-01,Malaysia,tiada_pekerjaan,
2018-01-01,Malaysia,tiada_pekerjaan,
2019-01-01,Malaysia,tiada_pekerjaan,
2020-01-01,Malaysia,tiada_pekerjaan,
2021-01-01,Malaysia,tiada_pekerjaan,1534
2022-01-01,Malaysia,tiada_pekerjaan,2151
2023-01-01,Malaysia,tiada_pekerjaan,2126
2020-01-01,Johor,tiada_pekerjaan,
2021-01-01,Johor,tiada_pekerjaan,278
2022-01-01,Johor,tiada_pekerjaan,311
2023-01-01,Johor,tiada_pekerjaan,370
2020-01-01,Kedah,tiada_pekerjaan,
2021-01-01,Kedah,tiada_pekerjaan,52
2022-01-01,Kedah,tiada_pekerjaan,122
2023-01-01,Kedah,tiada_pekerjaan,106
2020-01-01,Kelantan,tiada_pekerjaan,
2021-01-01,Kelantan,tiada_pekerjaan,110
2022-01-01,Kelantan,tiada_pekerjaan,135
2023-01-01,Kelantan,tiada_pekerjaan,157
2020-01-01,Melaka,tiada_pekerjaan,
2021-01-01,Melaka,tiada_pekerjaan,46
2022-01-01,Melaka,tiada_pekerjaan,21
2023-01-01,Melaka,tiada_pekerjaan,21
2020-01-01,Negeri Sembilan,tiada_pekerjaan,
2021-01-01,Negeri Sembilan,tiada_pekerjaan,51
2022-01-01,Negeri Sembilan,tiada_pekerjaan,100
2023-01-01,Negeri Sembilan,tiada_pekerjaan,113
2020-01-01,Pahang,tiada_pekerjaan,
2021-01-01,Pahang,tiada_pekerjaan,66
2022-01-01,Pahang,tiada_pekerjaan,108
2023-01-01,Pahang,tiada_pekerjaan,135
2020-01-01,Perak,tiada_pekerjaan,
2021-01-01,Perak,tiada_pekerjaan,92
2022-01-01,Perak,tiada_pekerjaan,169
2023-01-01,Perak,tiada_pekerjaan,166
2020-01-01,Perlis,tiada_pekerjaan,
2021-01-01,Perlis,tiada_pekerjaan,15
2022-01-01,Perlis,tiada_pekerjaan,39
2023-01-01,Perlis,tiada_pekerjaan,34
2020-01-01,Pulau Pinang,tiada_pekerjaan,
2021-01-01,Pulau Pinang,tiada_pekerjaan,178
2022-01-01,Pulau Pinang,tiada_pekerjaan,214
2023-01-01,Pulau Pinang,tiada_pekerjaan,149
2020-01-01,Sabah,tiada_pekerjaan,
2021-01-01,Sabah,tiada_pekerjaan,146
2022-01-01,Sabah,tiada_pekerjaan,176
2023-01-01,Sabah,tiada_pekerjaan,126
2020-01-01,Sarawak,tiada_pekerjaan,
2021-01-01,Sarawak,tiada_pekerjaan,90
2022-01-01,Sarawak,tiada_pekerjaan,148
2023-01-01,Sarawak,tiada_pekerjaan,168
2020-01-01,Selangor,tiada_pekerjaan,
2021-01-01,Selangor,tiada_pekerjaan,149
2022-01-01,Selangor,tiada_pekerjaan,317
2023-01-01,Selangor,tiada_pekerjaan,314
2020-01-01,Terengganu,tiada_pekerjaan,
2021-01-01,Terengganu,tiada_pekerjaan,181
2022-01-01,Terengganu,tiada_pekerjaan,188
2023-01-01,Terengganu,tiada_pekerjaan,152
2020-01-01,W.P. Kuala Lumpur,tiada_pekerjaan,
2021-01-01,W.P. Kuala Lumpur,tiada_pekerjaan,90
2022-01-01,W.P. Kuala Lumpur,tiada_pekerjaan,90
2023-01-01,W.P. Kuala Lumpur,tiada_pekerjaan,105
2020-01-01,W.P. Labuan,tiada_pekerjaan,
2021-01-01,W.P. Labuan,tiada_pekerjaan,6
2022-01-01,W.P. Labuan,tiada_pekerjaan,9
2023-01-01,W.P. Labuan,tiada_pekerjaan,7
2020-01-01,W.P. Putrajaya,tiada_pekerjaan,
2021-01-01,W.P. Putrajaya,tiada_pekerjaan,9
2022-01-01,W.P. Putrajaya,tiada_pekerjaan,4
2023-01-01,W.P. Putrajaya,tiada_pekerjaan,3
