date,type,sex,age,value
2019-01-01,forced_labour,both,18_below,
2019-01-01,forced_labour,both,all,36.0
2019-01-01,forced_labour,female,18_and_above,32.0
2019-01-01,forced_labour,female,18_below,
2019-01-01,forced_labour,female,all,32.0
2019-01-01,forced_labour,male,18_and_above,4.0
2019-01-01,forced_labour,male,18_below,
2019-01-01,forced_labour,male,all,4.0
2019-01-01,sexual_exploitation,both,18_and_above,54.0
2019-01-01,sexual_exploitation,both,18_below,1.0
2019-01-01,sexual_exploitation,both,all,55.0
2019-01-01,sexual_exploitation,female,18_and_above,54.0
2019-01-01,sexual_exploitation,female,18_below,1.0
2019-01-01,sexual_exploitation,female,all,55.0
2020-01-01,all,both,18_and_above,77.0
2020-01-01,all,both,18_below,5.0
2020-01-01,all,both,all,82.0
2020-01-01,all,female,18_and_above,68.0
2020-01-01,all,female,18_below,5.0
2020-01-01,all,female,all,73.0
2020-01-01,all,male,18_and_above,9.0
2020-01-01,all,male,18_below,
2020-01-01,all,male,all,9.0
2020-01-01,forced_labour,both,18_and_above,61.0
2020-01-01,forced_labour,both,18_below,2.0
2020-01-01,forced_labour,both,all,63.0
2020-01-01,forced_labour,female,18_and_above,52.0
2020-01-01,forced_labour,female,18_below,2.0
2020-01-01,forced_labour,female,all,54.0
2020-01-01,forced_labour,male,18_and_above,9.0
2020-01-01,forced_labour,male,18_below,
2020-01-01,forced_labour,male,all,9.0
2020-01-01,sexual_exploitation,both,18_and_above,17.0
2020-01-01,sexual_exploitation,both,18_below,3.0
2020-01-01,sexual_exploitation,both,all,20.0
2020-01-01,sexual_exploitation,female,18_and_above,17.0
2020-01-01,sexual_exploitation,female,18_below,3.0
2020-01-01,sexual_exploitation,female,all,20.0
2021-01-01,all,both,18_and_above,43.0
2021-01-01,all,both,18_below,74.0
2021-01-01,all,both,all,117.0
2021-01-01,all,female,18_and_above,30.0
2021-01-01,all,female,18_below,41.0
2021-01-01,all,female,all,71.0
2021-01-01,all,male,18_and_above,13.0
2021-01-01,all,male,18_below,33.0
2021-01-01,all,male,all,46.0
2021-01-01,forced_labour,both,18_and_above,36.0
2021-01-01,forced_labour,both,18_below,74.0
2021-01-01,forced_labour,both,all,110.0
2021-01-01,forced_labour,female,18_and_above,23.0
2021-01-01,forced_labour,female,18_below,41.0
2021-01-01,forced_labour,female,all,64.0
2021-01-01,forced_labour,male,18_and_above,13.0
2021-01-01,forced_labour,male,18_below,33.0
2021-01-01,forced_labour,male,all,46.0
2021-01-01,sexual_exploitation,both,18_and_above,7.0
2021-01-01,sexual_exploitation,both,18_below,
2021-01-01,sexual_exploitation,both,all,7.0
2021-01-01,sexual_exploitation,female,18_and_above,7.0
2021-01-01,sexual_exploitation,female,18_below,
2021-01-01,sexual_exploitation,female,all,7.0
2022-01-01,all,both,18_and_above,64.0
2022-01-01,all,both,18_below,11.0
2022-01-01,all,both,all,75.0
2022-01-01,all,female,18_and_above,34.0
2022-01-01,all,female,18_below,10.0
2022-01-01,all,female,all,44.0
2022-01-01,all,male,18_and_above,30.0
2022-01-01,all,male,18_below,1.0
2022-01-01,all,male,all,31.0
2022-01-01,forced_labour,both,18_and_above,54.0
2022-01-01,forced_labour,both,18_below,5.0
2022-01-01,forced_labour,both,all,59.0
2022-01-01,forced_labour,female,18_and_above,24.0
2022-01-01,forced_labour,female,18_below,4.0
2022-01-01,forced_labour,female,all,28.0
2022-01-01,forced_labour,male,18_and_above,30.0
2022-01-01,forced_labour,male,18_below,1.0
2022-01-01,forced_labour,male,all,31.0
2022-01-01,sexual_exploitation,both,18_and_above,9.0
2022-01-01,sexual_exploitation,both,18_below,7.0
2022-01-01,sexual_exploitation,both,all,16.0
2022-01-01,sexual_exploitation,female,18_and_above,9.0
2022-01-01,sexual_exploitation,female,18_below,7.0
2022-01-01,sexual_exploitation,female,all,16.0
