date,state,parlimen,dun,poverty_absolute
2019-01-01,Kelantan,P.019 Tumpat,N.04 Wakaf Bharu,7.4
2022-01-01,Kelantan,P.019 Tumpat,N.04 Wakaf Bharu,9.2
2024-01-01,Kelantan,P.019 Tumpat,N.04 Wakaf Bharu,7.9
2019-01-01,Kelantan,P.020 Pengkalan Chepa,N.05 Kijang,13.9
2022-01-01,Kelantan,P.020 Pengkalan Chepa,N.05 Kijang,17.3
2024-01-01,Kelantan,P.020 Pengkalan Chepa,N.05 Kijang,14.4
2019-01-01,Kelantan,P.020 Pengkalan Chepa,N.06 Chempaka,8.2
2022-01-01,Kelantan,P.020 Pengkalan Chepa,N.06 Chempaka,6.6
2024-01-01,Kelantan,P.020 Pengkalan Chepa,N.06 Chempaka,9.4
2019-01-01,Kelantan,P.020 Pengkalan Chepa,N.07 Panchor,5.5
2022-01-01,Kelantan,P.020 Pengkalan Chepa,N.07 Panchor,9.1
2024-01-01,Kelantan,P.020 Pengkalan Chepa,N.07 Panchor,10.0
2019-01-01,Kelantan,P.021 Kota Bharu,N.08 Tanjong Mas,7.3
2022-01-01,Kelantan,P.021 Kota Bharu,N.08 Tanjong Mas,12.3
2024-01-01,Kelantan,P.021 Kota Bharu,N.08 Tanjong Mas,9.9
2019-01-01,Kelantan,P.021 Kota Bharu,N.09 Kota Lama,10.8
2022-01-01,Kelantan,P.021 Kota Bharu,N.09 Kota Lama,12.5
2024-01-01,Kelantan,P.021 Kota Bharu,N.09 Kota Lama,6.3
2019-01-01,Kelantan,P.021 Kota Bharu,N.10 Bunut Payong,5.2
2022-01-01,Kelantan,P.021 Kota Bharu,N.10 Bunut Payong,7.3
2024-01-01,Kelantan,P.021 Kota Bharu,N.10 Bunut Payong,6.8
2019-01-01,Kelantan,P.022 Pasir Mas,N.11 Tendong,7.4
2022-01-01,Kelantan,P.022 Pasir Mas,N.11 Tendong,4.5
2024-01-01,Kelantan,P.022 Pasir Mas,N.11 Tendong,4.2
2019-01-01,Kelantan,P.022 Pasir Mas,N.12 Pengkalan Pasir,8.9
2022-01-01,Kelantan,P.022 Pasir Mas,N.12 Pengkalan Pasir,14.1
