date,state,total,opiate,methamphetamine (crystalline),methamphetamine (pills),cannabis,amphetamine-type stimulants (ATS),psychotropic pill,others,Unnamed: 10
1/1/2021,Selangor,2114.0,270.0,,,130.0,1700.0,1.0,13.0,
1/1/2022,Selangor,2849.0,382.0,,,147.0,2313.0,3.0,4.0,
1/1/2023,Selangor,2743.0,659.0,,,168.0,1903.0,8.0,5.0,
1/1/2019,Terengganu,2204.0,240.0,1259.0,,24.0,681.0,,,
1/1/2020,Terengganu,2356.0,266.0,1551.0,,12.0,526.0,1.0,,
1/1/2021,Terengganu,2205.0,118.0,,,11.0,2074.0,1.0,1.0,
1/1/2022,Terengganu,2489.0,88.0,,,15.0,2380.0,6.0,,
1/1/2023,Terengganu,2584.0,167.0,,,26.0,2387.0,4.0,,
1/1/2019,W.P. Kuala Lumpur,1077.0,178.0,688.0,,60.0,145.0,,6.0,
1/1/2020,W.P. Kuala Lumpur,1085.0,160.0,765.0,,38.0,113.0,1.0,8.0,
1/1/2021,W.P. Kuala Lumpur,922.0,97.0,,,42.0,776.0,1.0,6.0,
1/1/2022,W.P. Kuala Lumpur,1114.0,125.0,,,64.0,908.0,,17.0,
1/1/2023,W.P. Kuala Lumpur,1183.0,163.0,,,128.0,876.0,3.0,13.0,
1/1/2019,W.P. Labuan,169.0,7.0,88.0,,,74.0,,,
1/1/2020,W.P. Labuan,103.0,,66.0,,1.0,36.0,,,
1/1/2021,W.P. Labuan,71.0,,,,1.0,69.0,,1.0,
1/1/2022,W.P. Labuan,125.0,,,,,125.0,,,
1/1/2023,W.P. Labuan,91.0,,,,,91.0,,,
1/1/2019,W.P. Putrajaya,44.0,8.0,29.0,,4.0,3.0,,,
1/1/2020,W.P. Putrajaya,40.0,,34.0,,2.0,4.0,,,
1/1/2021,W.P. Putrajaya,74.0,,,,2.0,72.0,,,
1/1/2022,W.P. Putrajaya,48.0,,,,5.0,43.0,,,
1/1/2023,W.P. Putrajaya,39.0,9.0,,,5.0,25.0,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
