series,date,division,index
index,2018-10-01,71,102.4
index,2018-10-01,85,114.2
index,2018-10-01,86,105.5
index,2018-10-01,92,101.2
index,2018-10-01,93,106.4
index,2019-01-01,49,107.5
index,2019-01-01,50,100.5
index,2019-01-01,51,102.1
index,2019-01-01,52,103.5
index,2019-01-01,53,111.1
index,2019-01-01,55,103.1
index,2019-01-01,56,137.9
index,2019-01-01,61,100.0
index,2019-01-01,62,103.2
index,2019-01-01,63,101.0
index,2019-01-01,68,124.0
index,2019-01-01,69,104.9
index,2019-01-01,71,102.4
index,2019-01-01,85,114.2
index,2019-01-01,86,105.6
index,2019-01-01,92,100.8
index,2019-01-01,93,106.4
index,2019-04-01,49,107.5
index,2019-04-01,50,100.2
index,2019-04-01,51,102.5
index,2019-04-01,52,103.5
index,2019-04-01,53,110.9
index,2019-04-01,55,103.1
index,2019-04-01,56,138.4
index,2019-04-01,61,100.1
index,2019-04-01,62,103.2
index,2019-04-01,63,101.0
index,2019-04-01,68,124.2
index,2019-04-01,69,104.9
index,2019-04-01,71,102.4
index,2019-04-01,85,114.3
index,2019-04-01,86,105.6
index,2019-04-01,92,101.4
index,2019-04-01,93,106.5
index,2019-07-01,49,107.5
index,2019-07-01,50,100.2
index,2019-07-01,51,101.3
index,2019-07-01,52,103.5
index,2019-07-01,53,114.7
index,2019-07-01,55,103.0
index,2019-07-01,56,138.9
index,2019-07-01,61,100.1
index,2019-07-01,62,103.3
index,2019-07-01,63,101.0
index,2019-07-01,68,124.2
index,2019-07-01,69,104.9
index,2019-07-01,71,102.5
index,2019-07-01,85,114.5
index,2019-07-01,86,105.6
index,2019-07-01,92,100.1
index,2019-07-01,93,106.6
index,2019-10-01,49,107.5
index,2019-10-01,50,100.4
index,2019-10-01,51,101.0
index,2019-10-01,52,103.5
index,2019-10-01,53,114.7
index,2019-10-01,55,103.0
index,2019-10-01,56,139.5
index,2019-10-01,61,100.1
index,2019-10-01,62,103.3
index,2019-10-01,63,101.0
index,2019-10-01,68,124.2
index,2019-10-01,69,104.9
index,2019-10-01,71,102.5
index,2019-10-01,85,114.6
index,2019-10-01,86,105.7
index,2019-10-01,92,100.0
index,2019-10-01,93,106.6
index,2020-01-01,49,107.5
index,2020-01-01,50,100.8
index,2020-01-01,51,101.5
index,2020-01-01,52,103.5
index,2020-01-01,53,114.9
index,2020-01-01,55,102.9
index,2020-01-01,56,140.1
index,2020-01-01,61,100.1
index,2020-01-01,62,103.3
index,2020-01-01,63,101.0
index,2020-01-01,68,124.8
index,2020-01-01,69,105.0
index,2020-01-01,71,102.5
index,2020-01-01,85,114.9
index,2020-01-01,86,105.8
index,2020-01-01,92,100.0
index,2020-01-01,93,106.6
index,2020-04-01,49,107.5
index,2020-04-01,50,100.8
index,2020-04-01,51,102.8
index,2020-04-01,52,103.6
index,2020-04-01,53,117.4
index,2020-04-01,55,102.7
index,2020-04-01,56,140.5
index,2020-04-01,61,100.0
index,2020-04-01,62,103.4
index,2020-04-01,63,101.0
index,2020-04-01,68,125.0
index,2020-04-01,69,104.9
index,2020-04-01,71,102.4
index,2020-04-01,85,115.2
index,2020-04-01,86,106.9
index,2020-04-01,92,99.9
index,2020-04-01,93,106.7
index,2020-07-01,49,107.7
index,2020-07-01,50,100.8
index,2020-07-01,51,106.6
index,2020-07-01,52,103.6
index,2020-07-01,53,118.1
index,2020-07-01,55,102.7
index,2020-07-01,56,141.4
index,2020-07-01,61,99.9
index,2020-07-01,62,103.4
index,2020-07-01,63,101.0
index,2020-07-01,68,126.3
index,2020-07-01,69,104.9
index,2020-07-01,71,102.4
index,2020-07-01,85,115.4
index,2020-07-01,86,107.0
index,2020-07-01,92,98.5
index,2020-07-01,93,106.6
index,2020-10-01,49,107.7
index,2020-10-01,50,100.8
index,2020-10-01,51,102.9
index,2020-10-01,52,103.6
index,2020-10-01,53,118.3
index,2020-10-01,55,102.7
index,2020-10-01,56,141.9
index,2020-10-01,61,99.9
index,2020-10-01,62,103.4
index,2020-10-01,63,101.0
index,2020-10-01,68,126.1
index,2020-10-01,69,104.9
index,2020-10-01,71,102.4
index,2020-10-01,85,115.3
index,2020-10-01,86,107.1
index,2020-10-01,92,97.3
index,2020-10-01,93,106.6
index,2021-01-01,49,108.8
index,2021-01-01,50,101.8
index,2021-01-01,51,99.5
index,2021-01-01,52,103.5
index,2021-01-01,53,118.4
index,2021-01-01,55,103.1
index,2021-01-01,56,142.3
index,2021-01-01,61,100.0
index,2021-01-01,62,103.4
index,2021-01-01,63,101.0
index,2021-01-01,68,126.6
index,2021-01-01,69,104.9
index,2021-01-01,71,102.5
index,2021-01-01,85,115.8
index,2021-01-01,86,107.2
index,2021-01-01,92,98.5
index,2021-01-01,93,107.2
index,2021-04-01,49,108.8
index,2021-04-01,50,101.8
index,2021-04-01,51,100.0
index,2021-04-01,52,103.5
index,2021-04-01,53,118.5
index,2021-04-01,55,103.1
index,2021-04-01,56,142.9
index,2021-04-01,61,99.9
index,2021-04-01,62,103.4
index,2021-04-01,63,101.0
index,2021-04-01,68,126.6
index,2021-04-01,69,104.9
index,2021-04-01,71,102.5
index,2021-04-01,85,115.8
index,2021-04-01,86,107.2
index,2021-04-01,92,99.8
index,2021-04-01,93,107.4
index,2021-07-01,49,108.8
index,2021-07-01,50,101.8
index,2021-07-01,51,100.9
index,2021-07-01,52,103.6
index,2021-07-01,53,118.5
index,2021-07-01,55,103.2
index,2021-07-01,56,143.1
index,2021-07-01,61,99.9
index,2021-07-01,62,103.6
index,2021-07-01,63,101.0
index,2021-07-01,68,126.6
index,2021-07-01,69,104.9
index,2021-07-01,71,102.5
index,2021-07-01,85,115.8
index,2021-07-01,86,107.2
index,2021-07-01,92,99.5
index,2021-07-01,93,107.8
index,2021-10-01,49,109.0
index,2021-10-01,50,101.9
index,2021-10-01,51,103.7
index,2021-10-01,52,103.6
index,2021-10-01,53,118.6
index,2021-10-01,55,103.2
index,2021-10-01,56,144.2
index,2021-10-01,61,99.9
index,2021-10-01,62,103.5
index,2021-10-01,63,101.0
index,2021-10-01,68,126.9
index,2021-10-01,69,105.0
index,2021-10-01,71,102.5
index,2021-10-01,85,115.9
index,2021-10-01,86,107.3
index,2021-10-01,92,96.9
index,2021-10-01,93,107.8
index,2022-01-01,49,109.2
index,2022-01-01,50,102.2
index,2022-01-01,51,99.4
index,2022-01-01,52,103.6
index,2022-01-01,53,120.2
index,2022-01-01,55,103.2
index,2022-01-01,56,145.8
index,2022-01-01,61,100.0
index,2022-01-01,62,103.6
index,2022-01-01,63,101.0
index,2022-01-01,68,126.9
index,2022-01-01,69,105.1
index,2022-01-01,71,102.6
index,2022-01-01,85,116.5
index,2022-01-01,86,107.4
index,2022-01-01,92,99.7
index,2022-01-01,93,108.1
index,2022-04-01,49,109.8
index,2022-04-01,50,102.6
index,2022-04-01,51,101.9
index,2022-04-01,52,103.6
index,2022-04-01,53,121.8
index,2022-04-01,55,103.7
index,2022-04-01,56,150.2
index,2022-04-01,61,99.9
index,2022-04-01,62,103.6
index,2022-04-01,63,101.0
index,2022-04-01,68,127.0
index,2022-04-01,69,105.3
index,2022-04-01,71,102.7
index,2022-04-01,85,116.8
index,2022-04-01,86,107.5
index,2022-04-01,92,103.2
index,2022-04-01,93,108.3
index,2022-07-01,49,110.0
index,2022-07-01,50,102.7
index,2022-07-01,51,117.2
index,2022-07-01,52,103.6
index,2022-07-01,53,122.9
index,2022-07-01,55,103.8
index,2022-07-01,56,154.6
index,2022-07-01,61,100.0
index,2022-07-01,62,103.2
index,2022-07-01,63,101.0
index,2022-07-01,68,127.0
index,2022-07-01,69,105.4
index,2022-07-01,71,102.9
index,2022-07-01,85,117.1
index,2022-07-01,86,107.6
index,2022-07-01,92,108.5
index,2022-07-01,93,108.5
index,2022-10-01,49,110.1
index,2022-10-01,50,102.7
index,2022-10-01,51,121.3
index,2022-10-01,52,103.6
index,2022-10-01,53,123.0
index,2022-10-01,55,104.3
index,2022-10-01,56,157.3
index,2022-10-01,61,100.0
index,2022-10-01,62,103.2
index,2022-10-01,63,101.2
index,2022-10-01,68,126.9
index,2022-10-01,69,105.5
index,2022-10-01,71,103.0
index,2022-10-01,85,117.2
index,2022-10-01,86,107.6
index,2022-10-01,92,103.0
index,2022-10-01,93,109.1
index,2023-01-01,49,110.3
index,2023-01-01,50,102.7
index,2023-01-01,51,122.3
index,2023-01-01,52,103.6
index,2023-01-01,53,123.2
index,2023-01-01,55,105.2
index,2023-01-01,56,159.4
index,2023-01-01,61,100.0
index,2023-01-01,62,103.1
index,2023-01-01,63,101.2
index,2023-01-01,68,126.9
index,2023-01-01,69,105.7
index,2023-01-01,71,103.1
index,2023-01-01,85,117.8
index,2023-01-01,86,107.8
index,2023-01-01,92,100.7
index,2023-01-01,93,109.7
index,2023-04-01,49,110.5
index,2023-04-01,50,102.7
index,2023-04-01,51,119.5
index,2023-04-01,52,103.6
index,2023-04-01,53,123.2
index,2023-04-01,55,105.5
index,2023-04-01,56,160.6
index,2023-04-01,61,100.0
index,2023-04-01,62,103.1
index,2023-04-01,63,101.2
index,2023-04-01,68,126.9
index,2023-04-01,69,105.7
index,2023-04-01,71,103.2
index,2023-04-01,85,118.0
index,2023-04-01,86,107.8
index,2023-04-01,92,105.4
index,2023-04-01,93,109.9
index,2023-07-01,49,110.8
index,2023-07-01,50,102.8
index,2023-07-01,51,119.0
index,2023-07-01,52,103.6
index,2023-07-01,53,125.3
index,2023-07-01,55,105.5
index,2023-07-01,56,162.4
index,2023-07-01,61,100.0
index,2023-07-01,62,103.1
index,2023-07-01,63,101.2
index,2023-07-01,68,127.2
index,2023-07-01,69,105.7
index,2023-07-01,71,103.2
index,2023-07-01,85,118.3
index,2023-07-01,86,107.8
index,2023-07-01,92,109.1
index,2023-07-01,93,110.9
index,2023-10-01,49,110.9
index,2023-10-01,50,102.8
index,2023-10-01,51,118.4
index,2023-10-01,52,103.6
index,2023-10-01,53,125.3
index,2023-10-01,55,105.6
index,2023-10-01,56,163.1
index,2023-10-01,61,100.0
index,2023-10-01,62,103.1
index,2023-10-01,63,101.3
index,2023-10-01,68,127.6
index,2023-10-01,69,105.8
index,2023-10-01,71,103.3
index,2023-10-01,85,118.4
index,2023-10-01,86,107.9
index,2023-10-01,92,109.4
index,2023-10-01,93,111.0
index,2024-01-01,49,111.0
index,2024-01-01,50,102.8
index,2024-01-01,51,121.4
index,2024-01-01,52,103.6
index,2024-01-01,53,125.4
index,2024-01-01,55,105.9
index,2024-01-01,56,163.9
index,2024-01-01,61,100.0
index,2024-01-01,62,103.1
index,2024-01-01,63,101.4
index,2024-01-01,68,127.7
index,2024-01-01,69,105.8
index,2024-01-01,71,103.4
index,2024-01-01,85,118.7
index,2024-01-01,86,108.0
index,2024-01-01,92,109.6
index,2024-01-01,93,111.2
index,2024-04-01,49,111.1
index,2024-04-01,50,102.8
index,2024-04-01,51,113.1
index,2024-04-01,52,103.6
index,2024-04-01,53,125.5
index,2024-04-01,55,106.2
index,2024-04-01,56,164.9
index,2024-04-01,61,99.9
index,2024-04-01,62,103.2
index,2024-04-01,63,101.4
index,2024-04-01,68,127.9
