state,type,date,sex,abs,rate
Melaka,infant,2024-01-01,male,46,7.1
Negeri Sembilan,neonatal,2017-01-01,both,103,5.6975329129328465
Negeri Sembilan,neonatal,2017-01-01,female,43,4.949355432780847
Negeri Sembilan,neonatal,2017-01-01,male,60,6.3897763578274756
Negeri Sembilan,neonatal,2018-01-01,both,111,6.1
Negeri Sembilan,neonatal,2018-01-01,female,48,5.4
Negeri Sembilan,neonatal,2018-01-01,male,63,6.8
Negeri Sembilan,neonatal,2019-01-01,both,91,5.229283990345937
Negeri Sembilan,neonatal,2019-01-01,female,42,5.01432664756447
Negeri Sembilan,neonatal,2019-01-01,male,49,5.428761356082428
Negeri Sembilan,neonatal,2020-01-01,both,70,4.095004095004095
Negeri Sembilan,neonatal,2020-01-01,female,30,3.6456434560699966
Negeri Sembilan,neonatal,2020-01-01,male,40,4.512126339537508
Negeri Sembilan,neonatal,2021-01-01,both,72,4.291589676342612
Negeri Sembilan,neonatal,2021-01-01,female,31,3.8490191209336975
Negeri Sembilan,neonatal,2021-01-01,male,41,4.700217814971913
Negeri Sembilan,neonatal,2022-01-01,both,63,3.9
Negeri Sembilan,neonatal,2022-01-01,female,32,4.2
Negeri Sembilan,neonatal,2022-01-01,male,31,3.7
Negeri Sembilan,neonatal,2024-01-01,both,90,6.1
Negeri Sembilan,neonatal,2024-01-01,female,41,5.7
Negeri Sembilan,neonatal,2024-01-01,male,49,6.5
Negeri Sembilan,infant,2017-01-01,both,148,8.186746321495741
Negeri Sembilan,infant,2017-01-01,female,57,6.560773480662983
Negeri Sembilan,infant,2017-01-01,male,91,9.691160809371672
Negeri Sembilan,infant,2018-01-01,both,162,8.9
Negeri Sembilan,infant,2018-01-01,female,73,8.2
Negeri Sembilan,infant,2018-01-01,male,89,9.5
Negeri Sembilan,infant,2019-01-01,both,132,7.585335018963337
Negeri Sembilan,infant,2019-01-01,female,66,7.312209173498782
Negeri Sembilan,infant,2019-01-01,male,66,7.8796561604584525
Negeri Sembilan,infant,2020-01-01,both,100,5.85000585000585
Negeri Sembilan,infant,2020-01-01,female,46,5.589986632640661
Negeri Sembilan,infant,2020-01-01,male,54,6.091370558375634
Negeri Sembilan,infant,2021-01-01,both,111,6.6162007510281935
Negeri Sembilan,infant,2021-01-01,female,59,7.325552520486714
Negeri Sembilan,infant,2021-01-01,male,52,5.961251862891207
Negeri Sembilan,infant,2022-01-01,both,99,6.2
Negeri Sembilan,infant,2022-01-01,female,44,5.8
Negeri Sembilan,infant,2022-01-01,male,55,6.5
Negeri Sembilan,infant,2024-01-01,both,138,9.4
Negeri Sembilan,infant,2024-01-01,female,69,9.6
Negeri Sembilan,infant,2024-01-01,male,69,9.2
Pahang,neonatal,2017-01-01,both,130,4.717837053166395
Pahang,neonatal,2017-01-01,female,51,3.793513835168105
Pahang,neonatal,2017-01-01,male,79,5.598469279285664
Pahang,neonatal,2018-01-01,both,125,4.6
Pahang,neonatal,2018-01-01,female,57,4.4
Pahang,neonatal,2018-01-01,male,68,4.9
Pahang,neonatal,2019-01-01,both,118,4.577901924270639
Pahang,neonatal,2019-01-01,female,54,4.296968250179041
Pahang,neonatal,2019-01-01,male,64,4.845181315769551
Pahang,neonatal,2020-01-01,both,88,3.4811503619605206
Pahang,neonatal,2020-01-01,female,46,3.745318352059925
Pahang,neonatal,2020-01-01,male,42,3.231514964991921
Pahang,neonatal,2021-01-01,both,109,4.447708817888766
