date,volume,value
2020-08-29,137376,55871719.7
2020-08-30,106193,41016061.37
2020-08-31,129772,51577912.43
2020-09-01,212667,112375167.2
2020-09-02,195043,98353153.85
2020-09-03,174661,113762664.24
2020-09-04,171504,103360646.17
2020-09-05,98094,40495472.79
2020-09-06,96428,35273437.3
2020-09-07,186200,109507675.14
2020-09-08,161951,101272757.99
2020-09-09,146690,96089456.03
2020-09-10,148524,104180266.52
2020-09-11,124416,109703251.25
2020-09-12,70987,33110893.71
2020-09-13,69730,27600182.34
2020-09-14,140037,103827691.63
2020-09-15,135269,127263092.93
2020-09-16,67833,31326241.34
2020-09-17,122432,113711585.31
2020-09-18,116964,99562420.03
2020-09-19,68251,32535479.42
2020-09-20,67176,25938636.02
2020-09-21,140052,113906902.28
2020-09-22,140054,95968145.92
2020-09-23,141965,105622430.07
2020-09-24,214809,117474932.27
2020-09-25,213794,167611434.23
2020-09-26,120142,41022676.21
2020-09-27,116021,34978107.29
2020-09-28,228503,166846291.26
2020-09-29,207577,194684507.4
2020-09-30,231890,201080605.28
2020-10-01,222437,103270928.53
2020-10-02,188061,96477448.78
2020-10-03,118976,43890490.21
2020-10-04,109293,35698698.11
2020-10-05,209107,105721171.46
2020-10-06,193441,101427480.67
2020-10-07,183722,104031404.34
2020-10-08,166505,104838376.91
2020-10-09,152473,96669086.21
2020-10-10,86421,38128473.13
2020-10-11,84036,32516042.03
2020-10-12,157145,103712800.05
2020-10-13,139234,101499252.8
2020-10-14,145338,96024412.02
2020-10-15,151323,112645263.8
2020-10-16,127444,96962363.16
2020-10-17,76806,31114833.48
2020-10-18,71409,25473364.69
2020-10-19,140751,96228309.5
2020-10-20,142203,99611681.04
2020-10-21,143266,118958391.21
2020-10-22,152350,113359422.07
2020-10-23,172395,130285327.55
2020-10-24,103890,38386088.65
2020-10-25,109707,32984133.11
2020-10-26,244952,145883800.3
2020-10-27,254096,154175107.49
2020-10-28,233017,209633629.61
2020-10-29,150801,63055772.04
2020-10-30,216664,213706730.62
2020-10-31,141553,49115049.55
2020-11-01,151249,47091667.83
2020-11-02,220914,105790652.93
2020-11-03,190475,93535638.35
2020-11-04,182970,94120292.67
2020-11-05,178869,101328865.74
2020-11-06,169029,95186745.53
2020-11-07,106514,42414562.06
2020-11-08,88418,34413762.91
2020-11-09,171215,107205018.42
2020-11-10,169628,115439646.0
2020-11-11,143021,96012836.32
2020-11-12,139607,101616722.56
2020-11-13,134135,101561578.3
2020-11-14,67561,29362974.76
2020-11-15,74567,29106417.35
2020-11-16,142440,93908033.14
2020-11-17,130987,109998155.15
2020-11-18,126948,102000518.01
2020-11-19,129086,104390300.49
2020-11-20,139992,110880346.15
2020-11-21,84616,34639634.53
2020-11-22,83605,28878622.2
2020-11-23,160148,113546426.41
2020-11-24,158448,108463875.87
2020-11-25,280873,160728809.37
2020-11-26,233012,170382020.07
2020-11-27,230425,220138839.85
2020-11-28,147724,49083482.02
2020-11-29,133815,41066963.17
2020-11-30,278615,235147072.87
2020-12-01,257846,116520922.59
2020-12-02,220306,100322976.66
2020-12-03,197488,93951024.49
2020-12-04,187616,99044404.01
