date,instrument,value,volume
2024-10-01,cheque,76401413697.06,3306810.0
2024-11-01,cheque,78156954401.6,3129389.0
2024-12-01,cheque,96894055652.73999,3419747.0
2025-01-01,cheque,82328295746.34999,3310464.0
2025-02-01,cheque,63778726445.04,2625150.0
2025-03-01,cheque,70506646686.92,2841160.0
2025-04-01,cheque,68753629988.05,2903534.0
2025-05-01,cheque,67084369411.70999,2760860.0
2025-06-01,cheque,59723561602.75,2437900.0
2025-07-01,cheque,70536300000.0,2637384.0
2025-08-01,cheque,61657917115.42,2339427.0
2025-09-01,cheque,59548816797.80001,2343843.0
2025-10-01,cheque,66091100671.87999,2500000.0
2025-11-01,cheque,59954118287.07001,2100000.0
2025-12-01,cheque,72400888424.64,2590655.0
2026-01-01,cheque,64828243485.64,2226055.0
2026-02-01,cheque,50441748626.170006,1739607.0
2026-03-01,cheque,61188708644.88001,2184992.0
2026-04-01,cheque,60057566763.01001,2214847.0000000005
2026-05-01,cheque,54823962446.37001,1965535.9999999995
2026-06-01,cheque,58859487535.12999,2105026.0
2019-01-01,credit_f2f,,
2019-02-01,credit_f2f,,
2019-03-01,credit_f2f,,
2019-04-01,credit_f2f,6036110117.0,23754112.0
2019-05-01,credit_f2f,6302056347.0,24383098.0
2019-06-01,credit_f2f,5766286185.0,23284851.0
2019-07-01,credit_f2f,6127468852.0,24766505.0
2019-08-01,credit_f2f,6130912199.0,24580614.0
2019-09-01,credit_f2f,6047837382.999998,24682152.999999993
2019-10-01,credit_f2f,6233349332.000002,25250065.999999993
2019-11-01,credit_f2f,6195881931.0,24556746.999999993
2019-12-01,credit_f2f,7411476356.000002,27989117.0
2020-01-01,credit_f2f,7171937439.0,27969094.0
2020-02-01,credit_f2f,5763145145.0,23465323.999999993
2020-03-01,credit_f2f,4621265621.999998,21100054.000000007
2020-04-01,credit_f2f,1591814598.0,9041509.0
2020-05-01,credit_f2f,3375315664.999998,14730350.000000007
2020-06-01,credit_f2f,4549545205.000002,18880675.0
2020-07-01,credit_f2f,5327689408.0,21932987.999999993
2020-08-01,credit_f2f,5533630361.0,22715590.999999993
2020-09-01,credit_f2f,5382901494.000002,23075246.000000007
2020-10-01,credit_f2f,4596254657.0,19820713.0
2020-11-01,credit_f2f,4535023953.999998,18785902.000000007
2020-12-01,credit_f2f,6038796826.0,23612543.000000007
2021-01-01,credit_f2f,4730753021.0,19536060.0
2021-02-01,credit_f2f,4148186728.0,17413687.0
2021-03-01,credit_f2f,5621887153.0,23206159.0
2021-04-01,credit_f2f,5419458897.0,22949612.999999993
2021-05-01,credit_f2f,4339576798.000002,18737453.0
2021-06-01,credit_f2f,2463371606.000002,12858282.0
2021-07-01,credit_f2f,2785404641.0,14155308.0
2021-08-01,credit_f2f,3342821503.0,15803638.0
2021-09-01,credit_f2f,4332741329.0,18547484.0
2021-10-01,credit_f2f,5609921820.0,23171316.0
2021-11-01,credit_f2f,6014686106.0,24888850.0
2021-12-01,credit_f2f,7080007352.000001,28092334.0
2022-01-01,credit_f2f,7539220994.0,30338194.999999993
2022-02-01,credit_f2f,5101008259.0,22635178.0
2022-03-01,credit_f2f,6113893659.0,26405870.0
2022-04-01,credit_f2f,6562307286.0,27349099.0
2022-05-01,credit_f2f,6905699945.000002,30555286.0
2022-06-01,credit_f2f,6725140879.0,29807707.0
2022-07-01,credit_f2f,6750578036.999998,30709800.0
2022-08-01,credit_f2f,7074563142.000001,32358009.0
2022-09-01,credit_f2f,6990704131.0,31868111.0
2022-10-01,credit_f2f,7406407510.000001,33981855.0
2022-11-01,credit_f2f,6957039383.000002,32173711.000000007
2022-12-01,credit_f2f,8538875231.0,36880420.0
2023-01-01,credit_f2f,8467148865.000001,37408852.0
2023-02-01,credit_f2f,6757128108.0,30510937.000000007
2023-03-01,credit_f2f,7609198229.999998,34714258.000000015
2023-04-01,credit_f2f,7337850321.000002,34206288.0
2023-05-01,credit_f2f,7532056877.000002,35872594.0
2023-06-01,credit_f2f,7264545205.0,35308611.99999999
2023-07-01,credit_f2f,7246792155.0,35435885.0
2023-08-01,credit_f2f,7661531567.0,37484399.0
2023-09-01,credit_f2f,7634431735.999998,37896378.999999985
2023-10-01,credit_f2f,8028466942.000004,39325544.0
2023-11-01,credit_f2f,7855033143.999996,38029239.999999985
2023-12-01,credit_f2f,9100909938.0,41983241.0
2024-01-01,credit_f2f,9008229269.0,41949124.0
2024-02-01,credit_f2f,8111501036.0,38828409.0
2024-03-01,credit_f2f,8217308909.000004,40187029.0
2024-04-01,credit_f2f,7725778521.0,39516685.000000015
2024-05-01,credit_f2f,8281425989.999996,42312262.999999985
2024-06-01,credit_f2f,8068463811.000002,41662309.0
2024-07-01,credit_f2f,8371162897.0,43807938.0
2024-08-01,credit_f2f,8093045051.0,43766997.0
2024-09-01,credit_f2f,8511569593.0,45257830.0
2024-10-01,credit_f2f,8610778201.000004,45345305.0
2024-11-01,credit_f2f,8488390022.000004,44529412.0
2024-12-01,credit_f2f,10190334484.0,51229994.0
