series,date,group,index
index,2018-01-01,631,101.0
index,2018-01-01,682,122.9
index,2018-01-01,691,104.2
index,2018-01-01,692,106.6
index,2018-01-01,711,102.3
index,2018-01-01,851,122.3
index,2018-01-01,852,127.3
index,2018-01-01,853,110.8
index,2018-01-01,854,109.8
index,2018-01-01,861,104.7
index,2018-01-01,862,107.0
index,2018-01-01,869,105.8
index,2018-01-01,920,100.2
index,2018-01-01,931,105.5
index,2018-01-01,932,106.3
index,2018-04-01,492,107.3
index,2018-04-01,501,100.2
index,2018-04-01,511,99.4
index,2018-04-01,512,114.5
index,2018-04-01,522,103.5
index,2018-04-01,531,110.9
index,2018-04-01,532,110.5
index,2018-04-01,551,102.6
index,2018-04-01,561,135.6
index,2018-04-01,562,120.7
index,2018-04-01,563,133.4
index,2018-04-01,611,99.0
index,2018-04-01,612,101.0
index,2018-04-01,620,103.1
index,2018-04-01,631,101.0
index,2018-04-01,682,123.2
index,2018-04-01,691,104.2
index,2018-04-01,692,106.6
index,2018-04-01,711,102.4
index,2018-04-01,851,122.3
index,2018-04-01,852,127.3
index,2018-04-01,853,110.6
index,2018-04-01,854,109.8
index,2018-04-01,861,104.7
index,2018-04-01,862,107.2
index,2018-04-01,869,105.8
index,2018-04-01,920,100.2
index,2018-04-01,931,105.6
index,2018-04-01,932,106.7
index,2018-07-01,492,107.4
index,2018-07-01,501,99.9
index,2018-07-01,511,99.2
index,2018-07-01,512,114.5
index,2018-07-01,522,103.5
index,2018-07-01,531,112.0
index,2018-07-01,532,110.7
index,2018-07-01,551,102.7
index,2018-07-01,561,135.8
index,2018-07-01,562,120.6
index,2018-07-01,563,133.4
index,2018-07-01,611,99.0
index,2018-07-01,612,101.0
index,2018-07-01,620,103.2
index,2018-07-01,631,101.0
index,2018-07-01,682,123.6
index,2018-07-01,691,104.2
index,2018-07-01,692,106.6
index,2018-07-01,711,102.4
index,2018-07-01,851,122.3
index,2018-07-01,852,127.3
index,2018-07-01,853,111.5
index,2018-07-01,854,109.8
index,2018-07-01,861,104.9
index,2018-07-01,862,107.4
index,2018-07-01,869,105.9
index,2018-07-01,920,100.7
index,2018-07-01,931,105.5
index,2018-07-01,932,106.6
index,2018-10-01,492,107.4
index,2018-10-01,501,99.8
index,2018-10-01,511,99.3
index,2018-10-01,512,114.5
index,2018-10-01,522,103.5
index,2018-10-01,531,112.0
index,2018-10-01,532,110.4
index,2018-10-01,551,103.0
index,2018-10-01,561,137.5
index,2018-10-01,562,120.8
index,2018-10-01,563,133.9
index,2018-10-01,611,99.0
index,2018-10-01,612,101.0
index,2018-10-01,620,103.1
index,2018-10-01,631,101.0
index,2018-10-01,682,123.8
index,2018-10-01,691,104.2
index,2018-10-01,692,106.6
index,2018-10-01,711,102.4
index,2018-10-01,851,122.3
index,2018-10-01,852,127.3
index,2018-10-01,853,112.0
index,2018-10-01,854,109.8
index,2018-10-01,861,104.9
index,2018-10-01,862,107.4
index,2018-10-01,869,105.9
index,2018-10-01,920,101.2
index,2018-10-01,931,105.5
index,2018-10-01,932,106.5
index,2019-01-01,492,107.5
index,2019-01-01,501,100.5
index,2019-01-01,511,100.1
index,2019-01-01,512,114.5
index,2019-01-01,522,103.5
index,2019-01-01,531,112.4
index,2019-01-01,532,110.7
index,2019-01-01,551,103.1
index,2019-01-01,561,138.9
index,2019-01-01,562,120.9
index,2019-01-01,563,134.4
index,2019-01-01,611,99.0
index,2019-01-01,612,100.9
index,2019-01-01,620,103.2
index,2019-01-01,631,101.0
index,2019-01-01,682,124.0
index,2019-01-01,691,104.2
index,2019-01-01,692,106.7
index,2019-01-01,711,102.4
index,2019-01-01,851,124.8
index,2019-01-01,852,128.8
index,2019-01-01,853,111.2
index,2019-01-01,854,110.9
index,2019-01-01,861,105.0
index,2019-01-01,862,107.5
index,2019-01-01,869,105.9
index,2019-01-01,920,100.8
index,2019-01-01,931,105.4
index,2019-01-01,932,106.6
index,2019-04-01,492,107.5
index,2019-04-01,501,100.2
index,2019-04-01,511,100.5
index,2019-04-01,512,114.5
index,2019-04-01,522,103.5
index,2019-04-01,531,112.0
index,2019-04-01,532,110.7
index,2019-04-01,551,103.1
index,2019-04-01,561,139.5
index,2019-04-01,562,121.0
index,2019-04-01,563,134.8
index,2019-04-01,611,99.0
index,2019-04-01,612,101.1
index,2019-04-01,620,103.2
index,2019-04-01,631,101.0
index,2019-04-01,682,124.2
index,2019-04-01,691,104.2
index,2019-04-01,692,106.7
index,2019-04-01,711,102.4
index,2019-04-01,851,124.8
index,2019-04-01,852,128.8
index,2019-04-01,853,111.3
index,2019-04-01,854,110.9
index,2019-04-01,861,105.0
index,2019-04-01,862,107.5
index,2019-04-01,869,105.9
index,2019-04-01,920,101.4
index,2019-04-01,931,105.5
index,2019-04-01,932,106.8
index,2019-07-01,492,107.5
index,2019-07-01,501,100.2
index,2019-07-01,511,99.2
index,2019-07-01,512,114.5
index,2019-07-01,522,103.5
index,2019-07-01,531,121.0
index,2019-07-01,532,110.8
index,2019-07-01,551,103.0
index,2019-07-01,561,140.0
index,2019-07-01,562,120.9
index,2019-07-01,563,135.3
index,2019-07-01,611,99.0
index,2019-07-01,612,101.1
index,2019-07-01,620,103.3
index,2019-07-01,631,101.0
