date,state,office,passports
2022-04-01,Sarawak,All,8673
2022-05-01,Sarawak,All,11737
2022-06-01,Sarawak,All,12611
2022-07-01,Sarawak,All,11962
2022-08-01,Sarawak,All,15067
2022-09-01,Sarawak,All,14291
2022-10-01,Sarawak,All,14027
2022-11-01,Sarawak,All,12294
2022-12-01,Sarawak,All,17132
2023-01-01,Sarawak,All,17151
2023-02-01,Sarawak,All,18416
2023-03-01,Sarawak,All,16840
2023-04-01,Sarawak,All,15471
2023-05-01,Sarawak,All,18241
2023-06-01,Sarawak,All,13233
2023-07-01,Sarawak,All,13898
2023-08-01,Sarawak,All,13865
2023-09-01,Sarawak,All,12297
2023-10-01,Sarawak,All,12698
2023-11-01,Sarawak,All,13304
2023-12-01,Sarawak,All,14373
2024-01-01,Sarawak,All,15317
2024-02-01,Sarawak,All,16516
2024-03-01,Sarawak,All,14179
2024-04-01,Sarawak,All,13498
2024-05-01,Sarawak,All,13150
2024-06-01,Sarawak,All,12222
2024-07-01,Sarawak,All,12218
2024-08-01,Sarawak,All,12198
2024-09-01,Sarawak,All,12115
2024-10-01,Sarawak,All,11295
2020-01-01,Selangor,All,31089
2020-02-01,Selangor,All,
2020-03-01,Selangor,All,7128
2020-04-01,Selangor,All,0
2020-05-01,Selangor,All,109
2020-06-01,Selangor,All,907
2020-07-01,Selangor,All,2357
2020-08-01,Selangor,All,1946
2020-09-01,Selangor,All,1750
2020-10-01,Selangor,All,763
2020-11-01,Selangor,All,237
2020-12-01,Selangor,All,1242
2021-01-01,Selangor,All,1224
2021-02-01,Selangor,All,1516
2021-03-01,Selangor,All,3087
2021-04-01,Selangor,All,2732
2021-05-01,Selangor,All,1865
2021-06-01,Selangor,All,692
2021-07-01,Selangor,All,1701
2021-08-01,Selangor,All,3223
2021-09-01,Selangor,All,4606
2021-10-01,Selangor,All,8647
2021-11-01,Selangor,All,11239
2021-12-01,Selangor,All,11215
2022-01-01,Selangor,All,7841
2022-02-01,Selangor,All,9594
2022-03-01,Selangor,All,16183
2022-04-01,Selangor,All,24150
2022-05-01,Selangor,All,36544
2022-06-01,Selangor,All,54851
2022-07-01,Selangor,All,47262
2022-08-01,Selangor,All,53303
2022-09-01,Selangor,All,51471
2022-10-01,Selangor,All,50656
2022-11-01,Selangor,All,48627
2022-12-01,Selangor,All,54199
2023-01-01,Selangor,All,49667
2023-02-01,Selangor,All,57115
2023-03-01,Selangor,All,55383
2023-04-01,Selangor,All,41431
2023-05-01,Selangor,All,50886
2023-06-01,Selangor,All,42581
2023-07-01,Selangor,All,42974
2023-08-01,Selangor,All,44103
2023-09-01,Selangor,All,41012
2023-10-01,Selangor,All,42744
