series,state,district,date,sector,value
abs,Johor,Kulai,2018-01-01,p2,157.4565
abs,Johor,Kulai,2018-01-01,p3,5049.9657
abs,Johor,Kulai,2018-01-01,p4,85.4202
abs,Johor,Kulai,2018-01-01,p5,4551.2087
abs,Johor,Kulai,2019-01-01,p0,11030.5923
abs,Johor,Kulai,2019-01-01,p1,493.6917
abs,Johor,Kulai,2019-01-01,p2,187.681
abs,Johor,Kulai,2019-01-01,p3,5236.8099
abs,Johor,Kulai,2019-01-01,p4,108.2299
abs,Johor,Kulai,2019-01-01,p5,4818.4463
abs,Johor,Kulai,2020-01-01,p0,10526.6583
abs,Johor,Kulai,2020-01-01,p1,507.9035
abs,Johor,Kulai,2020-01-01,p2,145.7698
abs,Johor,Kulai,2020-01-01,p3,5209.8164
abs,Johor,Kulai,2020-01-01,p4,99.3886
abs,Johor,Kulai,2020-01-01,p5,4407.4944
abs,Johor,Mersing,2015-01-01,p0,1807.3416
abs,Johor,Mersing,2015-01-01,p1,1053.9021
abs,Johor,Mersing,2015-01-01,p2,17.2806
abs,Johor,Mersing,2015-01-01,p3,127.3354
abs,Johor,Mersing,2015-01-01,p4,10.9275
abs,Johor,Mersing,2015-01-01,p5,590.9291
abs,Johor,Mersing,2016-01-01,p0,1730.8176
abs,Johor,Mersing,2016-01-01,p1,953.2604
abs,Johor,Mersing,2016-01-01,p2,19.3437
abs,Johor,Mersing,2016-01-01,p3,129.0107
abs,Johor,Mersing,2016-01-01,p4,11.8649
abs,Johor,Mersing,2016-01-01,p5,607.6778
abs,Johor,Mersing,2017-01-01,p0,1818.8528
abs,Johor,Mersing,2017-01-01,p1,1009.346
abs,Johor,Mersing,2017-01-01,p2,21.7144
abs,Johor,Mersing,2017-01-01,p3,136.6059
abs,Johor,Mersing,2017-01-01,p4,9.901
abs,Johor,Mersing,2017-01-01,p5,630.8789
abs,Johor,Mersing,2018-01-01,p0,1834.2682
abs,Johor,Mersing,2018-01-01,p1,997.5999
abs,Johor,Mersing,2018-01-01,p2,23.4775
abs,Johor,Mersing,2018-01-01,p3,135.7597
abs,Johor,Mersing,2018-01-01,p4,6.0767
abs,Johor,Mersing,2018-01-01,p5,661.8368
abs,Johor,Mersing,2019-01-01,p0,1914.8743
abs,Johor,Mersing,2019-01-01,p1,1022.1825
abs,Johor,Mersing,2019-01-01,p2,26.769
abs,Johor,Mersing,2019-01-01,p3,157.6843
abs,Johor,Mersing,2019-01-01,p4,
abs,Johor,Mersing,2019-01-01,p5,695.0631
abs,Johor,Mersing,2020-01-01,p0,1851.2352
abs,Johor,Mersing,2020-01-01,p1,984.919
abs,Johor,Mersing,2020-01-01,p2,22.9337
abs,Johor,Mersing,2020-01-01,p3,156.8176
abs,Johor,Mersing,2020-01-01,p4,
abs,Johor,Mersing,2020-01-01,p5,675.2084
abs,Johor,Muar,2015-01-01,p0,6209.2864
abs,Johor,Muar,2015-01-01,p1,1116.5564
abs,Johor,Muar,2015-01-01,p2,66.0888
abs,Johor,Muar,2015-01-01,p3,1485.8553
abs,Johor,Muar,2015-01-01,p4,182.6106
abs,Johor,Muar,2015-01-01,p5,3291.8326
abs,Johor,Muar,2016-01-01,p0,6281.6073
abs,Johor,Muar,2016-01-01,p1,994.2095
abs,Johor,Muar,2016-01-01,p2,74.2504
abs,Johor,Muar,2016-01-01,p3,1604.9176
abs,Johor,Muar,2016-01-01,p4,114.0603
abs,Johor,Muar,2016-01-01,p5,3401.0289
abs,Johor,Muar,2017-01-01,p0,6667.6387
abs,Johor,Muar,2017-01-01,p1,1047.0502
abs,Johor,Muar,2017-01-01,p2,83.3618
abs,Johor,Muar,2017-01-01,p3,1723.4589
abs,Johor,Muar,2017-01-01,p4,101.8082
abs,Johor,Muar,2017-01-01,p5,3610.0208
abs,Johor,Muar,2018-01-01,p0,7101.8933
abs,Johor,Muar,2018-01-01,p1,1063.8727
abs,Johor,Muar,2018-01-01,p2,89.9961
abs,Johor,Muar,2018-01-01,p3,1868.8662
abs,Johor,Muar,2018-01-01,p4,129.2494
abs,Johor,Muar,2018-01-01,p5,3856.1162
abs,Johor,Muar,2019-01-01,p0,7385.8709
abs,Johor,Muar,2019-01-01,p1,1035.1283
abs,Johor,Muar,2019-01-01,p2,90.4564
abs,Johor,Muar,2019-01-01,p3,1941.4536
abs,Johor,Muar,2019-01-01,p4,154.2064
abs,Johor,Muar,2019-01-01,p5,4073.0451
abs,Johor,Muar,2020-01-01,p0,7204.5068
abs,Johor,Muar,2020-01-01,p1,1083.8445
abs,Johor,Muar,2020-01-01,p2,78.0755
abs,Johor,Muar,2020-01-01,p3,1886.586
abs,Johor,Muar,2020-01-01,p4,111.8168
abs,Johor,Muar,2020-01-01,p5,3969.0632
abs,Johor,Pontian,2015-01-01,p0,3835.8948
abs,Johor,Pontian,2015-01-01,p1,1405.6611
abs,Johor,Pontian,2015-01-01,p2,
abs,Johor,Pontian,2015-01-01,p3,723.2205
abs,Johor,Pontian,2015-01-01,p4,230.1701
abs,Johor,Pontian,2015-01-01,p5,1447.7345
abs,Johor,Pontian,2016-01-01,p0,3805.6916
abs,Johor,Pontian,2016-01-01,p1,1388.8263
abs,Johor,Pontian,2016-01-01,p2,
abs,Johor,Pontian,2016-01-01,p3,718.8751
abs,Johor,Pontian,2016-01-01,p4,180.24
abs,Johor,Pontian,2016-01-01,p5,1478.8374
abs,Johor,Pontian,2017-01-01,p0,4020.6153
abs,Johor,Pontian,2017-01-01,p1,1489.3788
abs,Johor,Pontian,2017-01-01,p2,
abs,Johor,Pontian,2017-01-01,p3,741.9455
abs,Johor,Pontian,2017-01-01,p4,199.8139
abs,Johor,Pontian,2017-01-01,p5,1548.6447
abs,Johor,Pontian,2018-01-01,p0,4297.5645
abs,Johor,Pontian,2018-01-01,p1,1550.3689
abs,Johor,Pontian,2018-01-01,p2,
abs,Johor,Pontian,2018-01-01,p3,752.4473
abs,Johor,Pontian,2018-01-01,p4,316.6273
abs,Johor,Pontian,2018-01-01,p5,1643.3028
abs,Johor,Pontian,2019-01-01,p0,4254.9693
abs,Johor,Pontian,2019-01-01,p1,1508.9816
abs,Johor,Pontian,2019-01-01,p2,
abs,Johor,Pontian,2019-01-01,p3,767.8273
abs,Johor,Pontian,2019-01-01,p4,225.7209
abs,Johor,Pontian,2019-01-01,p5,1718.6802
abs,Johor,Pontian,2020-01-01,p0,4301.9548
abs,Johor,Pontian,2020-01-01,p1,1544.03
abs,Johor,Pontian,2020-01-01,p2,
abs,Johor,Pontian,2020-01-01,p3,758.4556
abs,Johor,Pontian,2020-01-01,p4,248.2073
abs,Johor,Pontian,2020-01-01,p5,1723.4814
abs,Johor,Segamat,2015-01-01,p0,4464.7043
abs,Johor,Segamat,2015-01-01,p1,1463.8255
abs,Johor,Segamat,2015-01-01,p2,9.9735
abs,Johor,Segamat,2015-01-01,p3,590.3274
abs,Johor,Segamat,2015-01-01,p4,78.006
abs,Johor,Segamat,2015-01-01,p5,2288.6051
abs,Johor,Segamat,2016-01-01,p0,4411.5739
abs,Johor,Segamat,2016-01-01,p1,1360.6173
abs,Johor,Segamat,2016-01-01,p2,11.4505
abs,Johor,Segamat,2016-01-01,p3,592.5822
abs,Johor,Segamat,2016-01-01,p4,46.9197
abs,Johor,Segamat,2016-01-01,p5,2353.6087
abs,Johor,Segamat,2017-01-01,p0,4745.6946
abs,Johor,Segamat,2017-01-01,p1,1508.9131
abs,Johor,Segamat,2017-01-01,p2,13.1886
abs,Johor,Segamat,2017-01-01,p3,628.8362
abs,Johor,Segamat,2017-01-01,p4,51.4477
abs,Johor,Segamat,2017-01-01,p5,2492.5956
abs,Johor,Segamat,2018-01-01,p0,4935.4798
abs,Johor,Segamat,2018-01-01,p1,1527.3314
abs,Johor,Segamat,2018-01-01,p2,14.1317
abs,Johor,Segamat,2018-01-01,p3,654.6347
abs,Johor,Segamat,2018-01-01,p4,70.7598
abs,Johor,Segamat,2018-01-01,p5,2623.6727
abs,Johor,Segamat,2019-01-01,p0,5106.807
abs,Johor,Segamat,2019-01-01,p1,1622.8672
abs,Johor,Segamat,2019-01-01,p2,14.5597
abs,Johor,Segamat,2019-01-01,p3,601.2729
