series,date,sector,value
abs,2019-01-01,p3.3,16545.319000000003
abs,2019-01-01,p3.3.1,7691.021
abs,2019-01-01,p3.3.2,4672.019
abs,2019-01-01,p3.3.3,4182.279
abs,2019-01-01,p3.4,90982.31
abs,2019-01-01,p3.4.1,39026.352
abs,2019-01-01,p3.4.2,33767.06
abs,2019-01-01,p3.4.3,7938.668
abs,2019-01-01,p3.4.4,10250.23
abs,2019-01-01,p3.5,37716.259000000005
abs,2019-01-01,p3.5.1,12438.257
abs,2019-01-01,p3.5.2,8498.424
abs,2019-01-01,p3.5.3,16779.578
abs,2019-01-01,p3.6,89133.01199999999
abs,2019-01-01,p3.6.1,10074.865
abs,2019-01-01,p3.6.2,5715.074
abs,2019-01-01,p3.6.3,6292.745
abs,2019-01-01,p3.6.4,61671.287
abs,2019-01-01,p3.6.5,5379.041
abs,2019-01-01,p3.7,36026.174
abs,2019-01-01,p3.7.1,26170.542
abs,2019-01-01,p3.7.2,5139.592
abs,2019-01-01,p3.7.3,4716.04
abs,2019-01-01,p4,66452.57
abs,2019-01-01,p4.1,29540.502
abs,2019-01-01,p4.1.1,15352.424
abs,2019-01-01,p4.1.2,14188.078
abs,2019-01-01,p4.2,24823.469
abs,2019-01-01,p4.3,12088.6
abs,2019-01-01,p5,820576.48
abs,2019-01-01,p5.1,176183.53
abs,2019-01-01,p5.1.1,30595.822
abs,2019-01-01,p5.1.2,7730.647
abs,2019-01-01,p5.1.3,53631.616
abs,2019-01-01,p5.1.3.1,13463.304
abs,2019-01-01,p5.1.3.2,6624.761
abs,2019-01-01,p5.1.3.3,6388.403
abs,2019-01-01,p5.1.3.4,7946.242
abs,2019-01-01,p5.1.3.5,8377.59
abs,2019-01-01,p5.1.3.6,8417.187
abs,2019-01-01,p5.1.3.7,2414.129
abs,2019-01-01,p5.1.4,84225.445
abs,2019-01-01,p5.1.4.1,8091.037
abs,2019-01-01,p5.1.4.2,57103.516
abs,2019-01-01,p5.1.4.3,19030.893
abs,2019-01-01,p5.2,292525.55500000005
abs,2019-01-01,p5.2.1,242704.161
abs,2019-01-01,p5.2.1.1,107689.81
abs,2019-01-01,p5.2.1.2,110245.347
abs,2019-01-01,p5.2.1.3,24769.004
abs,2019-01-01,p5.2.2,39970.788
abs,2019-01-01,p5.2.3,9850.606
abs,2019-01-01,p5.3,162120.6
abs,2019-01-01,p5.3.1,69388.162
abs,2019-01-01,p5.3.1.1,58506.751
abs,2019-01-01,p5.3.1.2,10881.411
abs,2019-01-01,p5.3.2,23969.945
abs,2019-01-01,p5.3.2.1,23362.195
abs,2019-01-01,p5.3.2.2,607.75
abs,2019-01-01,p5.3.3,21432.608
abs,2019-01-01,p5.3.4,47329.885
abs,2019-01-01,p5.3.4.1,32710.235
abs,2019-01-01,p5.3.4.2,14619.649
abs,2019-01-01,p5.4,70942.638
abs,2019-01-01,p5.4.1,10069.962
abs,2019-01-01,p5.4.2,11800.958
abs,2019-01-01,p5.4.3,31514.126
abs,2019-01-01,p5.4.4,372.63
abs,2019-01-01,p5.4.5,1268.0
abs,2019-01-01,p5.4.6,15916.962
abs,2019-01-01,p5.5,118804.157
abs,2019-01-01,p5.5.01,14241.068
abs,2019-01-01,p5.5.02,7800.842
abs,2019-01-01,p5.5.03,9706.934
abs,2019-01-01,p5.5.04,16097.005
abs,2019-01-01,p5.5.05,332.694
abs,2019-01-01,p5.5.06,2952.444
abs,2019-01-01,p5.5.07,17649.701
abs,2019-01-01,p5.5.08,2192.841
abs,2019-01-01,p5.5.09,46114.526
abs,2019-01-01,p5.5.10,1716.1
abs,2019-01-01,p6,16179.239
abs,2020-01-01,p0,1346249.088
abs,2020-01-01,p1,99109.202
abs,2020-01-01,p1.1,66680.909
abs,2020-01-01,p1.1.1,2444.323
abs,2020-01-01,p1.1.2,36869.199
abs,2020-01-01,p1.1.3,2388.206
abs,2020-01-01,p1.1.4,12151.612
abs,2020-01-01,p1.1.5,4928.716
abs,2020-01-01,p1.1.6,6687.06
abs,2020-01-01,p1.1.7,1211.793
abs,2020-01-01,p1.2,16002.124
abs,2020-01-01,p1.2.1,9683.066
abs,2020-01-01,p1.2.2 ,1198.68
abs,2020-01-01,p1.2.3,5120.379
abs,2020-01-01,p1.3,5140.465
abs,2020-01-01,p1.4,11285.705
abs,2020-01-01,p1.4.1,7293.243
abs,2020-01-01,p1.4.2,3992.462
abs,2020-01-01,p2,92879.418
abs,2020-01-01,p2.1,38429.639
abs,2020-01-01,p2.2,45895.587
abs,2020-01-01,p2.3,8554.192
abs,2020-01-01,p3,307605.61
abs,2020-01-01,p3.1,38589.873999999996
abs,2020-01-01,p3.1.1,12770.823
abs,2020-01-01,p3.1.2,18110.006
abs,2020-01-01,p3.1.3,4525.894
abs,2020-01-01,p3.1.4,3183.151
abs,2020-01-01,p3.2,5443.986
abs,2020-01-01,p3.2.1,4809.269
abs,2020-01-01,p3.2.2,634.717
abs,2020-01-01,p3.3,15289.672
abs,2020-01-01,p3.3.1,6768.303
abs,2020-01-01,p3.3.2,4546.95
abs,2020-01-01,p3.3.3,3974.419
abs,2020-01-01,p3.4,90084.16500000001
abs,2020-01-01,p3.4.1,35285.777
abs,2020-01-01,p3.4.2,32201.149
abs,2020-01-01,p3.4.3,12076.083
abs,2020-01-01,p3.4.4,10521.156
abs,2020-01-01,p3.5,32797.055
abs,2020-01-01,p3.5.1,10568.882
abs,2020-01-01,p3.5.2,8054.818
abs,2020-01-01,p3.5.3,14173.355
abs,2020-01-01,p3.6,91361.01999999999
abs,2020-01-01,p3.6.1,10211.616
abs,2020-01-01,p3.6.2,5636.863
abs,2020-01-01,p3.6.3,6316.649
