date,rate_type,USD,EUR,JPY,GBP,SGD,AUD,CAD
2003-08-05,buying,3.77,,0.03123,6.0716,2.1372,,
2003-08-05,selling,3.83,,0.03188,6.1652,2.1758,,
2003-08-06,buying,3.77,,0.03133,6.079,2.1331,,
2003-08-06,selling,3.83,,0.03197,6.1767,2.1749,,
2003-08-07,buying,3.77,,0.03126,6.068,2.1358,,
2003-08-07,selling,3.83,,0.03193,6.1652,2.173,,
2003-08-08,buying,3.77,,0.03152,6.0901,2.1455,,
2003-08-08,selling,3.83,,0.03219,6.1843,2.1801,,
2003-08-11,buying,3.77,,0.03156,6.0386,2.1404,,
2003-08-11,selling,3.83,,0.03226,6.1312,2.1791,,
2003-08-12,buying,3.77,,0.03162,6.0569,2.1455,,
2003-08-12,selling,3.83,,0.032374,6.1538,2.1858,,
2003-08-13,buying,3.77,,0.0316,6.0386,2.1432,,
2003-08-13,selling,3.83,,0.03236,6.1312,2.1839,,
2003-08-14,buying,3.77,,0.031428,6.0606,2.1464,,
2003-08-14,selling,3.83,,0.03217,6.1576,2.1848,,
2003-08-15,buying,3.77,,0.03155,6.0386,2.1501,,
2003-08-15,selling,3.83,,0.032294,6.135,2.1911,,
2003-08-18,buying,3.7594,,0.031438,6.0168,2.1533,,
2003-08-18,selling,3.83,,0.032244,6.1125,2.1891,,
2003-08-19,buying,3.7594,,0.031398,5.9916,2.1529,,
2003-08-19,selling,3.83,,0.032204,6.0864,2.1891,,
2003-08-20,buying,3.7594,,0.031558,5.9844,2.1524,,
2003-08-20,selling,3.83,,0.032364,6.079,2.1901,,
2003-08-21,buying,3.7594,,0.031748,5.9988,2.1631,,
2003-08-21,selling,3.83,,0.032554,6.1013,2.2124,,
2003-08-22,buying,3.7594,,0.031808,5.9453,2.1636,,
2003-08-22,selling,3.83,,0.032614,6.0569,2.2124,,
2003-08-25,buying,3.7594,,0.031888,5.9277,2.158,,
2003-08-25,selling,3.83,,0.032694,6.0314,2.2124,,
2003-08-26,buying,3.7594,,0.031948,5.9067,2.1542,,
2003-08-26,selling,3.83,,0.032754,6.0205,2.2124,,
2003-08-27,buying,3.7594,,0.031898,5.9102,2.1464,,
2003-08-27,selling,3.83,,0.03274,6.0096,2.1882,,
2003-08-28,buying,3.7594,,0.031888,5.9137,2.1487,,
2003-08-28,selling,3.83,,0.03273,6.0096,2.1906,,
2003-09-02,buying,3.77,,0.03222,5.9242,0.0215,,
2003-09-02,selling,3.83,,0.03308,6.0386,0.0219,,
2003-09-03,buying,3.77,,0.03221,5.8997,0.0214,,
2003-09-03,selling,3.83,,0.03313,6.0168,0.0219,,
2003-09-05,buying,3.77,,0.03213,5.9595,2.1395,,
2003-09-05,selling,3.83,,0.03302,6.0716,2.1887,,
2003-09-08,buying,3.77,,0.031977,5.9952,2.1395,,
2003-09-08,selling,3.83,,0.03288,6.105,2.1882,,
2003-09-09,buying,3.77,,0.0322,5.9701,2.14,,
2003-09-09,selling,3.83,,0.03306,6.0864,2.1844,,
2003-09-10,buying,3.77,,0.03215,5.9988,2.1418,,
2003-09-10,selling,3.83,,0.033,6.1125,2.1891,,
2003-09-11,buying,3.77,,0.03207,5.9988,2.1501,,
2003-09-11,selling,3.83,,0.03294,6.1125,2.1973,,
2003-09-12,buying,3.77,,0.03207,6.0132,2.1478,,
2003-09-12,selling,3.83,,0.03293,6.1275,2.1954,,
2003-09-15,buying,3.77,,0.03204,6.0533,2.1473,,
2003-09-15,selling,3.83,,0.03289,6.1614,217.3913,,
2003-09-16,buying,3.77,,0.03199,6.0496,2.1478,,
2003-09-16,selling,3.83,,0.03288,6.1538,217.3913,,
2003-09-17,buying,3.77,,0.03237,5.988,2.1524,,
2003-09-17,selling,3.83,,0.03321,6.0976,2.1978,,
2003-09-19,buying,3.77,,0.03259,6.0976,2.1524,,
2003-09-19,selling,3.83,,0.03345,6.2112,2.1959,,
2003-09-22,buying,3.77,,0.03348,6.2073,2.1744,,
2003-09-22,selling,3.83,,0.034444,6.3331,2.2282,,
2003-09-23,buying,3.77,,0.03354,6.2189,2.1753,,
2003-09-23,selling,3.83,,0.03443,6.3331,2.2321,,
2003-09-24,buying,3.77,,0.03354,6.2228,2.1701,,
2003-09-24,selling,3.83,,0.03436,6.3412,2.2232,,
2003-09-25,buying,3.77,,0.033557,6.2422,2.1716,,
2003-09-25,selling,3.83,,0.03448,6.3613,2.2262,,
2003-09-26,buying,3.77,,0.0335,6.25,2.1711,,
2003-09-26,selling,3.83,,0.03441,6.3694,2.2242,,
2003-09-29,buying,3.77,,0.03365,6.2539,2.1768,,
2003-09-29,selling,3.83,,0.03458,6.3776,2.2292,,
2003-09-30,buying,3.77,,0.033738,6.2775,2.1763,,
2003-09-30,selling,3.83,,0.034598,6.3939,2.2302,,
2003-10-01,buying,3.77,,0.03376,6.2696,2.1772,,
2003-10-01,selling,3.83,,0.03468,6.3857,2.2321,,
2003-10-02,buying,3.77,,0.03387,6.2972,2.1782,,
2003-10-02,selling,3.83,,0.03478,6.402,2.2331,,
2003-10-03,buying,3.77,,0.03388,6.3012,2.1829,,
2003-10-03,selling,3.83,,0.03479,6.4226,2.2351,,
2003-10-06,buying,3.77,,0.03384,6.2657,2.1772,,
2003-10-06,selling,3.83,,0.03474,6.3816,2.2331,,
2003-10-07,buying,3.77,,0.03383,6.3131,2.181,,
2003-10-07,selling,3.83,,0.034755,6.4309,2.2361,,
2003-10-08,buying,3.77,,0.03426,6.2933,2.1877,,
2003-10-08,selling,3.83,,0.035234,6.4144,2.2432,,
2003-10-09,buying,3.77,,0.03432,6.2735,2.1829,,
2003-10-09,selling,3.83,,0.035234,6.3939,2.2391,,
2003-10-10,buying,3.77,,0.03443,6.2775,2.1815,,
2003-10-10,selling,3.83,,0.035331,6.502,2.2361,,
2003-10-13,buying,3.77,,0.03463,6.2735,2.1887,,
2003-10-13,selling,3.83,,0.035609,6.3898,2.2401,,
2003-10-14,buying,3.77,,0.03463,6.2617,2.182,,
2003-10-14,selling,3.83,,0.035429,6.3816,2.2381,,
2003-10-15,buying,3.77,,0.03453,6.3012,2.1678,,
2003-10-15,selling,3.83,,0.03542,6.4267,2.2242,,
2003-10-16,buying,3.77,,0.0343,6.2893,2.1617,,
2003-10-16,selling,3.83,,0.03521,6.4061,2.2178,,
2003-10-17,buying,3.77,,0.03426,6.3091,2.1617,,
2003-10-17,selling,3.83,,0.03519,6.4267,2.2222,,
2003-10-20,buying,3.77,,0.03447,6.3251,2.1683,,
2003-10-20,selling,3.83,,0.03537,6.4433,2.2232,,
2003-10-21,buying,3.77,,0.03423,6.2972,2.1552,,
2003-10-21,selling,3.83,,0.035137,6.4185,2.2109,,
2003-10-22,buying,3.77,,0.03431,6.3171,2.1594,,
2003-10-22,selling,3.83,,0.035266,6.4309,2.2148,,
2003-10-23,buying,3.77,,0.03447,6.3898,2.1701,,
