series,date,type,value
abs,2017-07-01,e6.1,162172.0
abs,2017-07-01,e6.2,44020.0
abs,2017-10-01,e0,341129.0
abs,2017-10-01,e1,183258.0
abs,2017-10-01,e1.1.01,39300.0
abs,2017-10-01,e1.1.03,6608.0
abs,2017-10-01,e1.1.04,26809.0
abs,2017-10-01,e1.1.05,9539.0
abs,2017-10-01,e1.1.07,24830.0
abs,2017-10-01,e1.1.08,15046.0
abs,2017-10-01,e1.1.09,13088.0
abs,2017-10-01,e1.1.11,20431.0
abs,2017-10-01,e1.1.12,27607.0
abs,2017-10-01,e2,51737.0
abs,2017-10-01,e3,80405.0
abs,2017-10-01,e3.1,80404.0
abs,2017-10-01,e3.1.1,45625.0
abs,2017-10-01,e3.1.2,28565.0
abs,2017-10-01,e3.1.3,6214.0
abs,2017-10-01,e3.2,80405.0
abs,2017-10-01,e3.2.1,35537.0
abs,2017-10-01,e3.2.2,44868.0
abs,2017-10-01,e4,3244.0
abs,2017-10-01,e5,231634.0
abs,2017-10-01,e5.1,193692.0
abs,2017-10-01,e5.2,37941.0
abs,2017-10-01,e6,209148.0
abs,2017-10-01,e6.1,164673.0
abs,2017-10-01,e6.2,44475.0
abs,2018-01-01,e0,327096.0
abs,2018-01-01,e1,184720.0
abs,2018-01-01,e1.1.01,41226.0
abs,2018-01-01,e1.1.03,5859.0
abs,2018-01-01,e1.1.04,29422.0
abs,2018-01-01,e1.1.05,9958.0
abs,2018-01-01,e1.1.07,23278.0
abs,2018-01-01,e1.1.08,16300.0
abs,2018-01-01,e1.1.09,11787.0
abs,2018-01-01,e1.1.11,19795.0
abs,2018-01-01,e1.1.12,27096.0
abs,2018-01-01,e2,36399.0
abs,2018-01-01,e3,82365.0
abs,2018-01-01,e3.1,82365.0
abs,2018-01-01,e3.1.1,47156.0
abs,2018-01-01,e3.1.2,28945.0
abs,2018-01-01,e3.1.3,6264.0
abs,2018-01-01,e3.2,82366.0
abs,2018-01-01,e3.2.1,24082.0
abs,2018-01-01,e3.2.2,58284.0
abs,2018-01-01,e4,-2505.0
abs,2018-01-01,e5,223747.0
abs,2018-01-01,e5.1,188051.0
abs,2018-01-01,e5.2,35697.0
abs,2018-01-01,e6,197630.0
abs,2018-01-01,e6.1,157060.0
abs,2018-01-01,e6.2,40570.0
abs,2018-04-01,e0,333438.0
abs,2018-04-01,e1,188796.0
abs,2018-04-01,e1.1.01,40937.0
abs,2018-04-01,e1.1.03,6387.0
abs,2018-04-01,e1.1.04,29571.0
abs,2018-04-01,e1.1.05,9949.0
abs,2018-04-01,e1.1.07,23129.0
abs,2018-04-01,e1.1.08,16617.0
abs,2018-04-01,e1.1.09,12323.0
abs,2018-04-01,e1.1.11,20109.0
abs,2018-04-01,e1.1.12,29775.0
abs,2018-04-01,e2,39451.0
abs,2018-04-01,e3,86934.0
abs,2018-04-01,e3.1,86934.0
abs,2018-04-01,e3.1.1,50960.0
abs,2018-04-01,e3.1.2,28930.0
abs,2018-04-01,e3.1.3,7044.0
abs,2018-04-01,e3.2,86934.0
abs,2018-04-01,e3.2.1,19624.0
abs,2018-04-01,e3.2.2,67310.0
abs,2018-04-01,e4,172.0
abs,2018-04-01,e5,222888.0
abs,2018-04-01,e5.1,185613.0
abs,2018-04-01,e5.2,37275.0
abs,2018-04-01,e6,204803.0
abs,2018-04-01,e6.1,164269.0
abs,2018-04-01,e6.2,40534.0
abs,2018-07-01,e0,345685.0
abs,2018-07-01,e1,203884.0
abs,2018-07-01,e1.1.01,46017.0
abs,2018-07-01,e1.1.03,8165.0
abs,2018-07-01,e1.1.04,29332.0
abs,2018-07-01,e1.1.05,10898.0
abs,2018-07-01,e1.1.07,27132.0
abs,2018-07-01,e1.1.08,16559.0
abs,2018-07-01,e1.1.09,13055.0
abs,2018-07-01,e1.1.11,20663.0
abs,2018-07-01,e1.1.12,32063.0
abs,2018-07-01,e2,40265.0
abs,2018-07-01,e3,85388.0
abs,2018-07-01,e3.1,85388.0
abs,2018-07-01,e3.1.1,48996.0
abs,2018-07-01,e3.1.2,29906.0
abs,2018-07-01,e3.1.3,6486.0
abs,2018-07-01,e3.2,85388.0
abs,2018-07-01,e3.2.1,24144.0
abs,2018-07-01,e3.2.2,61244.0
abs,2018-07-01,e4,-5223.0
abs,2018-07-01,e5,232375.0
abs,2018-07-01,e5.1,195026.0
abs,2018-07-01,e5.2,37349.0
abs,2018-07-01,e6,211003.0
abs,2018-07-01,e6.1,169667.0
abs,2018-07-01,e6.2,41336.0
abs,2018-10-01,e0,357547.0
abs,2018-10-01,e1,198654.0
abs,2018-10-01,e1.1.01,42752.0
abs,2018-10-01,e1.1.03,7538.0
abs,2018-10-01,e1.1.04,28178.0
abs,2018-10-01,e1.1.05,10348.0
abs,2018-10-01,e1.1.07,26574.0
abs,2018-10-01,e1.1.08,16563.0
abs,2018-10-01,e1.1.09,14263.0
abs,2018-10-01,e1.1.11,22403.0
abs,2018-10-01,e1.1.12,30035.0
abs,2018-10-01,e2,53915.0
abs,2018-10-01,e3,80905.0
abs,2018-10-01,e3.1,80906.0
abs,2018-10-01,e3.1.1,46218.0
abs,2018-10-01,e3.1.2,28194.0
abs,2018-10-01,e3.1.3,6494.0
abs,2018-10-01,e3.2,80905.0
abs,2018-10-01,e3.2.1,32400.0
abs,2018-10-01,e3.2.2,48505.0
abs,2018-10-01,e4,-1121.0
abs,2018-10-01,e5,238452.0
abs,2018-10-01,e5.1,200156.0
abs,2018-10-01,e5.2,38296.0
abs,2018-10-01,e6,213258.0
abs,2018-10-01,e6.1,171751.0
abs,2018-10-01,e6.2,41507.0
abs,2019-01-01,e0,342373.0
abs,2019-01-01,e1,199022.0
abs,2019-01-01,e1.1.01,44604.0
abs,2019-01-01,e1.1.03,6647.0
abs,2019-01-01,e1.1.04,30842.0
abs,2019-01-01,e1.1.05,10745.0
abs,2019-01-01,e1.1.07,25445.0
abs,2019-01-01,e1.1.08,17883.0
abs,2019-01-01,e1.1.09,12853.0
abs,2019-01-01,e1.1.11,21736.0
abs,2019-01-01,e1.1.12,28267.0
abs,2019-01-01,e2,38559.0
abs,2019-01-01,e3,79544.0
abs,2019-01-01,e3.1,79545.0
abs,2019-01-01,e3.1.1,46611.0
abs,2019-01-01,e3.1.2,26804.0
abs,2019-01-01,e3.1.3,6130.0
abs,2019-01-01,e3.2,79544.0
abs,2019-01-01,e3.2.1,20450.0
abs,2019-01-01,e3.2.2,59094.0
abs,2019-01-01,e4,-4670.0
abs,2019-01-01,e5,224409.0
abs,2019-01-01,e5.1,186771.0
abs,2019-01-01,e5.2,37638.0
abs,2019-01-01,e6,194491.0
abs,2019-01-01,e6.1,156029.0
abs,2019-01-01,e6.2,38462.0
abs,2019-04-01,e0,349910.0
abs,2019-04-01,e1,203545.0
abs,2019-04-01,e1.1.01,44316.0
abs,2019-04-01,e1.1.03,7205.0
abs,2019-04-01,e1.1.04,30947.0
abs,2019-04-01,e1.1.05,10700.0
abs,2019-04-01,e1.1.07,25036.0
abs,2019-04-01,e1.1.08,17998.0
abs,2019-04-01,e1.1.09,13284.0
abs,2019-04-01,e1.1.11,21989.0
abs,2019-04-01,e1.1.12,32070.0
abs,2019-04-01,e2,39461.0
abs,2019-04-01,e3,86419.0
abs,2019-04-01,e3.1,86419.0
abs,2019-04-01,e3.1.1,51605.0
abs,2019-04-01,e3.1.2,27698.0
abs,2019-04-01,e3.1.3,7116.0
abs,2019-04-01,e3.2,86418.0
