date,state,age_group,addicts
2020-01-01,W.P. Putrajaya,16-19,2
2021-01-01,W.P. Putrajaya,16-19,3
2022-01-01,W.P. Putrajaya,16-19,1
2023-01-01,W.P. Putrajaya,16-19,0
2015-01-01,Malaysia,20-24,4986
2016-01-01,Malaysia,20-24,5572
2017-01-01,Malaysia,20-24,4706
2018-01-01,Malaysia,20-24,4435
2019-01-01,Malaysia,20-24,4449
2020-01-01,Malaysia,20-24,3418
2021-01-01,Malaysia,20-24,2920
2022-01-01,Malaysia,20-24,2970
2023-01-01,Malaysia,20-24,2739
2019-01-01,Johor,20-24,432
2020-01-01,Johor,20-24,462
2021-01-01,Johor,20-24,344
2022-01-01,Johor,20-24,271
2023-01-01,Johor,20-24,263
2019-01-01,Kedah,20-24,638
2020-01-01,Kedah,20-24,409
2021-01-01,Kedah,20-24,381
2022-01-01,Kedah,20-24,385
2023-01-01,Kedah,20-24,374
2019-01-01,Kelantan,20-24,454
2020-01-01,Kelantan,20-24,350
2021-01-01,Kelantan,20-24,386
2022-01-01,Kelantan,20-24,341
2023-01-01,Kelantan,20-24,350
2019-01-01,Melaka,20-24,112
2020-01-01,Melaka,20-24,138
2021-01-01,Melaka,20-24,77
2022-01-01,Melaka,20-24,54
2023-01-01,Melaka,20-24,56
2019-01-01,Negeri Sembilan,20-24,269
2020-01-01,Negeri Sembilan,20-24,145
2021-01-01,Negeri Sembilan,20-24,121
2022-01-01,Negeri Sembilan,20-24,99
2023-01-01,Negeri Sembilan,20-24,100
2019-01-01,Pahang,20-24,291
2020-01-01,Pahang,20-24,210
2021-01-01,Pahang,20-24,158
2022-01-01,Pahang,20-24,156
2023-01-01,Pahang,20-24,244
2019-01-01,Perak,20-24,320
2020-01-01,Perak,20-24,270
2021-01-01,Perak,20-24,232
2022-01-01,Perak,20-24,280
2023-01-01,Perak,20-24,180
2019-01-01,Perlis,20-24,67
2020-01-01,Perlis,20-24,67
2021-01-01,Perlis,20-24,45
2022-01-01,Perlis,20-24,85
2023-01-01,Perlis,20-24,69
2019-01-01,Pulau Pinang,20-24,425
2020-01-01,Pulau Pinang,20-24,291
2021-01-01,Pulau Pinang,20-24,199
2022-01-01,Pulau Pinang,20-24,290
2023-01-01,Pulau Pinang,20-24,212
2019-01-01,Sabah,20-24,259
2020-01-01,Sabah,20-24,100
2021-01-01,Sabah,20-24,104
2022-01-01,Sabah,20-24,100
2023-01-01,Sabah,20-24,78
2019-01-01,Sarawak,20-24,199
2020-01-01,Sarawak,20-24,161
2021-01-01,Sarawak,20-24,143
2022-01-01,Sarawak,20-24,213
2023-01-01,Sarawak,20-24,217
2019-01-01,Selangor,20-24,433
