date,time,origin,destination,ridership
2022-06-23,17:00,JB Sentral,Woodlands CIQ,241
2022-06-23,17:00,Woodlands CIQ,JB Sentral,94
2022-06-23,18:00,Woodlands CIQ,JB Sentral,228
2022-06-23,19:00,JB Sentral,Woodlands CIQ,241
2022-06-23,20:00,JB Sentral,Woodlands CIQ,241
2022-06-23,20:00,Woodlands CIQ,JB Sentral,242
2022-06-23,21:00,JB Sentral,Woodlands CIQ,240
2022-06-23,21:00,Woodlands CIQ,JB Sentral,175
2022-06-23,22:00,JB Sentral,Woodlands CIQ,243
2022-06-23,22:00,Woodlands CIQ,JB Sentral,74
2022-06-23,23:00,Woodlands CIQ,JB Sentral,30
2022-06-24,05:00,JB Sentral,Woodlands CIQ,243
2022-06-24,06:00,JB Sentral,Woodlands CIQ,471
2022-06-24,07:00,JB Sentral,Woodlands CIQ,433
2022-06-24,08:00,JB Sentral,Woodlands CIQ,144
2022-06-24,08:00,Woodlands CIQ,JB Sentral,242
2022-06-24,09:00,Woodlands CIQ,JB Sentral,242
2022-06-24,10:00,JB Sentral,Woodlands CIQ,130
2022-06-24,11:00,JB Sentral,Woodlands CIQ,110
2022-06-24,11:00,Woodlands CIQ,JB Sentral,240
2022-06-24,12:00,JB Sentral,Woodlands CIQ,119
2022-06-24,12:00,Woodlands CIQ,JB Sentral,241
2022-06-24,13:00,Woodlands CIQ,JB Sentral,245
2022-06-24,14:00,JB Sentral,Woodlands CIQ,115
2022-06-24,15:00,JB Sentral,Woodlands CIQ,176
2022-06-24,15:00,Woodlands CIQ,JB Sentral,243
2022-06-24,16:00,JB Sentral,Woodlands CIQ,238
2022-06-24,16:00,Woodlands CIQ,JB Sentral,241
2022-06-24,17:00,JB Sentral,Woodlands CIQ,242
2022-06-24,17:00,Woodlands CIQ,JB Sentral,243
2022-06-24,18:00,Woodlands CIQ,JB Sentral,242
2022-06-24,19:00,JB Sentral,Woodlands CIQ,240
2022-06-24,20:00,JB Sentral,Woodlands CIQ,240
2022-06-24,20:00,Woodlands CIQ,JB Sentral,242
2022-06-24,21:00,JB Sentral,Woodlands CIQ,240
2022-06-24,21:00,Woodlands CIQ,JB Sentral,243
2022-06-24,22:00,JB Sentral,Woodlands CIQ,243
2022-06-24,22:00,Woodlands CIQ,JB Sentral,240
2022-06-24,23:00,Woodlands CIQ,JB Sentral,240
2022-06-25,05:00,JB Sentral,Woodlands CIQ,134
2022-06-25,06:00,JB Sentral,Woodlands CIQ,180
2022-06-25,07:00,JB Sentral,Woodlands CIQ,202
