date,category,variable,value
2020-07-01,tax_direct,pita,15
2020-10-01,tax_direct,pita,8057
2021-01-01,tax_direct,pita,1402
2021-04-01,tax_direct,pita,2848
2021-07-01,tax_direct,pita,1936
2021-10-01,tax_direct,pita,5384
2022-01-01,tax_direct,pita,3474
2022-04-01,tax_direct,pita,5972
2022-07-01,tax_direct,pita,6673
2022-10-01,tax_direct,pita,7302
2023-01-01,tax_direct,pita,5146
2023-04-01,tax_direct,pita,6630
2023-07-01,tax_direct,pita,7211
2023-10-01,tax_direct,pita,7109
2024-01-01,tax_direct,pita,2934
1996-01-01,tax_direct,iita,1735
1996-04-01,tax_direct,iita,1450
1996-07-01,tax_direct,iita,1385
1996-10-01,tax_direct,iita,1602
1997-01-01,tax_direct,iita,1759
1997-04-01,tax_direct,iita,1395
1997-07-01,tax_direct,iita,1689
1997-10-01,tax_direct,iita,1586
1998-01-01,tax_direct,iita,1899
1998-04-01,tax_direct,iita,1561
1998-07-01,tax_direct,iita,1636
1998-10-01,tax_direct,iita,1804
1999-01-01,tax_direct,iita,2195
1999-04-01,tax_direct,iita,1547
1999-07-01,tax_direct,iita,1388
1999-10-01,tax_direct,iita,1290
2000-01-01,tax_direct,iita,2104
2000-04-01,tax_direct,iita,1579
2000-07-01,tax_direct,iita,3096
2000-10-01,tax_direct,iita,235
2001-01-01,tax_direct,iita,3822
2001-04-01,tax_direct,iita,4324
2001-07-01,tax_direct,iita,265
2001-10-01,tax_direct,iita,1026
2002-01-01,tax_direct,iita,3772
2002-04-01,tax_direct,iita,1679
2002-07-01,tax_direct,iita,3585
2002-10-01,tax_direct,iita,853
2003-01-01,tax_direct,iita,3686
2003-04-01,tax_direct,iita,8012
2003-07-01,tax_direct,iita,3272
2003-10-01,tax_direct,iita,-6987
2004-01-01,tax_direct,iita,5845
2004-04-01,tax_direct,iita,3535
2004-07-01,tax_direct,iita,-1098
2004-10-01,tax_direct,iita,695
2005-01-01,tax_direct,iita,6637
2005-04-01,tax_direct,iita,3457
2005-07-01,tax_direct,iita,4004
2005-10-01,tax_direct,iita,-5449
2006-01-01,tax_direct,iita,7870
2006-04-01,tax_direct,iita,563
2006-07-01,tax_direct,iita,9493
2006-10-01,tax_direct,iita,-7730
2007-01-01,tax_direct,iita,9286
2007-04-01,tax_direct,iita,-8500
2007-07-01,tax_direct,iita,11291
2007-10-01,tax_direct,iita,-416
2008-01-01,tax_direct,iita,13972
2008-04-01,tax_direct,iita,3238
2008-07-01,tax_direct,iita,-1641
2008-10-01,tax_direct,iita,-603
2009-01-01,tax_direct,iita,15139
2009-04-01,tax_direct,iita,-2349
2009-07-01,tax_direct,iita,8370
2009-10-01,tax_direct,iita,-5570
2010-01-01,tax_direct,iita,10422
2010-04-01,tax_direct,iita,6747
2010-07-01,tax_direct,iita,5839
2010-10-01,tax_direct,iita,-5203
2011-01-01,tax_direct,iita,10134
2011-04-01,tax_direct,iita,10866
2011-07-01,tax_direct,iita,134
2011-10-01,tax_direct,iita,-932
2012-01-01,tax_direct,iita,10736
2012-04-01,tax_direct,iita,7544
2012-07-01,tax_direct,iita,5174
2012-10-01,tax_direct,iita,-476
2013-01-01,tax_direct,iita,8799
2013-04-01,tax_direct,iita,9719
2013-07-01,tax_direct,iita,14449
2013-10-01,tax_direct,iita,-9913
2014-01-01,tax_direct,iita,11057
2014-04-01,tax_direct,iita,9102
2014-07-01,tax_direct,iita,-422
2014-10-01,tax_direct,iita,4686
2015-01-01,tax_direct,iita,8012
2015-04-01,tax_direct,iita,5545
2015-07-01,tax_direct,iita,6105
2015-10-01,tax_direct,iita,6658
2016-01-01,tax_direct,iita,10591
2016-04-01,tax_direct,iita,2642
2016-07-01,tax_direct,iita,11712
2016-10-01,tax_direct,iita,2621
2017-01-01,tax_direct,iita,8114
2017-04-01,tax_direct,iita,7259
2017-07-01,tax_direct,iita,7987
2017-10-01,tax_direct,iita,5585
2018-01-01,tax_direct,iita,13038
2018-04-01,tax_direct,iita,5535
2018-07-01,tax_direct,iita,7629
2018-10-01,tax_direct,iita,6403
2019-01-01,tax_direct,iita,8019
2019-04-01,tax_direct,iita,8098
2019-07-01,tax_direct,iita,13517
2019-10-01,tax_direct,iita,9046
2020-01-01,tax_direct,iita,9741
2020-04-01,tax_direct,iita,7508
2020-07-01,tax_direct,iita,10450
2020-10-01,tax_direct,iita,11254
2021-01-01,tax_direct,iita,7333
2021-04-01,tax_direct,iita,12205
2021-07-01,tax_direct,iita,13214
2021-10-01,tax_direct,iita,-5700
2022-01-01,tax_direct,iita,8468
2022-04-01,tax_direct,iita,6971
2022-07-01,tax_direct,iita,10372
2022-10-01,tax_direct,iita,7965
2023-01-01,tax_direct,iita,10703
2023-04-01,tax_direct,iita,12492
2023-07-01,tax_direct,iita,7249
2023-10-01,tax_direct,iita,5767
2024-01-01,tax_direct,iita,8852
1996-01-01,tax_direct,stamp,494
1996-04-01,tax_direct,stamp,720
1996-07-01,tax_direct,stamp,715
1996-10-01,tax_direct,stamp,779
1997-01-01,tax_direct,stamp,651
1997-04-01,tax_direct,stamp,762
1997-07-01,tax_direct,stamp,676
1997-10-01,tax_direct,stamp,625
1998-01-01,tax_direct,stamp,369
1998-04-01,tax_direct,stamp,303
1998-07-01,tax_direct,stamp,238
1998-10-01,tax_direct,stamp,280
1999-01-01,tax_direct,stamp,263
1999-04-01,tax_direct,stamp,306
1999-07-01,tax_direct,stamp,463
1999-10-01,tax_direct,stamp,534
2000-01-01,tax_direct,stamp,325
2000-04-01,tax_direct,stamp,553
2000-07-01,tax_direct,stamp,471
2000-10-01,tax_direct,stamp,450
2001-01-01,tax_direct,stamp,358
2001-04-01,tax_direct,stamp,335
2001-07-01,tax_direct,stamp,411
2001-10-01,tax_direct,stamp,546
2002-01-01,tax_direct,stamp,346
2002-04-01,tax_direct,stamp,468
2002-07-01,tax_direct,stamp,455
2002-10-01,tax_direct,stamp,463
2003-01-01,tax_direct,stamp,326
2003-04-01,tax_direct,stamp,388
2003-07-01,tax_direct,stamp,590
2003-10-01,tax_direct,stamp,704
2004-01-01,tax_direct,stamp,451
2004-04-01,tax_direct,stamp,644
2004-07-01,tax_direct,stamp,615
2004-10-01,tax_direct,stamp,671
2005-01-01,tax_direct,stamp,527
2005-04-01,tax_direct,stamp,615
2005-07-01,tax_direct,stamp,613
2005-10-01,tax_direct,stamp,706
2006-01-01,tax_direct,stamp,420
2006-04-01,tax_direct,stamp,629
2006-07-01,tax_direct,stamp,684
2006-10-01,tax_direct,stamp,789
2007-01-01,tax_direct,stamp,569
2007-04-01,tax_direct,stamp,885
2007-07-01,tax_direct,stamp,906
2007-10-01,tax_direct,stamp,1044
2008-01-01,tax_direct,stamp,580
2008-04-01,tax_direct,stamp,969
2008-07-01,tax_direct,stamp,1031
2008-10-01,tax_direct,stamp,912
2009-01-01,tax_direct,stamp,608
2009-04-01,tax_direct,stamp,734
2009-07-01,tax_direct,stamp,930
2009-10-01,tax_direct,stamp,1076
2010-01-01,tax_direct,stamp,969
2010-04-01,tax_direct,stamp,1005
2010-07-01,tax_direct,stamp,1045
2010-10-01,tax_direct,stamp,1173
2011-01-01,tax_direct,stamp,1078
2011-04-01,tax_direct,stamp,1260
2011-07-01,tax_direct,stamp,1260
2011-10-01,tax_direct,stamp,1331
2012-01-01,tax_direct,stamp,1241
2012-04-01,tax_direct,stamp,1392
2012-07-01,tax_direct,stamp,1360
2012-10-01,tax_direct,stamp,1602
2013-01-01,tax_direct,stamp,1396
2013-04-01,tax_direct,stamp,1468
2013-07-01,tax_direct,stamp,1610
2013-10-01,tax_direct,stamp,1891
2014-01-01,tax_direct,stamp,1481
2014-04-01,tax_direct,stamp,1633
2014-07-01,tax_direct,stamp,1609
2014-10-01,tax_direct,stamp,1735
2015-01-01,tax_direct,stamp,1415
2015-04-01,tax_direct,stamp,1564
2015-07-01,tax_direct,stamp,1462
2015-10-01,tax_direct,stamp,1533
2016-01-01,tax_direct,stamp,1212
2016-04-01,tax_direct,stamp,1338
2016-07-01,tax_direct,stamp,1434
2016-10-01,tax_direct,stamp,1704
2017-01-01,tax_direct,stamp,1310
2017-04-01,tax_direct,stamp,1376
2017-07-01,tax_direct,stamp,1357
2017-10-01,tax_direct,stamp,1621
2018-01-01,tax_direct,stamp,1351
2018-04-01,tax_direct,stamp,1439
2018-07-01,tax_direct,stamp,1480
2018-10-01,tax_direct,stamp,1653
2019-01-01,tax_direct,stamp,1512
2019-04-01,tax_direct,stamp,1460
2019-07-01,tax_direct,stamp,1560
2019-10-01,tax_direct,stamp,1681
2020-01-01,tax_direct,stamp,1301
2020-04-01,tax_direct,stamp,843
2020-07-01,tax_direct,stamp,1542
2020-10-01,tax_direct,stamp,1820
2021-01-01,tax_direct,stamp,1505
2021-04-01,tax_direct,stamp,1497
2021-07-01,tax_direct,stamp,1351
2021-10-01,tax_direct,stamp,1987
2022-01-01,tax_direct,stamp,1791
2022-04-01,tax_direct,stamp,1877
2022-07-01,tax_direct,stamp,2153
2022-10-01,tax_direct,stamp,2217
2023-01-01,tax_direct,stamp,1929
2023-04-01,tax_direct,stamp,2601
2023-07-01,tax_direct,stamp,2321
2023-10-01,tax_direct,stamp,2714
2024-01-01,tax_direct,stamp,2540
1996-01-01,tax_direct,other,119
1996-04-01,tax_direct,other,123
1996-07-01,tax_direct,other,164
1996-10-01,tax_direct,other,196
1997-01-01,tax_direct,other,149
1997-04-01,tax_direct,other,140
1997-07-01,tax_direct,other,170
1997-10-01,tax_direct,other,281
1998-01-01,tax_direct,other,124
1998-04-01,tax_direct,other,164
1998-07-01,tax_direct,other,153
1998-10-01,tax_direct,other,144
1999-01-01,tax_direct,other,82
1999-04-01,tax_direct,other,180
1999-07-01,tax_direct,other,280
1999-10-01,tax_direct,other,122
2000-01-01,tax_direct,other,83
2000-04-01,tax_direct,other,138
2000-07-01,tax_direct,other,88
2000-10-01,tax_direct,other,120
2001-01-01,tax_direct,other,40
2001-04-01,tax_direct,other,94
2001-07-01,tax_direct,other,120
2001-10-01,tax_direct,other,128
2002-01-01,tax_direct,other,40
2002-04-01,tax_direct,other,126
2002-07-01,tax_direct,other,127
2002-10-01,tax_direct,other,159
2003-01-01,tax_direct,other,90
2003-04-01,tax_direct,other,72
2003-07-01,tax_direct,other,150
2003-10-01,tax_direct,other,255
2004-01-01,tax_direct,other,147
2004-04-01,tax_direct,other,358
2004-07-01,tax_direct,other,343
2004-10-01,tax_direct,other,630
2005-01-01,tax_direct,other,131
2005-04-01,tax_direct,other,833
2005-07-01,tax_direct,other,-178
2005-10-01,tax_direct,other,701
2006-01-01,tax_direct,other,184
2006-04-01,tax_direct,other,529
2006-07-01,tax_direct,other,126
2006-10-01,tax_direct,other,865
2007-01-01,tax_direct,other,153
2007-04-01,tax_direct,other,842
2007-07-01,tax_direct,other,125
2007-10-01,tax_direct,other,609
2008-01-01,tax_direct,other,26
2008-04-01,tax_direct,other,557
2008-07-01,tax_direct,other,537
2008-10-01,tax_direct,other,628
2009-01-01,tax_direct,other,25
2009-04-01,tax_direct,other,699
2009-07-01,tax_direct,other,290
2009-10-01,tax_direct,other,992
2010-01-01,tax_direct,other,192
2010-04-01,tax_direct,other,431
2010-07-01,tax_direct,other,432
2010-10-01,tax_direct,other,978
2011-01-01,tax_direct,other,330
2011-04-01,tax_direct,other,387
2011-07-01,tax_direct,other,855
2011-10-01,tax_direct,other,901
2012-01-01,tax_direct,other,426
2012-04-01,tax_direct,other,695
2012-07-01,tax_direct,other,753
2012-10-01,tax_direct,other,1270
2013-01-01,tax_direct,other,560
2013-04-01,tax_direct,other,735
2013-07-01,tax_direct,other,500
2013-10-01,tax_direct,other,1381
2014-01-01,tax_direct,other,617
2014-04-01,tax_direct,other,819
2014-07-01,tax_direct,other,1270
2014-10-01,tax_direct,other,961
2015-01-01,tax_direct,other,970
2015-04-01,tax_direct,other,1194
2015-07-01,tax_direct,other,1038
2015-10-01,tax_direct,other,1036
2016-01-01,tax_direct,other,750
2016-04-01,tax_direct,other,1439
2016-07-01,tax_direct,other,1220
2016-10-01,tax_direct,other,899
2017-01-01,tax_direct,other,967
2017-04-01,tax_direct,other,1188
2017-07-01,tax_direct,other,1572
