date,category,variable,value
2004-10-01,tax_indirect,service,786
2005-01-01,tax_indirect,service,468
2005-04-01,tax_indirect,service,718
2005-07-01,tax_indirect,service,525
2005-10-01,tax_indirect,service,871
2006-01-01,tax_indirect,service,469
2006-04-01,tax_indirect,service,719
2006-07-01,tax_indirect,service,606
2006-10-01,tax_indirect,service,891
2007-01-01,tax_indirect,service,540
2007-04-01,tax_indirect,service,795
2007-07-01,tax_indirect,service,678
2007-10-01,tax_indirect,service,1000
2008-01-01,tax_indirect,service,529
2008-04-01,tax_indirect,service,979
2008-07-01,tax_indirect,service,791
2008-10-01,tax_indirect,service,1047
2009-01-01,tax_indirect,service,670
2009-04-01,tax_indirect,service,856
2009-07-01,tax_indirect,service,789
2009-10-01,tax_indirect,service,1030
2010-01-01,tax_indirect,service,818
2010-04-01,tax_indirect,service,963
2010-07-01,tax_indirect,service,990
2010-10-01,tax_indirect,service,1155
2011-01-01,tax_indirect,service,1009
2011-04-01,tax_indirect,service,1218
2011-07-01,tax_indirect,service,1256
2011-10-01,tax_indirect,service,1499
2012-01-01,tax_indirect,service,1314
2012-04-01,tax_indirect,service,1192
2012-07-01,tax_indirect,service,1551
2012-10-01,tax_indirect,service,1525
2013-01-01,tax_indirect,service,1306
2013-04-01,tax_indirect,service,1470
2013-07-01,tax_indirect,service,1435
2013-10-01,tax_indirect,service,1734
2014-01-01,tax_indirect,service,1411
2014-04-01,tax_indirect,service,1500
2014-07-01,tax_indirect,service,1667
2014-10-01,tax_indirect,service,1700
2015-01-01,tax_indirect,service,1541
2015-04-01,tax_indirect,service,1254
2015-07-01,tax_indirect,service,171
2015-10-01,tax_indirect,service,72
2016-01-01,tax_indirect,service,34
2016-04-01,tax_indirect,service,30
2016-07-01,tax_indirect,service,11
2016-10-01,tax_indirect,service,28
2017-01-01,tax_indirect,service,3
2017-04-01,tax_indirect,service,4
2017-07-01,tax_indirect,service,8
2017-10-01,tax_indirect,service,1
2018-01-01,tax_indirect,service,2
2018-04-01,tax_indirect,service,1
2018-07-01,tax_indirect,service,0
2018-10-01,tax_indirect,service,1469
2019-01-01,tax_indirect,service,2490
2019-04-01,tax_indirect,service,3107
2019-07-01,tax_indirect,service,3277
2019-10-01,tax_indirect,service,3409
2020-01-01,tax_indirect,service,3132
2020-04-01,tax_indirect,service,2876
2020-07-01,tax_indirect,service,3215
2020-10-01,tax_indirect,service,2783
2021-01-01,tax_indirect,service,3430
2021-04-01,tax_indirect,service,2579
2021-07-01,tax_indirect,service,3062
2021-10-01,tax_indirect,service,2946
2022-01-01,tax_indirect,service,3908
2022-04-01,tax_indirect,service,3309
2022-07-01,tax_indirect,service,4233
2022-10-01,tax_indirect,service,3661
2023-01-01,tax_indirect,service,4688
2023-04-01,tax_indirect,service,3505
2023-07-01,tax_indirect,service,4714
2023-10-01,tax_indirect,service,4184
2024-01-01,tax_indirect,service,5071
1996-01-01,tax_indirect,other,394
1996-04-01,tax_indirect,other,440
1996-07-01,tax_indirect,other,474
1996-10-01,tax_indirect,other,446
1997-01-01,tax_indirect,other,300
1997-04-01,tax_indirect,other,598
1997-07-01,tax_indirect,other,404
1997-10-01,tax_indirect,other,620
1998-01-01,tax_indirect,other,492
1998-04-01,tax_indirect,other,501
1998-07-01,tax_indirect,other,475
1998-10-01,tax_indirect,other,484
1999-01-01,tax_indirect,other,1132
1999-04-01,tax_indirect,other,161
1999-07-01,tax_indirect,other,596
1999-10-01,tax_indirect,other,152
2000-01-01,tax_indirect,other,905
2000-04-01,tax_indirect,other,151
2000-07-01,tax_indirect,other,466
2000-10-01,tax_indirect,other,392
2001-01-01,tax_indirect,other,729
2001-04-01,tax_indirect,other,507
2001-07-01,tax_indirect,other,716
2001-10-01,tax_indirect,other,-30
2002-01-01,tax_indirect,other,417
2002-04-01,tax_indirect,other,491
2002-07-01,tax_indirect,other,368
2002-10-01,tax_indirect,other,560
2003-01-01,tax_indirect,other,303
2003-04-01,tax_indirect,other,343
2003-07-01,tax_indirect,other,646
2003-10-01,tax_indirect,other,474
2004-01-01,tax_indirect,other,533
2004-04-01,tax_indirect,other,577
2004-07-01,tax_indirect,other,605
2004-10-01,tax_indirect,other,566
2005-01-01,tax_indirect,other,583
2005-04-01,tax_indirect,other,652
2005-07-01,tax_indirect,other,761
2005-10-01,tax_indirect,other,652
2006-01-01,tax_indirect,other,449
2006-04-01,tax_indirect,other,633
2006-07-01,tax_indirect,other,609
2006-10-01,tax_indirect,other,534
2007-01-01,tax_indirect,other,493
2007-04-01,tax_indirect,other,675
2007-07-01,tax_indirect,other,569
2007-10-01,tax_indirect,other,643
2008-01-01,tax_indirect,other,425
2008-04-01,tax_indirect,other,665
2008-07-01,tax_indirect,other,1173
2008-10-01,tax_indirect,other,682
2009-01-01,tax_indirect,other,717
2009-04-01,tax_indirect,other,756
2009-07-01,tax_indirect,other,677
2009-10-01,tax_indirect,other,697
2010-01-01,tax_indirect,other,659
2010-04-01,tax_indirect,other,683
2010-07-01,tax_indirect,other,691
2010-10-01,tax_indirect,other,830
2011-01-01,tax_indirect,other,922
2011-04-01,tax_indirect,other,917
2011-07-01,tax_indirect,other,852
2011-10-01,tax_indirect,other,768
2012-01-01,tax_indirect,other,845
2012-04-01,tax_indirect,other,851
2012-07-01,tax_indirect,other,790
2012-10-01,tax_indirect,other,704
2013-01-01,tax_indirect,other,692
2013-04-01,tax_indirect,other,690
2013-07-01,tax_indirect,other,699
2013-10-01,tax_indirect,other,690
2014-01-01,tax_indirect,other,695
2014-04-01,tax_indirect,other,715
2014-07-01,tax_indirect,other,684
2014-10-01,tax_indirect,other,665
2015-01-01,tax_indirect,other,656
2015-04-01,tax_indirect,other,724
2015-07-01,tax_indirect,other,672
2015-10-01,tax_indirect,other,684
2016-01-01,tax_indirect,other,676
2016-04-01,tax_indirect,other,680
2016-07-01,tax_indirect,other,670
2016-10-01,tax_indirect,other,706
2017-01-01,tax_indirect,other,807
2017-04-01,tax_indirect,other,702
2017-07-01,tax_indirect,other,753
2017-10-01,tax_indirect,other,769
2018-01-01,tax_indirect,other,742
2018-04-01,tax_indirect,other,754
2018-07-01,tax_indirect,other,713
2018-10-01,tax_indirect,other,736
2019-01-01,tax_indirect,other,915
2019-04-01,tax_indirect,other,967
2019-07-01,tax_indirect,other,926
2019-10-01,tax_indirect,other,997
2020-01-01,tax_indirect,other,749
2020-04-01,tax_indirect,other,283
2020-07-01,tax_indirect,other,496
2020-10-01,tax_indirect,other,638
2021-01-01,tax_indirect,other,549
2021-04-01,tax_indirect,other,774
2021-07-01,tax_indirect,other,511
2021-10-01,tax_indirect,other,1195
2022-01-01,tax_indirect,other,1280
2022-04-01,tax_indirect,other,2011
2022-07-01,tax_indirect,other,1274
2022-10-01,tax_indirect,other,987
2023-01-01,tax_indirect,other,974
2023-04-01,tax_indirect,other,1009
2023-07-01,tax_indirect,other,1046
2023-10-01,tax_indirect,other,1137
2024-01-01,tax_indirect,other,1115
1996-01-01,non_tax,total,1711
1996-04-01,non_tax,total,1947
1996-07-01,non_tax,total,1579
1996-10-01,non_tax,total,5093
1997-01-01,non_tax,total,1915
1997-04-01,non_tax,total,2408
1997-07-01,non_tax,total,2830
1997-10-01,non_tax,total,4268
1998-01-01,non_tax,total,1983
1998-04-01,non_tax,total,2557
1998-07-01,non_tax,total,3325
1998-10-01,non_tax,total,3018
1999-01-01,non_tax,total,2191
1999-04-01,non_tax,total,3033
1999-07-01,non_tax,total,3025
1999-10-01,non_tax,total,4425
2000-01-01,non_tax,total,2578
2000-04-01,non_tax,total,3408
2000-07-01,non_tax,total,3870
2000-10-01,non_tax,total,4237
2001-01-01,non_tax,total,3001
2001-04-01,non_tax,total,4915
2001-07-01,non_tax,total,3140
2001-10-01,non_tax,total,6247
2002-01-01,non_tax,total,2574
2002-04-01,non_tax,total,2843
2002-07-01,non_tax,total,2990
2002-10-01,non_tax,total,7352
2003-01-01,non_tax,total,1165
2003-04-01,non_tax,total,3129
2003-07-01,non_tax,total,6561
2003-10-01,non_tax,total,12276
2004-01-01,non_tax,total,3507
2004-04-01,non_tax,total,2555
2004-07-01,non_tax,total,5835
2004-10-01,non_tax,total,14615
2005-01-01,non_tax,total,4314
2005-04-01,non_tax,total,3097
2005-07-01,non_tax,total,5777
2005-10-01,non_tax,total,11864
2006-01-01,non_tax,total,6767
2006-04-01,non_tax,total,7921
2006-07-01,non_tax,total,8361
2006-10-01,non_tax,total,12957
2007-01-01,non_tax,total,4908
2007-04-01,non_tax,total,8060
2007-07-01,non_tax,total,10127
2007-10-01,non_tax,total,20856
2008-01-01,non_tax,total,5859
2008-04-01,non_tax,total,8092
2008-07-01,non_tax,total,15793
2008-10-01,non_tax,total,16168
2009-01-01,non_tax,total,10524
2009-04-01,non_tax,total,8118
2009-07-01,non_tax,total,13930
2009-10-01,non_tax,total,18217
2010-01-01,non_tax,total,6728
2010-04-01,non_tax,total,14542
2010-07-01,non_tax,total,13973
2010-10-01,non_tax,total,13623
2011-01-01,non_tax,total,7034
2011-04-01,non_tax,total,15146
2011-07-01,non_tax,total,14575
2011-10-01,non_tax,total,12668
2012-01-01,non_tax,total,14519
2012-04-01,non_tax,total,14804
2012-07-01,non_tax,total,15405
2012-10-01,non_tax,total,10181
2013-01-01,non_tax,total,7613
2013-04-01,non_tax,total,13262
2013-07-01,non_tax,total,15766
2013-10-01,non_tax,total,17809
2014-01-01,non_tax,total,13049
2014-04-01,non_tax,total,12434
2014-07-01,non_tax,total,16716
2014-10-01,non_tax,total,11699
2015-01-01,non_tax,total,13705
2015-04-01,non_tax,total,12726
2015-07-01,non_tax,total,13600
2015-10-01,non_tax,total,11435
2016-01-01,non_tax,total,8310
2016-04-01,non_tax,total,9587
2016-07-01,non_tax,total,11668
2016-10-01,non_tax,total,10441
2017-01-01,non_tax,total,8040
2017-04-01,non_tax,total,10122
2017-07-01,non_tax,total,14317
2017-10-01,non_tax,total,7041
2018-01-01,non_tax,total,11109
2018-04-01,non_tax,total,8563
2018-07-01,non_tax,total,16097
2018-10-01,non_tax,total,15349
2019-01-01,non_tax,total,21008
2019-04-01,non_tax,total,18056
2019-07-01,non_tax,total,21195
2019-10-01,non_tax,total,19566
2020-01-01,non_tax,total,6081
2020-04-01,non_tax,total,24156
2020-07-01,non_tax,total,15185
2020-10-01,non_tax,total,16625
2021-01-01,non_tax,total,7559
2021-04-01,non_tax,total,12930
2021-07-01,non_tax,total,13434
2021-10-01,non_tax,total,17199
2022-01-01,non_tax,total,13648
2022-04-01,non_tax,total,13355
2022-07-01,non_tax,total,21366
2022-10-01,non_tax,total,31240
2023-01-01,non_tax,total,15380
2023-04-01,non_tax,total,16227
2023-07-01,non_tax,total,19712
2023-10-01,non_tax,total,27713
2024-01-01,non_tax,total,16785
1996-01-01,non_tax,permit,567
1996-04-01,non_tax,permit,891
1996-07-01,non_tax,permit,768
1996-10-01,non_tax,permit,1310
1997-01-01,non_tax,permit,526
1997-04-01,non_tax,permit,1060
1997-07-01,non_tax,permit,966
1997-10-01,non_tax,permit,1931
1998-01-01,non_tax,permit,641
1998-04-01,non_tax,permit,829
1998-07-01,non_tax,permit,1209
1998-10-01,non_tax,permit,1077
1999-01-01,non_tax,permit,645
1999-04-01,non_tax,permit,865
1999-07-01,non_tax,permit,1034
1999-10-01,non_tax,permit,1094
2000-01-01,non_tax,permit,723
2000-04-01,non_tax,permit,914
2000-07-01,non_tax,permit,1052
2000-10-01,non_tax,permit,1097
2001-01-01,non_tax,permit,781
2001-04-01,non_tax,permit,947
2001-07-01,non_tax,permit,1014
2001-10-01,non_tax,permit,1252
2002-01-01,non_tax,permit,729
2002-04-01,non_tax,permit,1001
2002-07-01,non_tax,permit,1051
2002-10-01,non_tax,permit,1501
2003-01-01,non_tax,permit,791
2003-04-01,non_tax,permit,1003
2003-07-01,non_tax,permit,1211
2003-10-01,non_tax,permit,1487
2004-01-01,non_tax,permit,899
2004-04-01,non_tax,permit,1138
2004-07-01,non_tax,permit,1221
2004-10-01,non_tax,permit,1351
2005-01-01,non_tax,permit,1037
2005-04-01,non_tax,permit,1236
2005-07-01,non_tax,permit,1324
2005-10-01,non_tax,permit,1441
2006-01-01,non_tax,permit,880
2006-04-01,non_tax,permit,1164
2006-07-01,non_tax,permit,1320
2006-10-01,non_tax,permit,1607
2007-01-01,non_tax,permit,1028
2007-04-01,non_tax,permit,1416
2007-07-01,non_tax,permit,1346
2007-10-01,non_tax,permit,1491
2008-01-01,non_tax,permit,997
2008-04-01,non_tax,permit,1338
2008-07-01,non_tax,permit,1704
2008-10-01,non_tax,permit,1154
2009-01-01,non_tax,permit,1055
2009-04-01,non_tax,permit,1329
2009-07-01,non_tax,permit,1333
2009-10-01,non_tax,permit,2163
2010-01-01,non_tax,permit,1201
2010-04-01,non_tax,permit,1392
2010-07-01,non_tax,permit,1394
2010-10-01,non_tax,permit,1489
2011-01-01,non_tax,permit,1337
2011-04-01,non_tax,permit,1537
2011-07-01,non_tax,permit,1568
2011-10-01,non_tax,permit,1601
2012-01-01,non_tax,permit,1793
2012-04-01,non_tax,permit,1907
2012-07-01,non_tax,permit,1674
2012-10-01,non_tax,permit,1773
2013-01-01,non_tax,permit,1697
2013-04-01,non_tax,permit,1799
2013-07-01,non_tax,permit,1781
2013-10-01,non_tax,permit,1955
2014-01-01,non_tax,permit,1969
2014-04-01,non_tax,permit,1940
2014-07-01,non_tax,permit,1771
2014-10-01,non_tax,permit,2043
2015-01-01,non_tax,permit,1762
2015-04-01,non_tax,permit,1905
2015-07-01,non_tax,permit,1794
2015-10-01,non_tax,permit,1936
2016-01-01,non_tax,permit,1779
2016-04-01,non_tax,permit,1953
2016-07-01,non_tax,permit,1916
2016-10-01,non_tax,permit,2998
2017-01-01,non_tax,permit,2096
2017-04-01,non_tax,permit,1973
2017-07-01,non_tax,permit,1927
2017-10-01,non_tax,permit,2365
2018-01-01,non_tax,permit,1886
2018-04-01,non_tax,permit,2035
2018-07-01,non_tax,permit,2518
2018-10-01,non_tax,permit,2403
2019-01-01,non_tax,permit,2061
2019-04-01,non_tax,permit,2168
2019-07-01,non_tax,permit,2082
2019-10-01,non_tax,permit,2400
2020-01-01,non_tax,permit,1791
2020-04-01,non_tax,permit,1270
2020-07-01,non_tax,permit,1805
2020-10-01,non_tax,permit,1864
2021-01-01,non_tax,permit,1476
2021-04-01,non_tax,permit,1317
2021-07-01,non_tax,permit,3995
2021-10-01,non_tax,permit,92
2022-01-01,non_tax,permit,1826
2022-04-01,non_tax,permit,2528
2022-07-01,non_tax,permit,2533
2022-10-01,non_tax,permit,2764
2023-01-01,non_tax,permit,2734
2023-04-01,non_tax,permit,1971
2023-07-01,non_tax,permit,2384
2023-10-01,non_tax,permit,2804
2024-01-01,non_tax,permit,2381
1996-01-01,non_tax,petroleum,394
1996-04-01,non_tax,petroleum,0
1996-07-01,non_tax,petroleum,0
1996-10-01,non_tax,petroleum,454
1997-01-01,non_tax,petroleum,493
1997-04-01,non_tax,petroleum,0
1997-07-01,non_tax,petroleum,498
1997-10-01,non_tax,petroleum,0
1998-01-01,non_tax,petroleum,567
1998-04-01,non_tax,petroleum,0
1998-07-01,non_tax,petroleum,535
1998-10-01,non_tax,petroleum,0
1999-01-01,non_tax,petroleum,489
1999-04-01,non_tax,petroleum,0
1999-07-01,non_tax,petroleum,486
1999-10-01,non_tax,petroleum,0
2000-01-01,non_tax,petroleum,803
2000-04-01,non_tax,petroleum,0
2000-07-01,non_tax,petroleum,960
2000-10-01,non_tax,petroleum,0
2001-01-01,non_tax,petroleum,1065
2001-04-01,non_tax,petroleum,0
2001-07-01,non_tax,petroleum,935
2001-10-01,non_tax,petroleum,0
2002-01-01,non_tax,petroleum,799
2002-04-01,non_tax,petroleum,0
2002-07-01,non_tax,petroleum,801
2002-10-01,non_tax,petroleum,0
2003-01-01,non_tax,petroleum,0
2003-04-01,non_tax,petroleum,1028
2003-07-01,non_tax,petroleum,1113
2003-10-01,non_tax,petroleum,0
2004-01-01,non_tax,petroleum,1150
2004-04-01,non_tax,petroleum,0
2004-07-01,non_tax,petroleum,1347
2004-10-01,non_tax,petroleum,0
2005-01-01,non_tax,petroleum,1590
2005-04-01,non_tax,petroleum,0
2005-07-01,non_tax,petroleum,1704
2005-10-01,non_tax,petroleum,0
2006-01-01,non_tax,petroleum,2126
2006-04-01,non_tax,petroleum,0
2006-07-01,non_tax,petroleum,2114
2006-10-01,non_tax,petroleum,0
2007-01-01,non_tax,petroleum,2121
2007-04-01,non_tax,petroleum,0
2007-07-01,non_tax,petroleum,2032
2007-10-01,non_tax,petroleum,0
2008-01-01,non_tax,petroleum,2720
2008-04-01,non_tax,petroleum,0
2008-07-01,non_tax,petroleum,3188
2008-10-01,non_tax,petroleum,0
2009-01-01,non_tax,petroleum,3034
2009-04-01,non_tax,petroleum,0
2009-07-01,non_tax,petroleum,1771
2009-10-01,non_tax,petroleum,0
2010-01-01,non_tax,petroleum,2470
2010-04-01,non_tax,petroleum,0
2010-07-01,non_tax,petroleum,2385
2010-10-01,non_tax,petroleum,0
2011-01-01,non_tax,petroleum,2383
2011-04-01,non_tax,petroleum,0
2011-07-01,non_tax,petroleum,2765
2011-10-01,non_tax,petroleum,0
2012-01-01,non_tax,petroleum,3111
2012-04-01,non_tax,petroleum,0
2012-07-01,non_tax,petroleum,3312
2012-10-01,non_tax,petroleum,0
2013-01-01,non_tax,petroleum,3090
2013-04-01,non_tax,petroleum,0
2013-07-01,non_tax,petroleum,3097
2013-10-01,non_tax,petroleum,0
2014-01-01,non_tax,petroleum,3213
2014-04-01,non_tax,petroleum,0
2014-07-01,non_tax,petroleum,3319
2014-10-01,non_tax,petroleum,0
2015-01-01,non_tax,petroleum,2835
2015-04-01,non_tax,petroleum,0
2015-07-01,non_tax,petroleum,2308
2015-10-01,non_tax,petroleum,0
2016-01-01,non_tax,petroleum,1950
2016-04-01,non_tax,petroleum,0
2016-07-01,non_tax,petroleum,1711
2016-10-01,non_tax,petroleum,0
2017-01-01,non_tax,petroleum,2081
2017-04-01,non_tax,petroleum,0
2017-07-01,non_tax,petroleum,2333
2017-10-01,non_tax,petroleum,0
2018-01-01,non_tax,petroleum,2447
2018-04-01,non_tax,petroleum,0
2018-07-01,non_tax,petroleum,2901
2018-10-01,non_tax,petroleum,-164
2019-01-01,non_tax,petroleum,3032
2019-04-01,non_tax,petroleum,0
2019-07-01,non_tax,petroleum,2729
2019-10-01,non_tax,petroleum,27
2020-01-01,non_tax,petroleum,2463
2020-04-01,non_tax,petroleum,0
2020-07-01,non_tax,petroleum,1739
2020-10-01,non_tax,petroleum,0
2021-01-01,non_tax,petroleum,1554
2021-04-01,non_tax,petroleum,0
2021-07-01,non_tax,petroleum,1
2021-10-01,non_tax,petroleum,2144
2022-01-01,non_tax,petroleum,2416
2022-04-01,non_tax,petroleum,0
2022-07-01,non_tax,petroleum,3559
2022-10-01,non_tax,petroleum,0
2023-01-01,non_tax,petroleum,3829
2023-04-01,non_tax,petroleum,0
2023-07-01,non_tax,petroleum,3018
2023-10-01,non_tax,petroleum,0
2024-01-01,non_tax,petroleum,3361
1996-01-01,non_tax,interest,605
1996-04-01,non_tax,interest,850
1996-07-01,non_tax,interest,530
1996-10-01,non_tax,interest,2776
1997-01-01,non_tax,interest,706
1997-04-01,non_tax,interest,1071
1997-07-01,non_tax,interest,1135
1997-10-01,non_tax,interest,1877
1998-01-01,non_tax,interest,624
1998-04-01,non_tax,interest,1389
1998-07-01,non_tax,interest,1271
1998-10-01,non_tax,interest,1599
1999-01-01,non_tax,interest,881
1999-04-01,non_tax,interest,1929
1999-07-01,non_tax,interest,1181
1999-10-01,non_tax,interest,3016
2000-01-01,non_tax,interest,867
2000-04-01,non_tax,interest,2237
2000-07-01,non_tax,interest,1550
2000-10-01,non_tax,interest,2729
2001-01-01,non_tax,interest,924
2001-04-01,non_tax,interest,3679
2001-07-01,non_tax,interest,872
2001-10-01,non_tax,interest,4580
2002-01-01,non_tax,interest,806
2002-04-01,non_tax,interest,1330
2002-07-01,non_tax,interest,735
2002-10-01,non_tax,interest,5482
2003-01-01,non_tax,interest,146
2003-04-01,non_tax,interest,830
2003-07-01,non_tax,interest,3862
2003-10-01,non_tax,interest,10363
2004-01-01,non_tax,interest,1176
2004-04-01,non_tax,interest,1074
2004-07-01,non_tax,interest,2896
2004-10-01,non_tax,interest,12632
2005-01-01,non_tax,interest,1364
2005-04-01,non_tax,interest,1427
2005-07-01,non_tax,interest,2282
2005-10-01,non_tax,interest,9775
2006-01-01,non_tax,interest,3401
2006-04-01,non_tax,interest,6220
2006-07-01,non_tax,interest,4371
2006-10-01,non_tax,interest,10802
2007-01-01,non_tax,interest,1293
2007-04-01,non_tax,interest,6163
2007-07-01,non_tax,interest,6237
2007-10-01,non_tax,interest,18715
2008-01-01,non_tax,interest,1668
2008-04-01,non_tax,interest,6127
2008-07-01,non_tax,interest,10192
2008-10-01,non_tax,interest,14285
2009-01-01,non_tax,interest,5797
2009-04-01,non_tax,interest,6121
2009-07-01,non_tax,interest,10191
2009-10-01,non_tax,interest,15284
2010-01-01,non_tax,interest,2144
2010-04-01,non_tax,interest,12267
2010-07-01,non_tax,interest,9282
2010-10-01,non_tax,interest,10882
2011-01-01,non_tax,interest,2151
2011-04-01,non_tax,interest,12562
2011-07-01,non_tax,interest,9355
2011-10-01,non_tax,interest,9937
2012-01-01,non_tax,interest,8684
2012-04-01,non_tax,interest,11441
2012-07-01,non_tax,interest,9334
2012-10-01,non_tax,interest,7277
2013-01-01,non_tax,interest,1700
2013-04-01,non_tax,interest,10408
2013-07-01,non_tax,interest,9717
2013-10-01,non_tax,interest,13481
2014-01-01,non_tax,interest,6695
2014-04-01,non_tax,interest,9212
2014-07-01,non_tax,interest,9702
2014-10-01,non_tax,interest,8147
2015-01-01,non_tax,interest,7626
2015-04-01,non_tax,interest,9611
2015-07-01,non_tax,interest,8139
2015-10-01,non_tax,interest,7462
2016-01-01,non_tax,interest,3196
2016-04-01,non_tax,interest,6446
2016-07-01,non_tax,interest,6327
2016-10-01,non_tax,interest,5457
2017-01-01,non_tax,interest,2755
2017-04-01,non_tax,interest,6990
2017-07-01,non_tax,interest,8932
2017-10-01,non_tax,interest,2961
2018-01-01,non_tax,interest,5576
2018-04-01,non_tax,interest,5185
2018-07-01,non_tax,interest,9473
2018-10-01,non_tax,interest,11655
2019-01-01,non_tax,interest,14710
2019-04-01,non_tax,interest,14593
2019-07-01,non_tax,interest,15185
2019-10-01,non_tax,interest,15570
2020-01-01,non_tax,interest,372
2020-04-01,non_tax,interest,21953
2020-07-01,non_tax,interest,10295
2020-10-01,non_tax,interest,13447
2021-01-01,non_tax,interest,3204
2021-04-01,non_tax,interest,10321
2021-07-01,non_tax,interest,8287
2021-10-01,non_tax,interest,13207
2022-01-01,non_tax,interest,8190
2022-04-01,non_tax,interest,9441
2022-07-01,non_tax,interest,13701
2022-10-01,non_tax,interest,26890
2023-01-01,non_tax,interest,7279
2023-04-01,non_tax,interest,12640
2023-07-01,non_tax,interest,12651
2023-10-01,non_tax,interest,23255
2024-01-01,non_tax,interest,9281
1996-01-01,non_tax,other,145
1996-04-01,non_tax,other,206
1996-07-01,non_tax,other,281
1996-10-01,non_tax,other,553
1997-01-01,non_tax,other,190
1997-04-01,non_tax,other,277
1997-07-01,non_tax,other,231
1997-10-01,non_tax,other,460
1998-01-01,non_tax,other,151
1998-04-01,non_tax,other,339
1998-07-01,non_tax,other,310
1998-10-01,non_tax,other,342
1999-01-01,non_tax,other,177
1999-04-01,non_tax,other,240
1999-07-01,non_tax,other,323
1999-10-01,non_tax,other,315
2000-01-01,non_tax,other,184
2000-04-01,non_tax,other,257
2000-07-01,non_tax,other,308
2000-10-01,non_tax,other,411
2001-01-01,non_tax,other,230
2001-04-01,non_tax,other,289
2001-07-01,non_tax,other,320
2001-10-01,non_tax,other,415
2002-01-01,non_tax,other,240
2002-04-01,non_tax,other,512
2002-07-01,non_tax,other,403
2002-10-01,non_tax,other,369
2003-01-01,non_tax,other,228
2003-04-01,non_tax,other,268
2003-07-01,non_tax,other,375
2003-10-01,non_tax,other,426
2004-01-01,non_tax,other,282
2004-04-01,non_tax,other,342
2004-07-01,non_tax,other,371
2004-10-01,non_tax,other,632
2005-01-01,non_tax,other,323
2005-04-01,non_tax,other,433
2005-07-01,non_tax,other,467
2005-10-01,non_tax,other,649
2006-01-01,non_tax,other,360
2006-04-01,non_tax,other,536
2006-07-01,non_tax,other,555
2006-10-01,non_tax,other,547
2007-01-01,non_tax,other,465
2007-04-01,non_tax,other,481
2007-07-01,non_tax,other,512
2007-10-01,non_tax,other,650
2008-01-01,non_tax,other,474
2008-04-01,non_tax,other,627
2008-07-01,non_tax,other,709
2008-10-01,non_tax,other,729
2009-01-01,non_tax,other,636
2009-04-01,non_tax,other,668
2009-07-01,non_tax,other,635
2009-10-01,non_tax,other,770
2010-01-01,non_tax,other,914
2010-04-01,non_tax,other,883
2010-07-01,non_tax,other,912
2010-10-01,non_tax,other,1252
2011-01-01,non_tax,other,1162
2011-04-01,non_tax,other,1048
2011-07-01,non_tax,other,887
2011-10-01,non_tax,other,1130
2012-01-01,non_tax,other,931
2012-04-01,non_tax,other,1456
2012-07-01,non_tax,other,1084
2012-10-01,non_tax,other,1131
2013-01-01,non_tax,other,1127
2013-04-01,non_tax,other,1055
2013-07-01,non_tax,other,1172
2013-10-01,non_tax,other,2374
2014-01-01,non_tax,other,1172
2014-04-01,non_tax,other,1283
2014-07-01,non_tax,other,1924
2014-10-01,non_tax,other,1510
2015-01-01,non_tax,other,1482
2015-04-01,non_tax,other,1210
2015-07-01,non_tax,other,1360
2015-10-01,non_tax,other,2037
2016-01-01,non_tax,other,1386
2016-04-01,non_tax,other,1188
2016-07-01,non_tax,other,1714
2016-10-01,non_tax,other,1987
2017-01-01,non_tax,other,1108
2017-04-01,non_tax,other,1159
2017-07-01,non_tax,other,1124
2017-10-01,non_tax,other,1714
2018-01-01,non_tax,other,1199
2018-04-01,non_tax,other,1342
2018-07-01,non_tax,other,1205
2018-10-01,non_tax,other,1456
2019-01-01,non_tax,other,1205
2019-04-01,non_tax,other,1294
2019-07-01,non_tax,other,1200
2019-10-01,non_tax,other,1569
2020-01-01,non_tax,other,1456
2020-04-01,non_tax,other,932
2020-07-01,non_tax,other,1346
2020-10-01,non_tax,other,1314
2021-01-01,non_tax,other,1326
2021-04-01,non_tax,other,1292
2021-07-01,non_tax,other,1151
2021-10-01,non_tax,other,1757
2022-01-01,non_tax,other,1217
2022-04-01,non_tax,other,1385
2022-07-01,non_tax,other,1573
2022-10-01,non_tax,other,1585
2023-01-01,non_tax,other,1538
2023-04-01,non_tax,other,1616
2023-07-01,non_tax,other,1658
2023-10-01,non_tax,other,1655
2024-01-01,non_tax,other,1761
1996-01-01,non_revenue,total,155
1996-04-01,non_revenue,total,142
1996-07-01,non_revenue,total,116
1996-10-01,non_revenue,total,265
1997-01-01,non_revenue,total,119
1997-04-01,non_revenue,total,187
1997-07-01,non_revenue,total,92
1997-10-01,non_revenue,total,290
1998-01-01,non_revenue,total,100
1998-04-01,non_revenue,total,97
1998-07-01,non_revenue,total,53
1998-10-01,non_revenue,total,241
1999-01-01,non_revenue,total,119
1999-04-01,non_revenue,total,127
1999-07-01,non_revenue,total,66
1999-10-01,non_revenue,total,344
2000-01-01,non_revenue,total,99
2000-04-01,non_revenue,total,134
2000-07-01,non_revenue,total,110
2000-10-01,non_revenue,total,255
2001-01-01,non_revenue,total,223
2001-04-01,non_revenue,total,135
2001-07-01,non_revenue,total,113
2001-10-01,non_revenue,total,301
2002-01-01,non_revenue,total,184
2002-04-01,non_revenue,total,135
2002-07-01,non_revenue,total,128
2002-10-01,non_revenue,total,448
