date,sex,ethnicity,abs,rate
2009-01-01,female,bumi_other,5092.0,3.2
2009-01-01,male,bumi_other,6991.0,4.2
2009-01-01,both,chinese,34347.0,5.4
2009-01-01,female,chinese,14515.0,4.7
2009-01-01,male,chinese,19832.0,6.0
2009-01-01,both,indian,10750.0,5.6
2009-01-01,female,indian,4000.0,4.2
2009-01-01,male,indian,6750.0,7.1
2009-01-01,both,other_citizen,1160.0,4.2
2009-01-01,female,other_citizen,464.0,3.4
2009-01-01,male,other_citizen,696.0,4.9
2009-01-01,both,other_noncitizen,3071.0,1.4
2009-01-01,female,other_noncitizen,1413.0,1.6
2009-01-01,male,other_noncitizen,1658.0,1.2
2009-01-01,both,overall,131328.0,4.7
2009-01-01,female,overall,55367.0,4.1
2009-01-01,male,overall,75961.0,5.3
2010-01-01,both,bumi_malay,69399.0,4.8
2010-01-01,female,bumi_malay,29601.0,4.2
2010-01-01,male,bumi_malay,39798.0,5.5
2010-01-01,both,bumi_other,11586.0,3.5
2010-01-01,female,bumi_other,4858.0,2.9
2010-01-01,male,bumi_other,6728.0,4.0
2010-01-01,both,chinese,34813.0,5.4
2010-01-01,female,chinese,14715.0,4.7
2010-01-01,male,chinese,20098.0,6.1
2010-01-01,both,indian,11124.0,5.8
2010-01-01,female,indian,4063.0,4.2
2010-01-01,male,indian,7061.0,7.3
2010-01-01,both,other_citizen,1091.0,4.7
2010-01-01,female,other_citizen,448.0,4.0
2010-01-01,male,other_citizen,643.0,5.4
2010-01-01,both,other_noncitizen,2965.0,1.3
2010-01-01,female,other_noncitizen,1388.0,1.5
2010-01-01,male,other_noncitizen,1577.0,1.1
2010-01-01,both,overall,130978.0,4.6
2010-01-01,female,overall,55073.0,4.0
2010-01-01,male,overall,75905.0,5.2
2011-01-01,both,bumi_malay,71721.0,4.9
2011-01-01,female,bumi_malay,30927.0,4.3
2011-01-01,male,bumi_malay,40794.0,5.6
2011-01-01,both,bumi_other,12336.0,3.6
2011-01-01,female,bumi_other,5207.0,3.1
2011-01-01,male,bumi_other,7129.0,4.1
2011-01-01,both,chinese,35849.0,5.5
2011-01-01,female,chinese,15190.0,4.8
2011-01-01,male,chinese,20659.0,6.2
2011-01-01,both,indian,11271.0,5.8
2011-01-01,female,indian,4088.0,4.2
2011-01-01,male,indian,7183.0,7.4
2011-01-01,both,other_citizen,1216.0,5.0
2011-01-01,female,other_citizen,469.0,4.0
2011-01-01,male,other_citizen,747.0,6.0
2011-01-01,both,other_noncitizen,3070.0,1.3
2011-01-01,female,other_noncitizen,1413.0,1.5
2011-01-01,male,other_noncitizen,1657.0,1.1
2011-01-01,both,overall,135463.0,4.7
2011-01-01,female,overall,57294.0,4.1
2011-01-01,male,overall,78169.0,5.2
2012-01-01,both,bumi_malay,73259.0,5.0
2012-01-01,female,bumi_malay,31643.0,4.3
2012-01-01,male,bumi_malay,41616.0,5.6
2012-01-01,both,bumi_other,12449.0,3.6
2012-01-01,female,bumi_other,5272.0,3.1
2012-01-01,male,bumi_other,7177.0,4.1
2012-01-01,both,chinese,36629.0,5.6
2012-01-01,female,chinese,15611.0,4.9
2012-01-01,male,chinese,21018.0,6.3
2012-01-01,both,indian,11926.0,6.1
2012-01-01,female,indian,4396.0,4.5
2012-01-01,male,indian,7530.0,7.7
2012-01-01,both,other_citizen,1248.0,5.0
2012-01-01,female,other_citizen,482.0,4.0
2012-01-01,male,other_citizen,766.0,6.0
2012-01-01,both,other_noncitizen,3181.0,1.2
2012-01-01,female,other_noncitizen,1423.0,1.4
2012-01-01,male,other_noncitizen,1758.0,1.1
2012-01-01,both,overall,138692.0,4.7
2012-01-01,female,overall,58827.0,4.1
2012-01-01,male,overall,79865.0,5.2
2013-01-01,both,bumi_malay,75496.0,5.0
2013-01-01,female,bumi_malay,32806.0,4.4
2013-01-01,male,bumi_malay,42690.0,5.6
2013-01-01,both,bumi_other,12617.0,3.6
2013-01-01,female,bumi_other,5370.0,3.1
2013-01-01,male,bumi_other,7247.0,4.1
2013-01-01,both,chinese,37418.0,5.7
2013-01-01,female,chinese,15623.0,4.9
2013-01-01,male,chinese,21795.0,6.5
2013-01-01,both,indian,12465.0,6.3
2013-01-01,female,indian,4669.0,4.8
2013-01-01,male,indian,7796.0,7.9
2013-01-01,both,other_citizen,1206.0,4.7
2013-01-01,female,other_citizen,449.0,3.6
2013-01-01,male,other_citizen,757.0,5.8
2013-01-01,both,other_noncitizen,3000.0,1.0
2013-01-01,female,other_noncitizen,1344.0,1.2
2013-01-01,male,other_noncitizen,1656.0,0.9
2013-01-01,both,overall,142202.0,4.7
2013-01-01,female,overall,60261.0,4.1
2013-01-01,male,overall,81941.0,5.3
2014-01-01,both,bumi_malay,78059.0,5.1
2014-01-01,female,bumi_malay,33680.0,4.4
2014-01-01,male,bumi_malay,44379.0,5.8
2014-01-01,both,bumi_other,14719.0,4.1
2014-01-01,female,bumi_other,6238.0,3.5
2014-01-01,male,bumi_other,8481.0,4.7
2014-01-01,both,chinese,39358.0,6.0
2014-01-01,female,chinese,16649.0,5.2
2014-01-01,male,chinese,22709.0,6.7
2014-01-01,both,indian,12661.0,6.4
2014-01-01,female,indian,4884.0,4.9
2014-01-01,male,indian,7777.0,7.9
2014-01-01,both,other_citizen,1316.0,5.0
2014-01-01,female,other_citizen,499.0,3.9
2014-01-01,male,other_citizen,817.0,6.0
2014-01-01,both,other_noncitizen,4205.0,1.4
2014-01-01,female,other_noncitizen,1836.0,1.6
2014-01-01,male,other_noncitizen,2369.0,1.3
2014-01-01,both,overall,150318.0,4.9
2014-01-01,female,overall,63786.0,4.3
2014-01-01,male,overall,86532.0,5.5
2015-01-01,both,bumi_malay,81426.0,5.2
2015-01-01,female,bumi_malay,35255.0,4.6
2015-01-01,male,bumi_malay,46171.0,5.9
2015-01-01,both,bumi_other,15319.0,4.2
2015-01-01,female,bumi_other,6563.0,3.7
2015-01-01,male,bumi_other,8756.0,4.8
2015-01-01,both,chinese,40648.0,6.1
2015-01-01,female,chinese,17207.0,5.3
2015-01-01,male,chinese,23441.0,6.9
2015-01-01,both,indian,12729.0,6.4
2015-01-01,female,indian,4908.0,4.9
2015-01-01,male,indian,7821.0,7.9
2015-01-01,both,other_citizen,1271.0,4.7
2015-01-01,female,other_citizen,502.0,3.8
2015-01-01,male,other_citizen,769.0,5.5
2015-01-01,both,other_noncitizen,4393.0,1.4
2015-01-01,female,other_noncitizen,1902.0,1.6
2015-01-01,male,other_noncitizen,2491.0,1.3
2015-01-01,both,overall,155786.0,5.0
2015-01-01,female,overall,66337.0,4.4
2015-01-01,male,overall,89449.0,5.6
2016-01-01,both,bumi_malay,84874.0,5.4
2016-01-01,female,bumi_malay,36524.0,4.7
2016-01-01,male,bumi_malay,48350.0,6.1
2016-01-01,both,bumi_other,16481.0,4.5
2016-01-01,female,bumi_other,6940.0,3.8
2016-01-01,male,bumi_other,9541.0,5.1
2016-01-01,both,chinese,42346.0,6.4
2016-01-01,female,chinese,17678.0,5.5
2016-01-01,male,chinese,24668.0,7.2
2016-01-01,both,indian,13539.0,6.8
2016-01-01,female,indian,5171.0,5.2
2016-01-01,male,indian,8368.0,8.4
2016-01-01,both,other_citizen,1500.0,5.3
2016-01-01,female,other_citizen,596.0,4.4
2016-01-01,male,other_citizen,904.0,6.3
2016-01-01,both,other_noncitizen,3461.0,1.1
2016-01-01,female,other_noncitizen,1594.0,1.3
2016-01-01,male,other_noncitizen,1867.0,0.9
2016-01-01,both,overall,162201.0,5.1
2016-01-01,female,overall,68503.0,4.5
2016-01-01,male,overall,93698.0,5.7
2017-01-01,both,bumi_malay,88017.0,5.5
2017-01-01,female,bumi_malay,38161.0,4.8
2017-01-01,male,bumi_malay,49856.0,6.2
2017-01-01,both,bumi_other,17323.0,4.6
2017-01-01,female,bumi_other,7278.0,4.0
2017-01-01,male,bumi_other,10045.0,5.3
2017-01-01,both,chinese,43728.0,6.6
2017-01-01,female,chinese,18291.0,5.6
2017-01-01,male,chinese,25437.0,7.4
2017-01-01,both,indian,13886.0,6.9
2017-01-01,female,indian,5552.0,5.5
2017-01-01,male,indian,8334.0,8.4
2017-01-01,both,other_citizen,1543.0,5.4
2017-01-01,female,other_citizen,644.0,4.6
2017-01-01,male,other_citizen,899.0,6.1
2017-01-01,both,other_noncitizen,3671.0,1.1
2017-01-01,female,other_noncitizen,1720.0,1.3
2017-01-01,male,other_noncitizen,1951.0,1.0
2017-01-01,both,overall,168168.0,5.3
2017-01-01,female,overall,71646.0,4.6
2017-01-01,male,overall,96522.0,5.8
2018-01-01,both,bumi_malay,90218.0,5.5
2018-01-01,female,bumi_malay,39040.0,4.8
2018-01-01,male,bumi_malay,51178.0,6.2
2018-01-01,both,bumi_other,17733.0,4.7
2018-01-01,female,bumi_other,7589.0,4.1
2018-01-01,male,bumi_other,10144.0,5.3
2018-01-01,both,chinese,44695.0,6.7
2018-01-01,female,chinese,18692.0,5.7
2018-01-01,male,chinese,26003.0,7.6
2018-01-01,both,indian,14392.0,7.2
2018-01-01,female,indian,5690.0,5.6
2018-01-01,male,indian,8702.0,8.7
2018-01-01,both,other_citizen,1625.0,5.5
2018-01-01,female,other_citizen,632.0,4.4
2018-01-01,male,other_citizen,993.0,6.6
2018-01-01,both,other_noncitizen,3368.0,1.0
2018-01-01,female,other_noncitizen,1439.0,1.1
2018-01-01,male,other_noncitizen,1929.0,1.0
2018-01-01,both,overall,172031.0,5.3
2018-01-01,female,overall,73082.0,4.7
2018-01-01,male,overall,98949.0,5.9
2019-01-01,both,bumi_malay,90631.0,5.5
2019-01-01,female,bumi_malay,39154.0,4.8
2019-01-01,male,bumi_malay,51477.0,6.2
2019-01-01,both,bumi_other,18380.0,4.8
2019-01-01,female,bumi_other,8013.0,4.2
2019-01-01,male,bumi_other,10367.0,5.3
2019-01-01,both,chinese,45468.0,6.8
2019-01-01,female,chinese,19079.0,5.8
2019-01-01,male,chinese,26389.0,7.7
2019-01-01,both,indian,14686.0,7.3
2019-01-01,female,indian,5886.0,5.8
2019-01-01,male,indian,8800.0,8.8
2019-01-01,both,other_citizen,1785.0,6.0
2019-01-01,female,other_citizen,723.0,4.9
2019-01-01,male,other_citizen,1062.0,6.9
2019-01-01,both,other_noncitizen,3304.0,1.1
2019-01-01,female,other_noncitizen,1424.0,1.2
2019-01-01,male,other_noncitizen,1880.0,1.0
2019-01-01,both,overall,174254.0,5.4
2019-01-01,female,overall,74279.0,4.7
2019-01-01,male,overall,99975.0,6.0
2020-01-01,both,bumi_malay,85864.0,5.1
2020-01-01,female,bumi_malay,36715.0,4.4
2020-01-01,male,bumi_malay,49149.0,5.7
2020-01-01,both,bumi_other,18526.0,5.0
2020-01-01,female,bumi_other,7768.0,4.2
2020-01-01,male,bumi_other,10758.0,5.7
2020-01-01,both,chinese,44626.0,6.5
2020-01-01,female,chinese,18620.0,5.5
2020-01-01,male,chinese,26006.0,7.4
2020-01-01,both,indian,13390.0,6.7
2020-01-01,female,indian,5399.0,5.4
2020-01-01,male,indian,7991.0,7.9
2020-01-01,both,other_citizen,1612.0,7.5
2020-01-01,female,other_citizen,652.0,6.6
2020-01-01,male,other_citizen,960.0,8.2
2020-01-01,both,other_noncitizen,2952.0,1.1
2020-01-01,female,other_noncitizen,1218.0,1.5
2020-01-01,male,other_noncitizen,1734.0,0.9
2020-01-01,both,overall,166970.0,5.1
2020-01-01,female,overall,70372.0,4.5
2020-01-01,male,overall,96598.0,5.7
2021-01-01,both,bumi_malay,115229.0,6.7
2021-01-01,female,bumi_malay,50945.0,6.0
2021-01-01,male,bumi_malay,64284.0,7.4
2021-01-01,both,bumi_other,23639.0,6.5
2021-01-01,female,bumi_other,10218.0,5.7
2021-01-01,male,bumi_other,13421.0,7.3
2021-01-01,both,chinese,56104.0,8.1
2021-01-01,female,chinese,23236.0,6.9
2021-01-01,male,chinese,32868.0,9.4
2021-01-01,both,indian,19406.0,9.7
2021-01-01,female,indian,8055.0,8.1
2021-01-01,male,indian,11351.0,11.3
2021-01-01,both,other_citizen,2274.0,10.3
2021-01-01,female,other_citizen,950.0,9.4
2021-01-01,male,other_citizen,1324.0,11.1
2021-01-01,both,other_noncitizen,7917.0,3.1
2021-01-01,female,other_noncitizen,3341.0,4.3
2021-01-01,male,other_noncitizen,4576.0,2.6
2021-01-01,both,overall,224569.0,6.9
2021-01-01,female,overall,96745.0,6.2
2021-01-01,male,overall,127824.0,7.5
2022-01-01,both,bumi_malay,108627.0,6.2
2022-01-01,female,bumi_malay,47792.0,5.6
