date,state,sex,age,registrations
2021-03-04,Malaysia,female,55-59,13542
2021-03-04,Malaysia,female,60-64,9768
2021-03-04,Malaysia,female,65-69,5979
2021-03-04,Malaysia,female,70-74,3122
2021-03-04,Malaysia,female,75-79,1220
2021-03-04,Malaysia,female,80-84,480
2021-03-04,Malaysia,female,85+,169
2021-03-04,Malaysia,male,0-12,178
2021-03-04,Malaysia,male,12-17,3090
2021-03-04,Malaysia,male,18-24,33357
2021-03-04,Malaysia,male,25-29,27593
2021-03-04,Malaysia,male,30-34,25242
2021-03-04,Malaysia,male,35-39,21994
2021-03-04,Malaysia,male,40-44,16623
2021-03-04,Malaysia,male,45-49,13350
2021-03-04,Malaysia,male,50-54,11915
2021-03-04,Malaysia,male,55-59,11070
2021-03-04,Malaysia,male,60-64,8832
2021-03-04,Malaysia,male,65-69,6072
2021-03-04,Malaysia,male,70-74,3358
2021-03-04,Malaysia,male,75-79,1252
2021-03-04,Malaysia,male,80-84,578
2021-03-04,Malaysia,male,85+,153
2021-03-05,Malaysia,female,0-12,123
2021-03-05,Malaysia,female,12-17,2300
2021-03-05,Malaysia,female,18-24,19897
2021-03-05,Malaysia,female,25-29,15149
2021-03-05,Malaysia,female,30-34,13731
2021-03-05,Malaysia,female,35-39,12915
2021-03-05,Malaysia,female,40-44,10552
2021-03-05,Malaysia,female,45-49,9301
2021-03-05,Malaysia,female,50-54,8800
2021-03-05,Malaysia,female,55-59,8364
2021-03-05,Malaysia,female,60-64,6347
2021-03-05,Malaysia,female,65-69,4152
2021-03-05,Malaysia,female,70-74,2248
2021-03-05,Malaysia,female,75-79,865
2021-03-05,Malaysia,female,80-84,359
2021-03-05,Malaysia,female,85+,88
2021-03-05,Malaysia,male,0-12,100
2021-03-05,Malaysia,male,12-17,1877
2021-03-05,Malaysia,male,18-24,14867
2021-03-05,Malaysia,male,25-29,13135
2021-03-05,Malaysia,male,30-34,12608
2021-03-05,Malaysia,male,35-39,11577
2021-03-05,Malaysia,male,40-44,9206
2021-03-05,Malaysia,male,45-49,7482
2021-03-05,Malaysia,male,50-54,7117
2021-03-05,Malaysia,male,55-59,6785
2021-03-05,Malaysia,male,60-64,5673
2021-03-05,Malaysia,male,65-69,4068
2021-03-05,Malaysia,male,70-74,2492
2021-03-05,Malaysia,male,75-79,931
2021-03-05,Malaysia,male,80-84,438
2021-03-05,Malaysia,male,85+,117
2021-03-06,Malaysia,female,0-12,92
2021-03-06,Malaysia,female,12-17,1696
2021-03-06,Malaysia,female,18-24,14427
2021-03-06,Malaysia,female,25-29,10725
2021-03-06,Malaysia,female,30-34,9509
2021-03-06,Malaysia,female,35-39,9022
2021-03-06,Malaysia,female,40-44,7783
2021-03-06,Malaysia,female,45-49,7375
2021-03-06,Malaysia,female,50-54,7356
2021-03-06,Malaysia,female,55-59,7328
2021-03-06,Malaysia,female,60-64,6505
2021-03-06,Malaysia,female,65-69,4600
2021-03-06,Malaysia,female,70-74,2446
2021-03-06,Malaysia,female,75-79,903
2021-03-06,Malaysia,female,80-84,349
2021-03-06,Malaysia,female,85+,106
2021-03-06,Malaysia,male,0-12,62
2021-03-06,Malaysia,male,12-17,1386
2021-03-06,Malaysia,male,18-24,10048
2021-03-06,Malaysia,male,25-29,8713
2021-03-06,Malaysia,male,30-34,8190
2021-03-06,Malaysia,male,35-39,7561
2021-03-06,Malaysia,male,40-44,6266
2021-03-06,Malaysia,male,45-49,5716
2021-03-06,Malaysia,male,50-54,5557
2021-03-06,Malaysia,male,55-59,5482
2021-03-06,Malaysia,male,60-64,5352
2021-03-06,Malaysia,male,65-69,4098
2021-03-06,Malaysia,male,70-74,2670
2021-03-06,Malaysia,male,75-79,1065
2021-03-06,Malaysia,male,80-84,440
2021-03-06,Malaysia,male,85+,116
2021-03-07,Malaysia,female,0-12,64
2021-03-07,Malaysia,female,12-17,1633
2021-03-07,Malaysia,female,18-24,12542
2021-03-07,Malaysia,female,25-29,9044
2021-03-07,Malaysia,female,30-34,8274
2021-03-07,Malaysia,female,35-39,7858
2021-03-07,Malaysia,female,40-44,6961
2021-03-07,Malaysia,female,45-49,7021
2021-03-07,Malaysia,female,50-54,7270
2021-03-07,Malaysia,female,55-59,6986
2021-03-07,Malaysia,female,60-64,5824
2021-03-07,Malaysia,female,65-69,4023
2021-03-07,Malaysia,female,70-74,2213
2021-03-07,Malaysia,female,75-79,881
2021-03-07,Malaysia,female,80-84,359
2021-03-07,Malaysia,female,85+,107
2021-03-07,Malaysia,male,0-12,74
2021-03-07,Malaysia,male,12-17,1249
2021-03-07,Malaysia,male,18-24,9369
2021-03-07,Malaysia,male,25-29,7762
2021-03-07,Malaysia,male,30-34,7471
2021-03-07,Malaysia,male,35-39,7027
2021-03-07,Malaysia,male,40-44,5936
2021-03-07,Malaysia,male,45-49,5609
2021-03-07,Malaysia,male,50-54,5508
2021-03-07,Malaysia,male,55-59,5654
2021-03-07,Malaysia,male,60-64,5000
2021-03-07,Malaysia,male,65-69,3813
2021-03-07,Malaysia,male,70-74,2298
2021-03-07,Malaysia,male,75-79,940
2021-03-07,Malaysia,male,80-84,423
2021-03-07,Malaysia,male,85+,112
2021-03-08,Malaysia,female,0-12,39
2021-03-08,Malaysia,female,12-17,1159
2021-03-08,Malaysia,female,18-24,11023
2021-03-08,Malaysia,female,25-29,9018
2021-03-08,Malaysia,female,30-34,8384
2021-03-08,Malaysia,female,35-39,8139
2021-03-08,Malaysia,female,40-44,6659
2021-03-08,Malaysia,female,45-49,5880
2021-03-08,Malaysia,female,50-54,5619
2021-03-08,Malaysia,female,55-59,5026
2021-03-08,Malaysia,female,60-64,3782
2021-03-08,Malaysia,female,65-69,2467
2021-03-08,Malaysia,female,70-74,1275
2021-03-08,Malaysia,female,75-79,502
2021-03-08,Malaysia,female,80-84,225
2021-03-08,Malaysia,female,85+,57
2021-03-08,Malaysia,male,0-12,32
2021-03-08,Malaysia,male,12-17,903
2021-03-08,Malaysia,male,18-24,8446
2021-03-08,Malaysia,male,25-29,7825
2021-03-08,Malaysia,male,30-34,8017
2021-03-08,Malaysia,male,35-39,7562
2021-03-08,Malaysia,male,40-44,5984
2021-03-08,Malaysia,male,45-49,4997
2021-03-08,Malaysia,male,50-54,4777
2021-03-08,Malaysia,male,55-59,4450
2021-03-08,Malaysia,male,60-64,3672
2021-03-08,Malaysia,male,65-69,2443
2021-03-08,Malaysia,male,70-74,1502
2021-03-08,Malaysia,male,75-79,563
2021-03-08,Malaysia,male,80-84,237
2021-03-08,Malaysia,male,85+,58
2021-03-09,Malaysia,female,0-12,39
2021-03-09,Malaysia,female,12-17,1032
2021-03-09,Malaysia,female,18-24,10395
2021-03-09,Malaysia,female,25-29,8379
2021-03-09,Malaysia,female,30-34,7912
2021-03-09,Malaysia,female,35-39,7541
2021-03-09,Malaysia,female,40-44,6234
2021-03-09,Malaysia,female,45-49,5487
2021-03-09,Malaysia,female,50-54,5037
2021-03-09,Malaysia,female,55-59,4497
2021-03-09,Malaysia,female,60-64,3453
2021-03-09,Malaysia,female,65-69,2102
2021-03-09,Malaysia,female,70-74,1173
2021-03-09,Malaysia,female,75-79,433
2021-03-09,Malaysia,female,80-84,187
2021-03-09,Malaysia,female,85+,48
2021-03-09,Malaysia,male,0-12,37
2021-03-09,Malaysia,male,12-17,800
2021-03-09,Malaysia,male,18-24,7712
2021-03-09,Malaysia,male,25-29,7269
2021-03-09,Malaysia,male,30-34,7325
2021-03-09,Malaysia,male,35-39,7197
2021-03-09,Malaysia,male,40-44,5636
2021-03-09,Malaysia,male,45-49,4565
2021-03-09,Malaysia,male,50-54,4466
2021-03-09,Malaysia,male,55-59,4228
2021-03-09,Malaysia,male,60-64,3168
2021-03-09,Malaysia,male,65-69,2268
2021-03-09,Malaysia,male,70-74,1280
2021-03-09,Malaysia,male,75-79,571
2021-03-09,Malaysia,male,80-84,212
2021-03-09,Malaysia,male,85+,63
2021-03-10,Malaysia,female,0-12,42
2021-03-10,Malaysia,female,12-17,924
2021-03-10,Malaysia,female,18-24,9456
2021-03-10,Malaysia,female,25-29,7567
2021-03-10,Malaysia,female,30-34,7115
2021-03-10,Malaysia,female,35-39,6806
2021-03-10,Malaysia,female,40-44,5464
2021-03-10,Malaysia,female,45-49,4767
2021-03-10,Malaysia,female,50-54,4509
2021-03-10,Malaysia,female,55-59,4211
2021-03-10,Malaysia,female,60-64,3137
2021-03-10,Malaysia,female,65-69,1986
2021-03-10,Malaysia,female,70-74,1044
2021-03-10,Malaysia,female,75-79,388
2021-03-10,Malaysia,female,80-84,169
2021-03-10,Malaysia,female,85+,37
2021-03-10,Malaysia,male,0-12,37
2021-03-10,Malaysia,male,12-17,714
2021-03-10,Malaysia,male,18-24,6876
2021-03-10,Malaysia,male,25-29,6526
2021-03-10,Malaysia,male,30-34,6628
2021-03-10,Malaysia,male,35-39,6331
2021-03-10,Malaysia,male,40-44,4941
2021-03-10,Malaysia,male,45-49,4115
2021-03-10,Malaysia,male,50-54,3979
2021-03-10,Malaysia,male,55-59,3771
2021-03-10,Malaysia,male,60-64,2975
2021-03-10,Malaysia,male,65-69,2078
2021-03-10,Malaysia,male,70-74,1176
2021-03-10,Malaysia,male,75-79,450
2021-03-10,Malaysia,male,80-84,195
2021-03-10,Malaysia,male,85+,47
2021-03-11,Malaysia,female,0-12,42
2021-03-11,Malaysia,female,12-17,870
2021-03-11,Malaysia,female,18-24,8387
2021-03-11,Malaysia,female,25-29,6511
2021-03-11,Malaysia,female,30-34,6177
2021-03-11,Malaysia,female,35-39,5814
2021-03-11,Malaysia,female,40-44,4864
2021-03-11,Malaysia,female,45-49,4263
2021-03-11,Malaysia,female,50-54,3991
2021-03-11,Malaysia,female,55-59,3643
2021-03-11,Malaysia,female,60-64,2718
2021-03-11,Malaysia,female,65-69,1687
2021-03-11,Malaysia,female,70-74,958
2021-03-11,Malaysia,female,75-79,324
2021-03-11,Malaysia,female,80-84,111
2021-03-11,Malaysia,female,85+,43
2021-03-11,Malaysia,male,0-12,25
2021-03-11,Malaysia,male,12-17,670
2021-03-11,Malaysia,male,18-24,6112
2021-03-11,Malaysia,male,25-29,6142
2021-03-11,Malaysia,male,30-34,5838
2021-03-11,Malaysia,male,35-39,5660
2021-03-11,Malaysia,male,40-44,4170
2021-03-11,Malaysia,male,45-49,3541
2021-03-11,Malaysia,male,50-54,3325
2021-03-11,Malaysia,male,55-59,3157
2021-03-11,Malaysia,male,60-64,2517
2021-03-11,Malaysia,male,65-69,1826
2021-03-11,Malaysia,male,70-74,946
2021-03-11,Malaysia,male,75-79,381
2021-03-11,Malaysia,male,80-84,147
2021-03-11,Malaysia,male,85+,40
2021-03-12,Malaysia,female,0-12,48
2021-03-12,Malaysia,female,12-17,943
2021-03-12,Malaysia,female,18-24,8539
2021-03-12,Malaysia,female,25-29,6303
2021-03-12,Malaysia,female,30-34,5966
2021-03-12,Malaysia,female,35-39,5891
2021-03-12,Malaysia,female,40-44,4988
2021-03-12,Malaysia,female,45-49,4464
2021-03-12,Malaysia,female,50-54,4186
2021-03-12,Malaysia,female,55-59,3827
2021-03-12,Malaysia,female,60-64,2837
2021-03-12,Malaysia,female,65-69,1787
2021-03-12,Malaysia,female,70-74,998
2021-03-12,Malaysia,female,75-79,318
2021-03-12,Malaysia,female,80-84,126
2021-03-12,Malaysia,female,85+,39
2021-03-12,Malaysia,male,0-12,26
2021-03-12,Malaysia,male,12-17,708
2021-03-12,Malaysia,male,18-24,5923
2021-03-12,Malaysia,male,25-29,5647
2021-03-12,Malaysia,male,30-34,5827
2021-03-12,Malaysia,male,35-39,5283
2021-03-12,Malaysia,male,40-44,4189
2021-03-12,Malaysia,male,45-49,3532
2021-03-12,Malaysia,male,50-54,3431
