date,system,value,volume
2025-12-01,fpx,42184245231.57999,88434161.0
2026-01-01,fpx,51225429424.780045,89618734.9999999
2026-02-01,fpx,40572477718.84996,82943137.99999973
2026-03-01,fpx,48659177282.05001,91352443.99999993
2026-04-01,fpx,43689587790.89004,86834624.0
2026-05-01,fpx,47434364764.76002,89624983.99999979
2026-06-01,fpx,39744152924.17026,83857071.0
2019-01-01,ibg,99998872901.34003,18472913.999999996
2019-02-01,ibg,76121622263.48999,13072467.000000004
2019-03-01,ibg,92456615545.99998,17958188.0
2019-04-01,ibg,94923286737.24,16868349.000000004
2019-05-01,ibg,98516116761.67,20324752.999999996
2019-06-01,ibg,79600984665.98,13738473.999999998
2019-07-01,ibg,98620939079.18001,17191661.0
2019-08-01,ibg,95587286300.74998,17972841.0
2019-09-01,ibg,90187590761.64,15966864.999999998
2019-10-01,ibg,101039962124.32999,17120141.000000004
2019-11-01,ibg,95840700407.68001,16327296.0
2019-12-01,ibg,103091270366.61,17847675.0
2020-01-01,ibg,102488662761.44,18208306.0
2020-02-01,ibg,89710073736.35,15203477.999999998
2020-03-01,ibg,91529394446.42001,18626483.0
2020-04-01,ibg,71993406530.72998,21237367.0
2020-05-01,ibg,83898413476.59001,27920562.999999996
2020-06-01,ibg,97111057009.76999,22345032.0
2020-07-01,ibg,108996835084.58998,25677083.0
2020-08-01,ibg,97145072344.64998,21128565.0
2020-09-01,ibg,108675864091.69,21965540.0
2020-10-01,ibg,108634725167.09001,27765005.999999996
2020-11-01,ibg,107727563814.87004,22066195.0
2020-12-01,ibg,116168290482.62001,22377633.999999996
2021-01-01,ibg,116345828406.55,31959717.0
2021-02-01,ibg,108414217436.53,32270511.0
2021-03-01,ibg,135749563968.76997,28350907.0
2021-04-01,ibg,122532319469.74,27830710.000000004
2021-05-01,ibg,114120400544.70001,31488930.000000004
2021-06-01,ibg,103084754635.89,28900136.999999996
2021-07-01,ibg,97741647813.53989,24535831.000000004
2021-08-01,ibg,100605029496.39989,24452032.0
2021-09-01,ibg,118560930597.15,37095998.0
2021-10-01,ibg,114946236528.47998,26313762.999999996
2021-11-01,ibg,125501985189.59001,28688497.0
2021-12-01,ibg,134661879229.90999,29555881.999999996
2022-01-01,ibg,126826311847.54002,23768167.0
2022-02-01,ibg,98346152665.96,18509824.0
2022-03-01,ibg,131800601876.98004,28424208.0
2022-04-01,ibg,170564250645.54004,32591700.999999993
2022-05-01,ibg,112071806555.86006,20243777.0
2022-06-01,ibg,123518046603.10004,26879530.0
2022-07-01,ibg,117284203040.14001,23372445.0
2022-08-01,ibg,123227138802.56004,22836018.000000004
2022-09-01,ibg,125621289929.56003,29058559.000000004
2022-10-01,ibg,117803094523.93001,22119829.0
2022-11-01,ibg,121325019893.13998,25632487.0
2022-12-01,ibg,127974673845.76,23564791.0
2023-01-01,ibg,126330032794.41,29128848.0
2023-02-01,ibg,111087501470.62,20369036.0
2023-03-01,ibg,133606944537.85999,24526932.0
2023-04-01,ibg,114988266327.39,28308728.0
2023-05-01,ibg,123654454825.94002,23354220.0
2023-06-01,ibg,121758223077.79,28294620.0
2023-07-01,ibg,121028433916.82,22222086.0
2023-08-01,ibg,125669487408.39998,23286503.0
2023-09-01,ibg,122408198321.72,22353060.0
2023-10-01,ibg,130964172377.44,23662037.0
2023-11-01,ibg,126194613024.69,25758668.0
2023-12-01,ibg,127406358079.59999,22921169.0
2024-01-01,ibg,139140976276.12,28394519.0
2024-02-01,ibg,120946302453.81001,22577877.0
2024-03-01,ibg,128480645986.76001,22122972.0
2024-04-01,ibg,129377211507.64,29433154.0
2024-05-01,ibg,135381842884.24,26068494.0
2024-06-01,ibg,118861056709.19983,22278420.0
2024-07-01,ibg,138496093080.30002,25459674.0
2024-08-01,ibg,133940870188.32994,28715045.0
2024-09-01,ibg,126764169505.39012,24581724.0
2024-10-01,ibg,132592633704.01968,24646359.0
2024-11-01,ibg,130285928029.8503,30516993.0
2024-12-01,ibg,143504446994.63022,31649652.0
2025-01-01,ibg,142008867389.9301,30431257.0
2025-02-01,ibg,118130038993.26,23226567.0
2025-03-01,ibg,140271025618.14023,32724138.000000004
2025-04-01,ibg,130047319766.1106,23505497.0
2025-05-01,ibg,130046277229.43016,23657021.0
2025-06-01,ibg,125012342359.94987,23174683.0
2025-07-01,ibg,140747334169.3,24485338.0
2025-08-01,ibg,131376590169.5299,28025374.0
2025-09-01,ibg,131192464329.41,22661051.0
2025-10-01,ibg,141095891365.27,29313228.0
2025-11-01,ibg,126794568134.89006,21712724.0
2025-12-01,ibg,152857283448.65988,24793251.0
2026-01-01,ibg,138945291408.02002,25837763.0
2026-02-01,ibg,121987051223.35994,20495306.0
2026-03-01,ibg,143394149513.80997,29648494.0
2026-04-01,ibg,136471433065.99,23607524.0
2026-05-01,ibg,128116027302.74,21944405.0
2026-06-01,ibg,131984865346.19998,23410614.0
2019-01-01,jompay,1906455217.43997,3208444.0
2019-02-01,jompay,1796846554.73993,2936067.0
2019-03-01,jompay,1917614536.9500399,3352787.0
2019-04-01,jompay,1987152351.66997,3247971.0
2019-05-01,jompay,2069780541.0900002,3404167.0
2019-06-01,jompay,1939812971.25005,3098516.0
2019-07-01,jompay,2216405627.56005,3744976.0
2019-08-01,jompay,2370251637.1900396,3855691.0
2019-09-01,jompay,2116058056.8900006,3516645.0
2019-10-01,jompay,2286404011.3199997,3870547.0
2019-11-01,jompay,2370366829.75,3786850.0
2019-12-01,jompay,2503041295.0700006,3892639.0
2020-01-01,jompay,2505332196.7,3923847.0000000005
2020-02-01,jompay,2645997702.819999,4189884.0
2020-03-01,jompay,2336505204.95,4010572.0
2020-04-01,jompay,2199892188.2599998,3814918.0
2020-05-01,jompay,2362765962.2500005,4396206.0
2020-06-01,jompay,2650687449.5099998,4484071.0
2020-07-01,jompay,2876959130.09,4604535.0
2020-08-01,jompay,3085773219.5299993,4591090.0
2020-09-01,jompay,2858446203.42,4329664.0
2020-10-01,jompay,2895447398.1700006,4788815.0
2020-11-01,jompay,2877440481.03,4648906.0
2020-12-01,jompay,3065383047.96,4976396.999999999
2021-01-01,jompay,3151622375.78,5364305.0
2021-02-01,jompay,3148587798.99,5473079.999999999
2021-03-01,jompay,3251640774.71,5774039.0
2021-04-01,jompay,3162681141.9800005,5357586.0
2021-05-01,jompay,3089281511.3299994,5443087.0
2021-06-01,jompay,2951647859.91,5448653.0
2021-07-01,jompay,3063737824.8399997,5674124.0
2021-08-01,jompay,3311673431.8599997,6286095.0
2021-09-01,jompay,3198836637.3799996,6197829.0
2021-10-01,jompay,3330244656.01,6160073.000000001
2021-11-01,jompay,3401168385.850001,5872810.0
2021-12-01,jompay,3595564388.69,6180904.000000001
2022-01-01,jompay,3620497712.35,6170536.0
2022-02-01,jompay,3578130647.8900003,6173118.000000001
2022-03-01,jompay,3761158809.3099995,6642979.0
2022-04-01,jompay,3922012861.2199993,6455497.999999999
2022-05-01,jompay,3681366089.3700004,6090908.000000001
2022-06-01,jompay,3752118517.870001,6236978.0
2022-07-01,jompay,3980988717.729999,6574226.0
2022-08-01,jompay,4245058114.7299995,7018545.000000001
2022-09-01,jompay,3870114077.9900002,6383387.0
2022-10-01,jompay,3854497009.810001,6479991.0
2022-11-01,jompay,3785463026.1,6259253.0
2022-12-01,jompay,4147239787.24,6724948.0
2023-01-01,jompay,4098446926.4,6923988.0
2023-02-01,jompay,4354132402.83,6998129.0
2023-03-01,jompay,4559542920.84,7222891.0
2023-04-01,jompay,4145931153.88,6388202.0
2023-05-01,jompay,4401730568.46,7045724.0
2023-06-01,jompay,4329032301.12,6746794.0
2023-07-01,jompay,4661796994.0,7250505.0
2023-08-01,jompay,4853290310.97,7623716.0
2023-09-01,jompay,4415183847.170001,6967266.0
2023-10-01,jompay,4637522862.55,7405027.0
2023-11-01,jompay,4527251086.5199995,6932738.0
2023-12-01,jompay,4680672859.65,7189694.0
2024-01-01,jompay,5019901744.089999,7708054.0
2024-02-01,jompay,4767937562.870001,7411786.0
2024-03-01,jompay,4685809368.87,7507126.0
2024-04-01,jompay,4653024972.79,7084121.0
2024-05-01,jompay,4840075722.0,7589977.0
2024-06-01,jompay,4606845758.469999,7125296.0
2024-07-01,jompay,5154151314.88,7938699.0
2024-08-01,jompay,5217410022.53,8022275.000000001
2024-09-01,jompay,4668403420.699999,7385234.0
2024-10-01,jompay,4852715092.410001,7740643.0
2024-11-01,jompay,4693425397.700001,7354675.0
2024-12-01,jompay,4940709336.589998,7760666.0
2025-01-01,jompay,4969799021.170003,7833628.0
2025-02-01,jompay,4900628905.540001,7705654.0
2025-03-01,jompay,4852047906.679999,8235989.999999999
2025-04-01,jompay,4688938809.430001,7652158.0
2025-05-01,jompay,4869426214.649995,8099914.0
2025-06-01,jompay,4781685396.720002,7667590.0
2025-07-01,jompay,5320148974.359999,8253403.000000001
2025-08-01,jompay,5224004477.280001,8136049.0
2025-09-01,jompay,4640173056.320001,7513266.0
2025-10-01,jompay,4888118410.7,7929400.0
2025-11-01,jompay,4517564172.799988,7534490.0
2025-12-01,jompay,4816646760.449988,7905290.0
2026-01-01,jompay,4883903721.379997,8101748.000000001
2026-02-01,jompay,4657769692.38,7659820.0
2026-03-01,jompay,4867578679.119999,8122847.0
2026-04-01,jompay,4869342575.219999,7981479.0
2026-05-01,jompay,4987214015.120001,7893207.000000001
2026-06-01,jompay,5006883425.970002,7868174.0
2019-01-01,rentas,4960789990640.161,435227.00000000006
2019-02-01,rentas,3800791952347.9897,339796.00000000006
2019-03-01,rentas,4766685070360.643,420693.0
2019-04-01,rentas,5088861609911.774,451038.0
2019-05-01,rentas,4868730854709.412,440306.00000000006
2019-06-01,rentas,4229693283632.3916,362715.99999999994
2019-07-01,rentas,4711767684503.995,449873.0
2019-08-01,rentas,4865588411570.004,432271.0
2019-09-01,rentas,4409238486766.035,391731.00000000006
2019-10-01,rentas,4991199871984.639,454479.99999999994
2019-11-01,rentas,4852440390198.431,444218.0
2019-12-01,rentas,5244234753388.747,452207.99999999994
2020-01-01,rentas,4868594929423.285,425021.0
2020-02-01,rentas,4300360895195.6055,410284.9999999999
2020-03-01,rentas,5747880979063.293,430226.99999999994
2020-04-01,rentas,6687392106287.44,319901.0
2020-05-01,rentas,4597485030544.592,311256.99999999994
2020-06-01,rentas,5411590957787.328,408537.99999999994
2020-07-01,rentas,5405029770017.458,443796.9999999999
2020-08-01,rentas,4593683892325.281,395688.0
2020-09-01,rentas,4981198152112.129,441086.00000000006
2020-10-01,rentas,5090788288973.9795,433916.0
2020-11-01,rentas,4901525786654.381,459024.0
2020-12-01,rentas,5515443072343.326,466235.99999999994
2021-01-01,rentas,5140224255462.0625,385090.0
2021-02-01,rentas,4603282959489.34,381164.00000000006
2021-03-01,rentas,6407706161202.825,478950.00000000006
2021-04-01,rentas,5701392717999.952,441808.99999999994
2021-05-01,rentas,4755785315749.542,386592.00000000006
2021-06-01,rentas,5569908626612.528,383414.0
2021-07-01,rentas,5236393116910.6455,367662.0
2021-08-01,rentas,4869291094676.118,366485.0
2021-09-01,rentas,5439530823807.128,416365.9999999999
2021-10-01,rentas,5234438262314.009,410985.99999999994
2021-11-01,rentas,5359982274039.04,469167.00000000006
2021-12-01,rentas,6338419039903.03,467941.00000000006
2022-01-01,rentas,5712595202604.138,411646.00000000006
2022-02-01,rentas,4872328879714.017,348228.0
2022-03-01,rentas,6613543112813.18,470064.0000000001
2022-04-01,rentas,6198188023438.0,452523.0
2022-05-01,rentas,5685187829763.143,381119.0
2022-06-01,rentas,6471714302268.31,432562.0
2022-07-01,rentas,6419168955215.522,414209.99999999994
2022-08-01,rentas,6508489592598.648,438535.0
2022-09-01,rentas,7242859353239.526,447563.0
2022-10-01,rentas,6332840000000.0,424410.0
2022-11-01,rentas,7139820000000.0,446860.0
2022-12-01,rentas,7555681577486.809,468464.99999999994
2023-01-01,rentas,6862713394715.9795,405743.0
2023-02-01,rentas,5715914920803.731,392758.0
2023-03-01,rentas,7486409815763.55,482000.0
2023-04-01,rentas,5656137567474.601,397200.0
2023-05-01,rentas,6494303714342.818,450755.0
2023-06-01,rentas,6711074692922.7,445124.0
2023-07-01,rentas,6301680732539.11,449489.0
2023-08-01,rentas,6646649474093.08,475933.0
2023-09-01,rentas,5875833731850.529,444716.0
2023-10-01,rentas,6510269073783.02,496128.0
2023-11-01,rentas,6608718050068.93,480021.00000000006
2023-12-01,rentas,6335249353615.339,485888.0
2024-01-01,rentas,6442706665187.89,464170.0
2024-02-01,rentas,5667496960982.32,412134.0
2024-03-01,rentas,6122075589653.09,447035.0
2024-04-01,rentas,5558740984044.39,455252.0
2024-05-01,rentas,5953253462490.78,478778.0
2024-06-01,rentas,5616491420097.079,425428.0
2024-07-01,rentas,6788875631163.051,506939.99999999994
2024-08-01,rentas,6481362624366.72,501627.99999999994
2024-09-01,rentas,5923092816109.96,460549.0
2024-10-01,rentas,6406332225035.079,497935.0
2024-11-01,rentas,6188903169008.73,493383.0
2024-12-01,rentas,6479407858291.86,519791.0
2025-01-01,rentas,5857534080674.459,445395.0
2025-02-01,rentas,5012641589290.3,393503.0
2025-03-01,rentas,6426335627382.329,464295.0
2025-04-01,rentas,6454771867933.139,466179.0
2025-05-01,rentas,6175678546770.2705,464542.0
2025-06-01,rentas,5663400000000.0,445133.0
2025-07-01,rentas,7045163876043.81,524330.0
2025-08-01,rentas,6154230500002.139,480049.0
2025-09-01,rentas,5855907600832.77,454774.0
2025-10-01,rentas,6931567792078.631,560612.0
2025-11-01,rentas,6483764726118.12,525903.0
2025-12-01,rentas,7210373449515.56,584183.0
2026-01-01,rentas,6603444120310.241,469154.0
2026-02-01,rentas,5427821022965.12,403357.0
2026-03-01,rentas,7104976428415.51,483074.0
2026-04-01,rentas,7598449852574.641,495572.0
2026-05-01,rentas,6764399321075.23,458174.0
2026-06-01,rentas,6719281491276.07,470934.0
2019-01-01,rpp,158234107.97,180728.99999999997
2019-02-01,rpp,2436060262.8599997,1072430.0
2019-03-01,rpp,3768051869.21,1622810.0
2019-04-01,rpp,4784759673.850001,2849578.0
2019-05-01,rpp,5564728114.759998,3440486.0
2019-06-01,rpp,6569933640.629998,3994521.0
2019-07-01,rpp,9577071704.03,6299900.0
2019-08-01,rpp,11963135881.529999,7928891.999999999
2019-09-01,rpp,18707910814.570007,15205312.0
2019-10-01,rpp,22944175565.19,18263767.0
2019-11-01,rpp,26552118819.63001,20648964.0
2019-12-01,rpp,38354461785.26999,27802282.0
2020-01-01,rpp,44139409836.82,32382498.0
2020-02-01,rpp,41200714238.319984,31308204.999999996
2020-03-01,rpp,43645112700.670006,34197269.99999999
2020-04-01,rpp,36545240416.369995,35542457.0
2020-05-01,rpp,44756375732.55,44880388.99999999
2020-06-01,rpp,51344622700.61,41338440.99999999
2020-07-01,rpp,60199270334.219986,48492247.00000001
2020-08-01,rpp,60413519684.110016,50767622.0
2020-09-01,rpp,68152182502.700005,57565561.0
2020-10-01,rpp,74204492931.73999,65988763.00000001
2020-11-01,rpp,70754295837.55,58843781.0
2020-12-01,rpp,84350304743.76999,69262739.0
2021-01-01,rpp,83912802816.69998,73708081.99999999
2021-02-01,rpp,78442981011.39,69425164.0
2021-03-01,rpp,96927558129.5,80826637.99999999
2021-04-01,rpp,94593634421.97,80778261.99999999
2021-05-01,rpp,94743113332.75,85638305.0
2021-06-01,rpp,86069583306.81999,84588150.0
2021-07-01,rpp,86764417838.40001,86324787.0
2021-08-01,rpp,92389344773.91,93983030.0
2021-09-01,rpp,104450643754.06,97994138.0
2021-10-01,rpp,111180837982.43001,100532031.0
2021-11-01,rpp,114387457320.82,97540405.0
2021-12-01,rpp,127604552875.07997,105852663.0
2022-01-01,rpp,131726318686.01999,107210494.00000001
2022-02-01,rpp,106135932650.30002,88670839.0
2022-03-01,rpp,132747695565.61003,109638145.00000001
2022-04-01,rpp,145158312734.39,126930056.00000001
2022-05-01,rpp,132742009568.93002,116390122.99999999
2022-06-01,rpp,140259357131.74997,116167374.0
2022-07-01,rpp,140255050961.98,119037181.00000001
2022-08-01,rpp,146850589174.65002,122275988.00000001
2022-09-01,rpp,146719688193.99997,123716903.0
2022-10-01,rpp,148294695000.24,132157107.0
2022-11-01,rpp,150134855190.84998,131848639.99999999
2022-12-01,rpp,164614596193.5,144196886.0
2023-01-01,rpp,162956403814.0,147670696.0
2023-02-01,rpp,148485632440.44003,134394103.0
2023-03-01,rpp,176220675275.26004,152725532.0
2023-04-01,rpp,163319258342.76,151849082.0
2023-05-01,rpp,175611389294.56,161514306.0
2023-06-01,rpp,172979342580.11,164867066.0
2023-07-01,rpp,179977301770.753,173705916.0
2023-08-01,rpp,187907629043.97,178439991.0
2023-09-01,rpp,187005106188.479,181068294.0
2023-10-01,rpp,201840136846.47998,204779777.0
2023-11-01,rpp,200312440513.73703,210482772.0
2023-12-01,rpp,216816428191.19998,228979798.0
2024-01-01,rpp,229582703203.39,235327750.0
2024-02-01,rpp,207510242806.196,223678745.0
2024-03-01,rpp,229225796713.126,242726322.0
2024-04-01,rpp,229406402028.99002,240361382.0
2024-05-01,rpp,240647012426.74,278642960.0
2024-06-01,rpp,230389929675.23795,274749921.0
2024-07-01,rpp,256145141557.98004,295223112.0
2024-08-01,rpp,254698294831.52002,305457495.0
2024-09-01,rpp,244174412791.42996,303692165.0
2024-10-01,rpp,262625379557.25003,350114011.0
2024-11-01,rpp,261042317955.90402,349630937.0
2024-12-01,rpp,294093318821.083,377023288.0
2025-01-01,rpp,290653928880.77997,390690485.0
2025-02-01,rpp,250252160814.28,349958066.0
2025-03-01,rpp,297686750550.66003,409195928.0
2025-04-01,rpp,277801159907.10004,379630566.0
2025-05-01,rpp,289447049184.2051,442459320.0
2025-06-01,rpp,277151330505.87,419225232.0
2025-07-01,rpp,311474179480.5139,469957044.0
2025-08-01,rpp,306812889308.34,488545602.0
2025-09-01,rpp,307787490070.782,467012822.0
2025-10-01,rpp,344085088847.12,536958499.0
2025-11-01,rpp,322624190071.8093,529158160.99999994
2025-12-01,rpp,362333647130.6595,555789462.0
2026-01-01,rpp,359043718687.6799,577479344.0
2026-02-01,rpp,323790565367.4901,512754693.0
2026-03-01,rpp,369415626845.09,568597681.0000001
2026-04-01,rpp,360744592559.0602,590497440.0
2026-05-01,rpp,361620997306.17,626579568.0
2026-06-01,rpp,370254275330.91,626916243.0
