series,date,gdp,gni,gdp_capita,gni_capita
abs,2009-01-01,847648.6715437366,851031.7772904634,30185.65319860789,30305.761752111368
abs,2010-01-01,908628.9197855636,884216.8772512688,31782.997480258426,30929.129285634594
abs,2011-01-01,956730.9428401182,932856.9605438828,32920.11930567539,32098.741565317097
abs,2012-01-01,1009097.1727399864,969270.5930383328,34195.509835544806,32845.87032192037
abs,2013-01-01,1056461.3939875828,1019210.3690637879,34966.49613157168,33733.085720386756
abs,2014-01-01,1119920.0924334445,1081263.1924154225,36469.75348637874,35210.66625241912
abs,2015-01-01,1176941.0,1155866.0,37739.0,37063.0
abs,2016-01-01,1229312.0,1211301.0,38861.0,38292.0
abs,2017-01-01,1300769.0,1281719.0,40620.0,40025.0
abs,2018-01-01,1363766.0,1335058.0,42115.0,41228.0
abs,2019-01-01,1423952.0,1402096.0,43783.0,43111.0
abs,2020-01-01,1346249.0,1332466.0,41489.775487704756,41065.0
abs,2021-01-01,1390882.0,1370015.0,42696.14922238708,42055.59125569864
abs,2022-01-01,1516502.754,1484034.0,46378.890481054346,45385.905284126515
abs,2023-01-01,1570142.424,1509262.5779999997,47027.79160598773,45204.361662990006
abs,2024-01-01,1650305.405,1592272.0197899996,48491.73791018493,46786.514321194656
abs,2025-01-01,1735647.167,1667108.8047201294,50707.116967106835,48704.761408363636
growth_yoy,1971-01-01,10.0,8.8,7.3,6.1
growth_yoy,1972-01-01,9.4,9.8,6.7,7.0
growth_yoy,1973-01-01,11.7,10.5,9.1,7.9
growth_yoy,1974-01-01,8.3,7.7,5.7,5.2
growth_yoy,1975-01-01,0.8,2.3,-1.6,-0.3
growth_yoy,1976-01-01,11.6,10.7,9.0,8.2
growth_yoy,1977-01-01,7.8,7.6,5.1,5.0
growth_yoy,1978-01-01,6.7,5.9,4.2,3.5
growth_yoy,1979-01-01,9.3,9.1,6.8,6.6
growth_yoy,1980-01-01,7.4,8.8,4.6,5.9
growth_yoy,1981-01-01,6.9,7.5,4.1,4.7
growth_yoy,1982-01-01,5.9,4.6,3.1,1.8
growth_yoy,1983-01-01,6.3,3.9,3.5,1.1
growth_yoy,1984-01-01,7.8,6.7,4.9,3.9
growth_yoy,1985-01-01,-1.0,-1.5,-3.7,-4.2
growth_yoy,1986-01-01,1.2,2.9,-1.5,0.1
growth_yoy,1987-01-01,5.2,5.3,2.4,2.6
growth_yoy,1988-01-01,9.9,11.3,7.1,8.5
growth_yoy,1989-01-01,9.1,8.7,6.3,6.0
growth_yoy,1990-01-01,9.0,10.4,6.4,7.7
growth_yoy,1991-01-01,9.5,8.6,6.9,6.0
growth_yoy,1992-01-01,8.9,7.0,5.9,4.1
growth_yoy,1993-01-01,9.9,10.1,6.9,7.1
growth_yoy,1994-01-01,9.2,9.0,6.3,6.1
growth_yoy,1995-01-01,9.8,9.4,7.0,6.5
growth_yoy,1996-01-01,10.0,9.6,7.2,6.8
growth_yoy,1997-01-01,7.3,7.2,4.6,4.5
growth_yoy,1998-01-01,-7.4,-5.2,-9.7,-7.6
growth_yoy,1999-01-01,6.1,4.1,3.5,1.4
growth_yoy,2000-01-01,8.9,6.4,6.1,3.7
growth_yoy,2001-01-01,0.5,1.3,-1.7,-1.0
growth_yoy,2002-01-01,5.4,6.0,3.2,3.8
growth_yoy,2003-01-01,5.8,7.1,3.7,5.0
growth_yoy,2004-01-01,6.8,6.9,4.7,4.8
growth_yoy,2005-01-01,5.3,5.3,3.3,3.3
growth_yoy,2006-01-01,5.8,7.4,3.8,5.4
growth_yoy,2007-01-01,6.5,5.9,4.5,3.9
growth_yoy,2008-01-01,4.8,2.4,2.9,0.5
growth_yoy,2009-01-01,-1.6,0.6,-3.4,-1.2
growth_yoy,2010-01-01,7.2,3.9,5.3,2.1
growth_yoy,2011-01-01,5.3,5.5,3.6,3.8
growth_yoy,2012-01-01,5.5,3.9,3.9,2.3
growth_yoy,2013-01-01,4.7,5.2,2.3,2.7
growth_yoy,2014-01-01,6.0,6.1,4.3,4.4
growth_yoy,2015-01-01,5.1,6.9,3.5,5.3
growth_yoy,2016-01-01,4.4,4.8,3.0,3.3
growth_yoy,2017-01-01,5.8,5.8,4.5,4.5
growth_yoy,2018-01-01,4.8,4.2,3.7,3.0
growth_yoy,2019-01-01,4.4,5.0,4.0,4.6
growth_yoy,2020-01-01,-5.5,-5.0,-5.2,-4.7
growth_yoy,2021-01-01,3.3,2.8,2.9,2.4
growth_yoy,2022-01-01,9.0,8.3,8.6,7.9
growth_yoy,2023-01-01,3.5,1.7,1.4,-0.4
growth_yoy,2024-01-01,5.1,5.5,3.1,3.5
growth_yoy,2025-01-01,5.2,4.7,4.6,4.1
