series,date,section,index,index_sa
growth_mom,2025-05-01,B,-2.281,-1.934
growth_mom,2025-06-01,B,4.551,3.364
growth_mom,2025-07-01,B,0.0,-0.337
growth_mom,2025-08-01,B,-1.451,0.113
growth_mom,2025-09-01,B,1.133,2.475
growth_mom,2025-10-01,B,-4.815,-7.464
growth_mom,2025-11-01,B,-0.824,0.237
growth_mom,2025-12-01,B,-2.017,0.118
growth_mom,2026-01-01,B,1.937,1.537
growth_mom,2026-02-01,B,0.356,-3.143
growth_mom,2026-03-01,B,32.899,32.332
growth_mom,2026-04-01,B,19.768,22.252
growth_mom,2026-05-01,B,-2.751,-2.452
growth_mom,2026-06-01,B,-11.621,-12.414
growth_mom,2026-07-01,B,1.125,0.783
abs,2010-01-01,C,98.8,
abs,2010-02-01,C,99.0,
abs,2010-03-01,C,99.2,
abs,2010-04-01,C,99.3,
abs,2010-05-01,C,99.8,
abs,2010-06-01,C,99.6,
abs,2010-07-01,C,98.9,
abs,2010-08-01,C,99.2,
abs,2010-09-01,C,99.8,
abs,2010-10-01,C,99.9,
abs,2010-11-01,C,102.2,
abs,2010-12-01,C,104.3,
abs,2011-01-01,C,106.0,
abs,2011-02-01,C,107.4,
abs,2011-03-01,C,108.4,
abs,2011-04-01,C,109.7,
abs,2011-05-01,C,110.0,
abs,2011-06-01,C,110.1,
abs,2011-07-01,C,109.8,
abs,2011-08-01,C,109.7,
abs,2011-09-01,C,109.3,
abs,2011-10-01,C,109.4,
abs,2011-11-01,C,108.8,
abs,2011-12-01,C,109.4,
abs,2012-01-01,C,109.9,
abs,2012-02-01,C,109.9,
abs,2012-03-01,C,110.2,
abs,2012-04-01,C,111.2,
abs,2012-05-01,C,111.3,
abs,2012-06-01,C,109.8,
abs,2012-07-01,C,109.9,
abs,2012-08-01,C,109.8,
abs,2012-09-01,C,107.8,
abs,2012-10-01,C,106.7,
abs,2012-11-01,C,106.1,
abs,2012-12-01,C,105.8,
abs,2013-01-01,C,105.9,
abs,2013-02-01,C,106.8,
abs,2013-03-01,C,106.4,
abs,2013-04-01,C,105.7,
abs,2013-05-01,C,105.3,
abs,2013-06-01,C,105.5,
abs,2013-07-01,C,105.6,
abs,2013-08-01,C,106.1,
abs,2013-09-01,C,106.6,
abs,2013-10-01,C,106.7,
abs,2013-11-01,C,107.3,
abs,2013-12-01,C,109.4,
abs,2014-01-01,C,109.3,
abs,2014-02-01,C,109.7,
abs,2014-03-01,C,110.2,
abs,2014-04-01,C,110.1,
abs,2014-05-01,C,109.1,
abs,2014-06-01,C,108.6,
abs,2014-07-01,C,108.9,
abs,2014-08-01,C,108.5,
abs,2014-09-01,C,108.2,
abs,2014-10-01,C,107.5,
abs,2014-11-01,C,107.6,
abs,2014-12-01,C,106.1,
abs,2015-01-01,C,106.4,
abs,2015-02-01,C,106.2,
abs,2015-03-01,C,105.7,
abs,2015-04-01,C,104.4,
abs,2015-05-01,C,103.0,
abs,2015-06-01,C,103.9,
abs,2015-07-01,C,104.1,
abs,2015-08-01,C,104.0,
abs,2015-09-01,C,105.2,
abs,2015-10-01,C,105.4,
abs,2015-11-01,C,105.1,
abs,2015-12-01,C,103.8,
abs,2016-01-01,C,103.4,
abs,2016-02-01,C,102.8,
abs,2016-03-01,C,102.7,
abs,2016-04-01,C,103.0,
abs,2016-05-01,C,101.7,
abs,2016-06-01,C,102.1,
abs,2016-07-01,C,102.0,
abs,2016-08-01,C,102.3,
abs,2016-09-01,C,104.0,
abs,2016-10-01,C,104.5,
abs,2016-11-01,C,105.7,
abs,2016-12-01,C,107.6,
abs,2017-01-01,C,109.2,
abs,2017-02-01,C,110.4,
abs,2017-03-01,C,109.6,
abs,2017-04-01,C,109.1,
abs,2017-05-01,C,109.4,
abs,2017-06-01,C,108.8,
abs,2017-07-01,C,108.0,
abs,2017-08-01,C,108.7,
abs,2017-09-01,C,108.9,
abs,2017-10-01,C,108.3,
abs,2017-11-01,C,108.7,
abs,2017-12-01,C,108.8,
abs,2018-01-01,C,108.4,
abs,2018-02-01,C,107.5,
abs,2018-03-01,C,107.1,
abs,2018-04-01,C,106.9,
abs,2018-05-01,C,106.7,
abs,2018-06-01,C,106.6,
abs,2018-07-01,C,106.7,
abs,2018-08-01,C,106.8,
abs,2018-09-01,C,107.1,
abs,2018-10-01,C,107.5,
abs,2018-11-01,C,106.7,
abs,2018-12-01,C,106.0,
abs,2019-01-01,C,105.9,
abs,2019-02-01,C,106.1,
abs,2019-03-01,C,106.2,
abs,2019-04-01,C,106.0,
abs,2019-05-01,C,106.1,
abs,2019-06-01,C,105.8,
abs,2019-07-01,C,105.7,
abs,2019-08-01,C,105.7,
abs,2019-09-01,C,106.0,
abs,2019-10-01,C,106.1,
abs,2019-11-01,C,105.9,
abs,2019-12-01,C,106.5,
abs,2020-01-01,C,106.9,
