date,state,parlimen,poverty_absolute
2024-01-01,W.P. Kuala Lumpur,P.115 Batu,1.4
2019-01-01,W.P. Kuala Lumpur,P.116 Wangsa Maju,0.0
2022-01-01,W.P. Kuala Lumpur,P.116 Wangsa Maju,1.6
2024-01-01,W.P. Kuala Lumpur,P.116 Wangsa Maju,0.6
2019-01-01,W.P. Kuala Lumpur,P.117 Segambut,0.0
2022-01-01,W.P. Kuala Lumpur,P.117 Segambut,0.3
2024-01-01,W.P. Kuala Lumpur,P.117 Segambut,0.3
2019-01-01,W.P. Kuala Lumpur,P.118 Setiawangsa,0.3
2022-01-01,W.P. Kuala Lumpur,P.118 Setiawangsa,1.4
2024-01-01,W.P. Kuala Lumpur,P.118 Setiawangsa,0.0
2019-01-01,W.P. Kuala Lumpur,P.119 Titiwangsa,0.5
2022-01-01,W.P. Kuala Lumpur,P.119 Titiwangsa,0.5
2024-01-01,W.P. Kuala Lumpur,P.119 Titiwangsa,0.0
2019-01-01,W.P. Kuala Lumpur,P.120 Bukit Bintang,0.0
2022-01-01,W.P. Kuala Lumpur,P.120 Bukit Bintang,1.1
2024-01-01,W.P. Kuala Lumpur,P.120 Bukit Bintang,0.4
2019-01-01,W.P. Kuala Lumpur,P.121 Lembah Pantai,0.0
2022-01-01,W.P. Kuala Lumpur,P.121 Lembah Pantai,2.6
2024-01-01,W.P. Kuala Lumpur,P.121 Lembah Pantai,0.0
2019-01-01,W.P. Kuala Lumpur,P.122 Seputeh,0.5
2022-01-01,W.P. Kuala Lumpur,P.122 Seputeh,1.0
2024-01-01,W.P. Kuala Lumpur,P.122 Seputeh,0.5
2019-01-01,W.P. Kuala Lumpur,P.123 Cheras,0.2
2022-01-01,W.P. Kuala Lumpur,P.123 Cheras,1.8
2024-01-01,W.P. Kuala Lumpur,P.123 Cheras,2.4
2019-01-01,W.P. Kuala Lumpur,P.124 Bandar Tun Razak,0.0
2022-01-01,W.P. Kuala Lumpur,P.124 Bandar Tun Razak,2.0
2024-01-01,W.P. Kuala Lumpur,P.124 Bandar Tun Razak,2.6
2019-01-01,W.P. Putrajaya,P.125 Putrajaya,0.4
2022-01-01,W.P. Putrajaya,P.125 Putrajaya,0.1
2024-01-01,W.P. Putrajaya,P.125 Putrajaya,0.2
2019-01-01,Negeri Sembilan,P.126 Jelebu,6.2
2022-01-01,Negeri Sembilan,P.126 Jelebu,6.0
2024-01-01,Negeri Sembilan,P.126 Jelebu,5.5
2019-01-01,Negeri Sembilan,P.127 Jempol,5.8
2022-01-01,Negeri Sembilan,P.127 Jempol,8.9
2024-01-01,Negeri Sembilan,P.127 Jempol,7.7
2019-01-01,Negeri Sembilan,P.128 Seremban,4.5
2022-01-01,Negeri Sembilan,P.128 Seremban,3.3
2024-01-01,Negeri Sembilan,P.128 Seremban,2.1
2019-01-01,Negeri Sembilan,P.129 Kuala Pilah,8.3
2022-01-01,Negeri Sembilan,P.129 Kuala Pilah,6.8
2024-01-01,Negeri Sembilan,P.129 Kuala Pilah,6.2
2019-01-01,Negeri Sembilan,P.130 Rasah,1.8
2022-01-01,Negeri Sembilan,P.130 Rasah,1.9
2024-01-01,Negeri Sembilan,P.130 Rasah,2.9
2019-01-01,Negeri Sembilan,P.131 Rembau,4.2
2022-01-01,Negeri Sembilan,P.131 Rembau,3.9
2024-01-01,Negeri Sembilan,P.131 Rembau,3.6
2019-01-01,Negeri Sembilan,P.132 Port Dickson,4.3
2022-01-01,Negeri Sembilan,P.132 Port Dickson,4.9
2024-01-01,Negeri Sembilan,P.132 Port Dickson,4.4
2019-01-01,Negeri Sembilan,P.133 Tampin,4.8
2022-01-01,Negeri Sembilan,P.133 Tampin,7.3
2024-01-01,Negeri Sembilan,P.133 Tampin,7.0
2019-01-01,Melaka,P.134 Masjid Tanah,5.2
2022-01-01,Melaka,P.134 Masjid Tanah,7.1
2024-01-01,Melaka,P.134 Masjid Tanah,5.8
2019-01-01,Melaka,P.135 Alor Gajah,2.9
2022-01-01,Melaka,P.135 Alor Gajah,3.3
2024-01-01,Melaka,P.135 Alor Gajah,3.3
2019-01-01,Melaka,P.136 Tangga Batu,5.9
2022-01-01,Melaka,P.136 Tangga Batu,4.1
2024-01-01,Melaka,P.136 Tangga Batu,3.9
2019-01-01,Melaka,P.137 Hang Tuah Jaya,4.3
2022-01-01,Melaka,P.137 Hang Tuah Jaya,3.1
2024-01-01,Melaka,P.137 Hang Tuah Jaya,1.7
2019-01-01,Melaka,P.138 Kota Melaka,2.9
2022-01-01,Melaka,P.138 Kota Melaka,3.9
2024-01-01,Melaka,P.138 Kota Melaka,2.8
2019-01-01,Melaka,P.139 Jasin,2.7
2022-01-01,Melaka,P.139 Jasin,5.5
2024-01-01,Melaka,P.139 Jasin,1.1
2019-01-01,Johor,P.140 Segamat,2.6
2022-01-01,Johor,P.140 Segamat,5.1
2024-01-01,Johor,P.140 Segamat,1.7
2019-01-01,Johor,P.141 Sekijang,3.4
2022-01-01,Johor,P.141 Sekijang,9.2
2024-01-01,Johor,P.141 Sekijang,4.1
2019-01-01,Johor,P.142 Labis,2.4
2022-01-01,Johor,P.142 Labis,8.0
2024-01-01,Johor,P.142 Labis,4.3
2019-01-01,Johor,P.143 Pagoh,6.9
2022-01-01,Johor,P.143 Pagoh,8.2
2024-01-01,Johor,P.143 Pagoh,1.3
2019-01-01,Johor,P.144 Ledang,3.2
2022-01-01,Johor,P.144 Ledang,7.0
2024-01-01,Johor,P.144 Ledang,4.5
2019-01-01,Johor,P.145 Bakri,3.4
2022-01-01,Johor,P.145 Bakri,4.4
2024-01-01,Johor,P.145 Bakri,2.7
2019-01-01,Johor,P.146 Muar,4.2
2022-01-01,Johor,P.146 Muar,6.0
2024-01-01,Johor,P.146 Muar,1.9
2019-01-01,Johor,P.147 Parit Sulong,5.2
2022-01-01,Johor,P.147 Parit Sulong,6.4
2024-01-01,Johor,P.147 Parit Sulong,0.0
2019-01-01,Johor,P.148 Ayer Hitam,2.7
2022-01-01,Johor,P.148 Ayer Hitam,4.5
2024-01-01,Johor,P.148 Ayer Hitam,1.2
2019-01-01,Johor,P.149 Sri Gading,2.3
2022-01-01,Johor,P.149 Sri Gading,7.8
2024-01-01,Johor,P.149 Sri Gading,4.2
2019-01-01,Johor,P.150 Batu Pahat,2.5
2022-01-01,Johor,P.150 Batu Pahat,2.9
2024-01-01,Johor,P.150 Batu Pahat,2.7
2019-01-01,Johor,P.151 Simpang Renggam,9.9
2022-01-01,Johor,P.151 Simpang Renggam,8.2
2024-01-01,Johor,P.151 Simpang Renggam,5.0
2019-01-01,Johor,P.152 Kluang,3.6
2022-01-01,Johor,P.152 Kluang,7.4
2024-01-01,Johor,P.152 Kluang,4.4
2019-01-01,Johor,P.153 Sembrong,5.4
2022-01-01,Johor,P.153 Sembrong,5.0
2024-01-01,Johor,P.153 Sembrong,11.1
2019-01-01,Johor,P.154 Mersing,12.1
2022-01-01,Johor,P.154 Mersing,12.7
2024-01-01,Johor,P.154 Mersing,6.7
2019-01-01,Johor,P.155 Tenggara,5.1
2022-01-01,Johor,P.155 Tenggara,4.3
2024-01-01,Johor,P.155 Tenggara,5.4
2019-01-01,Johor,P.156 Kota Tinggi,9.7
2022-01-01,Johor,P.156 Kota Tinggi,4.3
2024-01-01,Johor,P.156 Kota Tinggi,2.1
2019-01-01,Johor,P.157 Pengerang,4.4
2022-01-01,Johor,P.157 Pengerang,6.1
2024-01-01,Johor,P.157 Pengerang,4.2
2019-01-01,Johor,P.158 Tebrau,3.7
2022-01-01,Johor,P.158 Tebrau,5.6
2024-01-01,Johor,P.158 Tebrau,2.4
2019-01-01,Johor,P.159 Pasir Gudang,4.9
2022-01-01,Johor,P.159 Pasir Gudang,5.6
2024-01-01,Johor,P.159 Pasir Gudang,2.8
2019-01-01,Johor,P.160 Johor Bahru,3.4
2022-01-01,Johor,P.160 Johor Bahru,4.9
2024-01-01,Johor,P.160 Johor Bahru,1.1
2019-01-01,Johor,P.161 Pulai,1.1
2022-01-01,Johor,P.161 Pulai,1.3
2024-01-01,Johor,P.161 Pulai,2.1
2019-01-01,Johor,P.162 Iskandar Puteri,2.4
2022-01-01,Johor,P.162 Iskandar Puteri,1.2
2024-01-01,Johor,P.162 Iskandar Puteri,0.3
2019-01-01,Johor,P.163 Kulai,4.2
2022-01-01,Johor,P.163 Kulai,0.2
2024-01-01,Johor,P.163 Kulai,0.2
2019-01-01,Johor,P.164 Pontian,4.9
2022-01-01,Johor,P.164 Pontian,5.2
2024-01-01,Johor,P.164 Pontian,2.7
2019-01-01,Johor,P.165 Tanjung Piai,6.6
2022-01-01,Johor,P.165 Tanjung Piai,4.9
