state,district,stage,sex,date,students
Johor,Batu Pahat,post_secondary,female,2024-06-30,507
Johor,Batu Pahat,post_secondary,female,2025-06-30,963
Johor,Batu Pahat,post_secondary,male,2018-01-01,886
Johor,Batu Pahat,post_secondary,male,2019-01-01,785
Johor,Batu Pahat,post_secondary,male,2020-01-01,524
Johor,Batu Pahat,post_secondary,male,2021-01-01,476
Johor,Batu Pahat,post_secondary,male,2022-01-01,532
Johor,Batu Pahat,post_secondary,male,2023-06-30,607
Johor,Batu Pahat,post_secondary,male,2024-06-30,522
Johor,Batu Pahat,post_secondary,male,2025-06-30,763
Johor,Johor Bahru,primary,both,2017-01-01,137487
Johor,Johor Bahru,primary,both,2018-01-01,147001
Johor,Johor Bahru,primary,both,2019-01-01,149749
Johor,Johor Bahru,primary,both,2020-01-01,151081
Johor,Johor Bahru,primary,both,2021-01-01,151451
Johor,Johor Bahru,primary,both,2022-01-01,151122
Johor,Johor Bahru,primary,both,2023-06-30,75554
Johor,Johor Bahru,primary,both,2024-06-30,76956
Johor,Johor Bahru,primary,both,2025-06-30,77508
Johor,Johor Bahru,primary,female,2017-01-01,67064
Johor,Johor Bahru,primary,female,2018-01-01,71741
Johor,Johor Bahru,primary,female,2019-01-01,73151
Johor,Johor Bahru,primary,female,2020-01-01,73941
Johor,Johor Bahru,primary,female,2021-01-01,74118
Johor,Johor Bahru,primary,female,2022-01-01,73998
Johor,Johor Bahru,primary,female,2023-06-30,36873
Johor,Johor Bahru,primary,female,2024-06-30,37478
Johor,Johor Bahru,primary,female,2025-06-30,37730
Johor,Johor Bahru,primary,male,2017-01-01,70423
Johor,Johor Bahru,primary,male,2018-01-01,75260
Johor,Johor Bahru,primary,male,2019-01-01,76598
Johor,Johor Bahru,primary,male,2020-01-01,77140
Johor,Johor Bahru,primary,male,2021-01-01,77333
Johor,Johor Bahru,primary,male,2022-01-01,77124
Johor,Johor Bahru,primary,male,2023-06-30,38681
Johor,Johor Bahru,primary,male,2024-06-30,39478
Johor,Johor Bahru,primary,male,2025-06-30,39778
Johor,Johor Bahru,secondary,both,2017-01-01,98978
Johor,Johor Bahru,secondary,both,2018-01-01,97180
Johor,Johor Bahru,secondary,both,2019-01-01,97020
Johor,Johor Bahru,secondary,both,2020-01-01,98256
Johor,Johor Bahru,secondary,both,2021-01-01,99901
Johor,Johor Bahru,secondary,both,2022-01-01,100140
Johor,Johor Bahru,secondary,both,2023-06-30,48787
Johor,Johor Bahru,secondary,both,2024-06-30,49824
Johor,Johor Bahru,secondary,both,2025-06-30,51145
Johor,Johor Bahru,secondary,female,2017-01-01,50525
Johor,Johor Bahru,secondary,female,2018-01-01,48842
Johor,Johor Bahru,secondary,female,2019-01-01,48673
Johor,Johor Bahru,secondary,female,2020-01-01,49179
Johor,Johor Bahru,secondary,female,2021-01-01,49750
Johor,Johor Bahru,secondary,female,2022-01-01,49598
Johor,Johor Bahru,secondary,female,2023-06-30,24503
Johor,Johor Bahru,secondary,female,2024-06-30,25105
Johor,Johor Bahru,secondary,female,2025-06-30,25746
Johor,Johor Bahru,secondary,male,2017-01-01,48453
Johor,Johor Bahru,secondary,male,2018-01-01,48338
Johor,Johor Bahru,secondary,male,2019-01-01,48347
Johor,Johor Bahru,secondary,male,2020-01-01,49077
Johor,Johor Bahru,secondary,male,2021-01-01,50151
Johor,Johor Bahru,secondary,male,2022-01-01,50542
Johor,Johor Bahru,secondary,male,2023-06-30,24284
Johor,Johor Bahru,secondary,male,2024-06-30,24719
Johor,Johor Bahru,secondary,male,2025-06-30,25399
Johor,Johor Bahru,post_secondary,both,2018-01-01,3786
Johor,Johor Bahru,post_secondary,both,2019-01-01,3918
Johor,Johor Bahru,post_secondary,both,2020-01-01,2202
Johor,Johor Bahru,post_secondary,both,2021-01-01,2172
Johor,Johor Bahru,post_secondary,both,2022-01-01,2025
Johor,Johor Bahru,post_secondary,both,2023-06-30,1463
