date,state,education,addicts
2023-01-01,Perlis,diploma,7
2019-01-01,Perlis,diploma,5
2020-01-01,Perlis,diploma,10
2021-01-01,Pulau Pinang,diploma,30
2022-01-01,Pulau Pinang,diploma,40
2023-01-01,Pulau Pinang,diploma,60
2019-01-01,Pulau Pinang,diploma,43
2020-01-01,Pulau Pinang,diploma,33
2021-01-01,Sabah,diploma,27
2022-01-01,Sabah,diploma,24
2023-01-01,Sabah,diploma,15
2019-01-01,Sabah,diploma,41
2020-01-01,Sabah,diploma,16
2021-01-01,Sarawak,diploma,21
2022-01-01,Sarawak,diploma,28
2023-01-01,Sarawak,diploma,27
2019-01-01,Sarawak,diploma,23
2020-01-01,Sarawak,diploma,23
2021-01-01,Selangor,diploma,116
2022-01-01,Selangor,diploma,111
2023-01-01,Selangor,diploma,114
2019-01-01,Selangor,diploma,80
2020-01-01,Selangor,diploma,92
2021-01-01,Terengganu,diploma,65
2022-01-01,Terengganu,diploma,67
2023-01-01,Terengganu,diploma,50
2019-01-01,Terengganu,diploma,57
2020-01-01,Terengganu,diploma,35
2021-01-01,W.P. Kuala Lumpur,diploma,54
2022-01-01,W.P. Kuala Lumpur,diploma,58
2023-01-01,W.P. Kuala Lumpur,diploma,57
2019-01-01,W.P. Kuala Lumpur,diploma,48
2020-01-01,W.P. Kuala Lumpur,diploma,43
2021-01-01,W.P. Labuan,diploma,
2022-01-01,W.P. Labuan,diploma,3
2023-01-01,W.P. Labuan,diploma,2
2019-01-01,W.P. Labuan,diploma,3
2020-01-01,W.P. Labuan,diploma,4
2021-01-01,W.P. Putrajaya,diploma,5
2022-01-01,W.P. Putrajaya,diploma,6
2023-01-01,W.P. Putrajaya,diploma,5
2019-01-01,W.P. Putrajaya,diploma,6
2020-01-01,W.P. Putrajaya,diploma,6
2020-01-01,Malaysia,tertiary,94
2021-01-01,Malaysia,tertiary,116
2023-01-01,Malaysia,tertiary,160
2020-01-01,Malaysia,tertiary,94
2019-01-01,Malaysia,tertiary,129
2018-01-01,Malaysia,tertiary,114
2017-01-01,Malaysia,tertiary,113
2016-01-01,Malaysia,tertiary,96
2021-01-01,Johor,tertiary,14
