series,date,domain,registrations
new_net,2007-11-01,.my,0
new_net,2007-12-01,.my,0
new_net,2008-01-01,.my,2676
new_net,2008-02-01,.my,1048
new_net,2008-03-01,.my,2680
new_net,2008-04-01,.my,3519
new_net,2008-05-01,.my,1044
new_net,2008-06-01,.my,659
new_net,2008-07-01,.my,594
new_net,2008-08-01,.my,591
new_net,2008-09-01,.my,386
new_net,2008-10-01,.my,403
new_net,2008-11-01,.my,404
new_net,2008-12-01,.my,418
new_net,2009-01-01,.my,362
new_net,2009-02-01,.my,613
new_net,2009-03-01,.my,59
new_net,2009-04-01,.my,422
new_net,2009-05-01,.my,-302
new_net,2009-06-01,.my,-387
new_net,2009-07-01,.my,447
new_net,2009-08-01,.my,703
new_net,2009-09-01,.my,595
new_net,2009-10-01,.my,311
new_net,2009-11-01,.my,481
new_net,2009-12-01,.my,477
new_net,2010-01-01,.my,353
new_net,2010-02-01,.my,379
new_net,2010-03-01,.my,803
new_net,2010-04-01,.my,448
new_net,2010-05-01,.my,204
new_net,2010-06-01,.my,109
new_net,2010-07-01,.my,150
new_net,2010-08-01,.my,719
new_net,2010-09-01,.my,360
new_net,2010-10-01,.my,59
new_net,2010-11-01,.my,684
new_net,2010-12-01,.my,726
new_net,2011-01-01,.my,375
new_net,2011-02-01,.my,377
new_net,2011-03-01,.my,363
new_net,2011-04-01,.my,265
new_net,2011-05-01,.my,80
new_net,2011-06-01,.my,298
new_net,2011-07-01,.my,208
new_net,2011-08-01,.my,663
new_net,2011-09-01,.my,1234
new_net,2011-10-01,.my,618
new_net,2011-11-01,.my,809
new_net,2011-12-01,.my,10540
new_net,2012-01-01,.my,14188
new_net,2012-02-01,.my,26152
new_net,2012-03-01,.my,1259
new_net,2012-04-01,.my,482
new_net,2012-05-01,.my,343
new_net,2012-06-01,.my,1426
new_net,2012-07-01,.my,506
new_net,2012-08-01,.my,883
new_net,2012-09-01,.my,468
new_net,2012-10-01,.my,813
new_net,2012-11-01,.my,548
new_net,2012-12-01,.my,1370
new_net,2013-01-01,.my,2385
