date,category,function,value
1999-01-01,economy,agriculture,47
1999-04-01,economy,agriculture,232
1999-07-01,economy,agriculture,270
1999-10-01,economy,agriculture,539
2000-01-01,economy,agriculture,135
2000-04-01,economy,agriculture,297
2000-07-01,economy,agriculture,126
2000-10-01,economy,agriculture,624
2001-01-01,economy,agriculture,126
2001-04-01,economy,agriculture,207
2001-07-01,economy,agriculture,380
2001-10-01,economy,agriculture,681
2002-01-01,economy,agriculture,100
2002-04-01,economy,agriculture,368
2002-07-01,economy,agriculture,285
2002-10-01,economy,agriculture,610
2003-01-01,economy,agriculture,279
2003-04-01,economy,agriculture,306
2003-07-01,economy,agriculture,372
2003-10-01,economy,agriculture,663
2004-01-01,economy,agriculture,449
2004-04-01,economy,agriculture,461
2004-07-01,economy,agriculture,497
2004-10-01,economy,agriculture,1474
2005-01-01,economy,agriculture,212
2005-04-01,economy,agriculture,469
2005-07-01,economy,agriculture,500
2005-10-01,economy,agriculture,1301
2006-01-01,economy,agriculture,213
2006-04-01,economy,agriculture,535
2006-07-01,economy,agriculture,772
2006-10-01,economy,agriculture,2479
2007-01-01,economy,agriculture,422
2007-04-01,economy,agriculture,839
2007-07-01,economy,agriculture,634
2007-10-01,economy,agriculture,1947
2008-01-01,economy,agriculture,672
2008-04-01,economy,agriculture,788
2008-07-01,economy,agriculture,1310
2008-10-01,economy,agriculture,1415
2009-01-01,economy,agriculture,874
2009-04-01,economy,agriculture,1314
2009-07-01,economy,agriculture,1361
2009-10-01,economy,agriculture,1958
2010-01-01,economy,agriculture,722
2010-04-01,economy,agriculture,850
2010-07-01,economy,agriculture,1466
2010-10-01,economy,agriculture,-118
2011-01-01,economy,agriculture,128
2011-04-01,economy,agriculture,200
2011-07-01,economy,agriculture,224
2011-10-01,economy,agriculture,576
2012-01-01,economy,agriculture,220
2012-04-01,economy,agriculture,161
2012-07-01,economy,agriculture,587
2012-10-01,economy,agriculture,938
2013-01-01,economy,agriculture,689
2013-04-01,economy,agriculture,319
2013-07-01,economy,agriculture,638
2013-10-01,economy,agriculture,1046
2014-01-01,economy,agriculture,642
2014-04-01,economy,agriculture,408
2014-07-01,economy,agriculture,669
2014-10-01,economy,agriculture,1156
2015-01-01,economy,agriculture,719
2015-04-01,economy,agriculture,382
2015-07-01,economy,agriculture,884
2015-10-01,economy,agriculture,1121
2016-01-01,economy,agriculture,564
2016-04-01,economy,agriculture,465
2016-07-01,economy,agriculture,508
2016-10-01,economy,agriculture,1365
2017-01-01,economy,agriculture,554
2017-04-01,economy,agriculture,260
2017-07-01,economy,agriculture,535
2017-10-01,economy,agriculture,870
2018-01-01,economy,agriculture,543
2018-04-01,economy,agriculture,285
2018-07-01,economy,agriculture,333
2018-10-01,economy,agriculture,973
