strata,date,division,index
urban,2025-08-01,overall,135.8
urban,2025-09-01,overall,136.2
urban,2025-10-01,overall,136.1
urban,2025-11-01,overall,136.1
urban,2025-12-01,overall,136.4
urban,2026-01-01,overall,136.6
urban,2026-02-01,overall,136.9
urban,2026-03-01,overall,137.4
urban,2026-04-01,overall,137.9
urban,2026-05-01,overall,138.0
urban,2026-06-01,overall,138.0
urban,2026-07-01,overall,138.1
rural,2010-01-01,overall,99.4
rural,2010-02-01,overall,99.3
rural,2010-03-01,overall,99.4
rural,2010-04-01,overall,99.4
rural,2010-05-01,overall,99.6
rural,2010-06-01,overall,99.7
rural,2010-07-01,overall,99.9
rural,2010-08-01,overall,100.3
rural,2010-09-01,overall,100.3
rural,2010-10-01,overall,100.6
rural,2010-11-01,overall,100.8
rural,2010-12-01,overall,101.3
rural,2011-01-01,overall,101.9
rural,2011-02-01,overall,102.3
rural,2011-03-01,overall,102.4
rural,2011-04-01,overall,102.6
rural,2011-05-01,overall,102.9
rural,2011-06-01,overall,103.1
rural,2011-07-01,overall,103.3
rural,2011-08-01,overall,103.5
rural,2011-09-01,overall,103.7
rural,2011-10-01,overall,103.9
rural,2011-11-01,overall,103.9
rural,2011-12-01,overall,104.1
rural,2012-01-01,overall,104.4
rural,2012-02-01,overall,104.3
rural,2012-03-01,overall,104.3
rural,2012-04-01,overall,104.2
rural,2012-05-01,overall,104.6
rural,2012-06-01,overall,104.8
rural,2012-07-01,overall,104.7
rural,2012-08-01,overall,104.8
rural,2012-09-01,overall,104.9
rural,2012-10-01,overall,105.1
rural,2012-11-01,overall,105.2
rural,2012-12-01,overall,105.3
rural,2013-01-01,overall,105.6
rural,2013-02-01,overall,105.8
rural,2013-03-01,overall,105.9
rural,2013-04-01,overall,106.0
rural,2013-05-01,overall,106.1
rural,2013-06-01,overall,106.3
rural,2013-07-01,overall,106.6
rural,2013-08-01,overall,106.7
rural,2013-09-01,overall,107.6
rural,2013-10-01,overall,108.1
rural,2013-11-01,overall,108.4
rural,2013-12-01,overall,108.7
rural,2014-01-01,overall,108.9
rural,2014-02-01,overall,109.2
rural,2014-03-01,overall,109.3
rural,2014-04-01,overall,109.3
rural,2014-05-01,overall,109.4
rural,2014-06-01,overall,109.5
rural,2014-07-01,overall,109.7
rural,2014-08-01,overall,109.8
rural,2014-09-01,overall,110.0
rural,2014-10-01,overall,110.6
rural,2014-11-01,overall,111.1
rural,2014-12-01,overall,111.2
rural,2015-01-01,overall,109.8
rural,2015-02-01,overall,109.0
rural,2015-03-01,overall,110.1
rural,2015-04-01,overall,110.9
rural,2015-05-01,overall,111.3
rural,2015-06-01,overall,111.9
rural,2015-07-01,overall,112.7
rural,2015-08-01,overall,112.6
rural,2015-09-01,overall,112.3
rural,2015-10-01,overall,112.8
rural,2015-11-01,overall,113.6
rural,2015-12-01,overall,113.5
rural,2016-01-01,overall,113.1
rural,2016-02-01,overall,113.0
rural,2016-03-01,overall,112.3
rural,2016-04-01,overall,112.8
rural,2016-05-01,overall,113.0
rural,2016-06-01,overall,113.3
rural,2016-07-01,overall,113.7
rural,2016-08-01,overall,113.9
rural,2016-09-01,overall,113.6
rural,2016-10-01,overall,113.9
rural,2016-11-01,overall,115.1
rural,2016-12-01,overall,115.1
rural,2017-01-01,overall,116.5
rural,2017-02-01,overall,117.9
rural,2017-03-01,overall,117.8
rural,2017-04-01,overall,117.4
rural,2017-05-01,overall,117.2
rural,2017-06-01,overall,117.0
rural,2017-07-01,overall,117.0
rural,2017-08-01,overall,118.0
rural,2017-09-01,overall,118.3
rural,2017-10-01,overall,118.1
rural,2017-11-01,overall,118.9
rural,2017-12-01,overall,119.1
rural,2018-01-01,overall,119.4
rural,2018-02-01,overall,119.3
rural,2018-03-01,overall,118.9
rural,2018-04-01,overall,118.8
rural,2018-05-01,overall,119.0
rural,2018-06-01,overall,118.0
rural,2018-07-01,overall,118.1
rural,2018-08-01,overall,118.3
rural,2018-09-01,overall,118.5
rural,2018-10-01,overall,118.6
rural,2018-11-01,overall,118.8
rural,2018-12-01,overall,119.0
rural,2019-01-01,overall,118.4
rural,2019-02-01,overall,118.5
rural,2019-03-01,overall,118.8
rural,2019-04-01,overall,118.7
rural,2019-05-01,overall,119.1
rural,2019-06-01,overall,119.1
rural,2019-07-01,overall,119.2
rural,2019-08-01,overall,119.4
rural,2019-09-01,overall,119.4
rural,2019-10-01,overall,119.5
rural,2019-11-01,overall,119.5
rural,2019-12-01,overall,119.7
rural,2020-01-01,overall,119.8
rural,2020-02-01,overall,119.8
rural,2020-03-01,overall,118.3
rural,2020-04-01,overall,114.8
rural,2020-05-01,overall,115.1
rural,2020-06-01,overall,116.5
rural,2020-07-01,overall,117.3
rural,2020-08-01,overall,117.2
rural,2020-09-01,overall,117.2
rural,2020-10-01,overall,117.2
rural,2020-11-01,overall,117.0
rural,2020-12-01,overall,117.8
rural,2021-01-01,overall,119.2
rural,2021-02-01,overall,119.7
rural,2021-03-01,overall,120.1
rural,2021-04-01,overall,120.4
rural,2021-05-01,overall,120.3
rural,2021-06-01,overall,120.4
rural,2021-07-01,overall,119.8
rural,2021-08-01,overall,119.8
rural,2021-09-01,overall,120.1
rural,2021-10-01,overall,120.8
rural,2021-11-01,overall,121.1
rural,2021-12-01,overall,121.5
rural,2022-01-01,overall,121.8
rural,2022-02-01,overall,122.0
rural,2022-03-01,overall,122.3
rural,2022-04-01,overall,122.4
rural,2022-05-01,overall,122.9
rural,2022-06-01,overall,123.5
rural,2022-07-01,overall,123.8
rural,2022-08-01,overall,124.1
rural,2022-09-01,overall,124.2
rural,2022-10-01,overall,124.4
rural,2022-11-01,overall,124.8
rural,2022-12-01,overall,124.9
rural,2023-01-01,overall,125.1
rural,2023-02-01,overall,125.5
rural,2023-03-01,overall,125.7
rural,2023-04-01,overall,125.6
rural,2023-05-01,overall,125.8
rural,2023-06-01,overall,125.9
rural,2023-07-01,overall,126.1
rural,2023-08-01,overall,126.3
rural,2023-09-01,overall,126.3
rural,2023-10-01,overall,126.4
rural,2023-11-01,overall,126.6
rural,2023-12-01,overall,126.8
rural,2024-01-01,overall,127.1
rural,2024-02-01,overall,127.6
rural,2024-03-01,overall,127.7
rural,2024-04-01,overall,127.8
rural,2024-05-01,overall,128.1
rural,2024-06-01,overall,128.3
rural,2024-07-01,overall,128.5
rural,2024-08-01,overall,128.5
rural,2024-09-01,overall,128.5
rural,2024-10-01,overall,128.6
rural,2024-11-01,overall,128.6
rural,2024-12-01,overall,128.6
rural,2025-01-01,overall,128.8
rural,2025-02-01,overall,129.1
rural,2025-03-01,overall,129.2
rural,2025-04-01,overall,129.2
rural,2025-05-01,overall,129.4
rural,2025-06-01,overall,129.5
rural,2025-07-01,overall,129.4
rural,2025-08-01,overall,129.7
rural,2025-09-01,overall,130.0
rural,2025-10-01,overall,129.8
rural,2025-11-01,overall,129.9
rural,2025-12-01,overall,130.3
rural,2026-01-01,overall,130.5
rural,2026-02-01,overall,130.9
rural,2026-03-01,overall,131.3
rural,2026-04-01,overall,131.5
rural,2026-05-01,overall,131.7
rural,2026-06-01,overall,131.7
rural,2026-07-01,overall,131.6
urban,2010-01-01,01,98.9
urban,2010-02-01,01,99.0
urban,2010-03-01,01,99.0
urban,2010-04-01,01,99.1
urban,2010-05-01,01,99.5
urban,2010-06-01,01,100.0
urban,2010-07-01,01,100.3
urban,2010-08-01,01,100.5
urban,2010-09-01,01,100.6
urban,2010-10-01,01,100.6
urban,2010-11-01,01,101.1
urban,2010-12-01,01,101.4
urban,2011-01-01,01,102.6
urban,2011-02-01,01,103.8
urban,2011-03-01,01,103.8
urban,2011-04-01,01,104.0
urban,2011-05-01,01,104.0
urban,2011-06-01,01,104.8
urban,2011-07-01,01,105.3
urban,2011-08-01,01,105.3
urban,2011-09-01,01,105.7
urban,2011-10-01,01,106.6
urban,2011-11-01,01,106.5
urban,2011-12-01,01,106.8
urban,2012-01-01,01,107.7
urban,2012-02-01,01,107.0
urban,2012-03-01,01,106.9
urban,2012-04-01,01,106.7
urban,2012-05-01,01,107.3
urban,2012-06-01,01,107.9
urban,2012-07-01,01,108.1
urban,2012-08-01,01,108.3
urban,2012-09-01,01,108.5
urban,2012-10-01,01,108.9
urban,2012-11-01,01,108.7
urban,2012-12-01,01,109.0
urban,2013-01-01,01,110.4
urban,2013-02-01,01,110.6
urban,2013-03-01,01,110.6
urban,2013-04-01,01,110.8
urban,2013-05-01,01,111.3
urban,2013-06-01,01,111.7
urban,2013-07-01,01,112.4
urban,2013-08-01,01,112.4
urban,2013-09-01,01,112.8
urban,2013-10-01,01,113.0
urban,2013-11-01,01,113.1
urban,2013-12-01,01,114.1
urban,2014-01-01,01,115.2
urban,2014-02-01,01,115.1
urban,2014-03-01,01,115.1
urban,2014-04-01,01,115.1
urban,2014-05-01,01,115.2
urban,2014-06-01,01,115.8
urban,2014-07-01,01,116.3
urban,2014-08-01,01,116.4
urban,2014-09-01,01,116.6
urban,2014-10-01,01,116.4
urban,2014-11-01,01,116.7
urban,2014-12-01,01,117.1
urban,2015-01-01,01,118.7
urban,2015-02-01,01,118.5
urban,2015-03-01,01,118.1
urban,2015-04-01,01,119.0
urban,2015-05-01,01,119.6
urban,2015-06-01,01,120.1
urban,2015-07-01,01,121.1
urban,2015-08-01,01,121.8
urban,2015-09-01,01,122.2
urban,2015-10-01,01,122.4
urban,2015-11-01,01,122.0
urban,2015-12-01,01,122.9
urban,2016-01-01,01,123.7
urban,2016-02-01,01,124.5
urban,2016-03-01,01,124.4
urban,2016-04-01,01,124.4
urban,2016-05-01,01,124.8
urban,2016-06-01,01,125.4
urban,2016-07-01,01,125.8
urban,2016-08-01,01,126.2
urban,2016-09-01,01,125.9
urban,2016-10-01,01,125.5
urban,2016-11-01,01,126.4
urban,2016-12-01,01,127.2
urban,2017-01-01,01,128.3
urban,2017-02-01,01,129.6
urban,2017-03-01,01,129.1
urban,2017-04-01,01,129.3
urban,2017-05-01,01,129.9
urban,2017-06-01,01,130.4
urban,2017-07-01,01,130.8
urban,2017-08-01,01,131.2
urban,2017-09-01,01,131.3
urban,2017-10-01,01,131.1
urban,2017-11-01,01,131.5
urban,2017-12-01,01,132.5
urban,2018-01-01,01,133.4
urban,2018-02-01,01,133.6
urban,2018-03-01,01,132.9
urban,2018-04-01,01,132.6
urban,2018-05-01,01,132.9
urban,2018-06-01,01,131.4
urban,2018-07-01,01,131.8
urban,2018-08-01,01,131.9
urban,2018-09-01,01,132.1
urban,2018-10-01,01,132.9
urban,2018-11-01,01,133.2
urban,2018-12-01,01,133.7
urban,2019-01-01,01,134.9
urban,2019-02-01,01,135.2
urban,2019-03-01,01,134.6
urban,2019-04-01,01,134.4
urban,2019-05-01,01,134.7
urban,2019-06-01,01,134.8
urban,2019-07-01,01,135.2
urban,2019-08-01,01,135.5
urban,2019-09-01,01,135.3
urban,2019-10-01,01,135.4
urban,2019-11-01,01,135.5
urban,2019-12-01,01,136.0
urban,2020-01-01,01,136.3
urban,2020-02-01,01,136.4
urban,2020-03-01,01,136.2
urban,2020-04-01,01,136.1
urban,2020-05-01,01,136.5
urban,2020-06-01,01,137.1
urban,2020-07-01,01,137.2
urban,2020-08-01,01,137.5
urban,2020-09-01,01,137.4
urban,2020-10-01,01,137.6
urban,2020-11-01,01,137.4
urban,2020-12-01,01,138.1
urban,2021-01-01,01,138.4
urban,2021-02-01,01,138.3
urban,2021-03-01,01,138.4
urban,2021-04-01,01,138.7
urban,2021-05-01,01,138.5
urban,2021-06-01,01,138.9
urban,2021-07-01,01,139.0
urban,2021-08-01,01,139.0
urban,2021-09-01,01,139.8
urban,2021-10-01,01,140.2
urban,2021-11-01,01,141.1
urban,2021-12-01,01,142.6
urban,2022-01-01,01,143.5
urban,2022-02-01,01,143.8
urban,2022-03-01,01,144.2
urban,2022-04-01,01,144.8
urban,2022-05-01,01,146.2
urban,2022-06-01,01,147.9
urban,2022-07-01,01,149.0
urban,2022-08-01,01,149.5
urban,2022-09-01,01,150.0
urban,2022-10-01,01,150.8
urban,2022-11-01,01,152.0
urban,2022-12-01,01,152.9
urban,2023-01-01,01,153.8
urban,2023-02-01,01,154.5
urban,2023-03-01,01,154.6
urban,2023-04-01,01,154.4
urban,2023-05-01,01,155.2
urban,2023-06-01,01,155.3
urban,2023-07-01,01,155.9
urban,2023-08-01,01,156.1
urban,2023-09-01,01,156.2
urban,2023-10-01,01,156.4
urban,2023-11-01,01,155.9
urban,2023-12-01,01,156.4
urban,2024-01-01,01,156.8
urban,2024-02-01,01,157.4
urban,2024-03-01,01,157.4
urban,2024-04-01,01,157.6
urban,2024-05-01,01,158.0
urban,2024-06-01,01,158.5
urban,2024-07-01,01,158.6
urban,2024-08-01,01,158.7
urban,2024-09-01,01,158.8
urban,2024-10-01,01,160.2
urban,2024-11-01,01,160.2
urban,2024-12-01,01,161.0
urban,2025-01-01,01,161.3
urban,2025-02-01,01,161.6
urban,2025-03-01,01,161.6
urban,2025-04-01,01,161.6
urban,2025-05-01,01,161.7
urban,2025-06-01,01,162.0
urban,2025-07-01,01,162.0
urban,2025-08-01,01,162.1
urban,2025-09-01,01,162.4
urban,2025-10-01,01,162.7
urban,2025-11-01,01,162.7
urban,2025-12-01,01,163.5
urban,2026-01-01,01,163.8
urban,2026-02-01,01,163.7
urban,2026-03-01,01,163.5
urban,2026-04-01,01,163.7
urban,2026-05-01,01,164.0
urban,2026-06-01,01,164.4
urban,2026-07-01,01,164.8
rural,2010-01-01,01,99.3
rural,2010-02-01,01,99.1
rural,2010-03-01,01,99.1
rural,2010-04-01,01,99.2
rural,2010-05-01,01,99.5
rural,2010-06-01,01,99.9
rural,2010-07-01,01,100.0
rural,2010-08-01,01,100.5
rural,2010-09-01,01,100.4
rural,2010-10-01,01,100.6
rural,2010-11-01,01,101.1
rural,2010-12-01,01,101.4
rural,2011-01-01,01,102.7
rural,2011-02-01,01,103.3
rural,2011-03-01,01,103.6
rural,2011-04-01,01,103.7
rural,2011-05-01,01,104.0
rural,2011-06-01,01,104.4
rural,2011-07-01,01,104.8
rural,2011-08-01,01,104.8
rural,2011-09-01,01,105.2
rural,2011-10-01,01,105.7
rural,2011-11-01,01,105.7
rural,2011-12-01,01,106.1
rural,2012-01-01,01,107.0
rural,2012-02-01,01,106.1
rural,2012-03-01,01,106.1
rural,2012-04-01,01,105.8
rural,2012-05-01,01,106.5
rural,2012-06-01,01,107.2
rural,2012-07-01,01,107.1
rural,2012-08-01,01,107.1
rural,2012-09-01,01,106.9
rural,2012-10-01,01,107.3
rural,2012-11-01,01,107.5
rural,2012-12-01,01,107.8
rural,2013-01-01,01,108.6
rural,2013-02-01,01,109.1
rural,2013-03-01,01,109.1
rural,2013-04-01,01,109.3
rural,2013-05-01,01,109.5
rural,2013-06-01,01,109.9
rural,2013-07-01,01,110.9
rural,2013-08-01,01,110.5
rural,2013-09-01,01,110.8
rural,2013-10-01,01,110.9
rural,2013-11-01,01,111.3
rural,2013-12-01,01,112.3
rural,2014-01-01,01,112.6
rural,2014-02-01,01,112.7
rural,2014-03-01,01,112.9
rural,2014-04-01,01,112.8
rural,2014-05-01,01,112.6
rural,2014-06-01,01,113.2
rural,2014-07-01,01,113.5
rural,2014-08-01,01,113.5
rural,2014-09-01,01,113.8
rural,2014-10-01,01,113.5
rural,2014-11-01,01,113.8
rural,2014-12-01,01,114.4
rural,2015-01-01,01,115.2
rural,2015-02-01,01,114.9
rural,2015-03-01,01,114.7
rural,2015-04-01,01,115.2
rural,2015-05-01,01,115.8
rural,2015-06-01,01,116.0
rural,2015-07-01,01,116.8
rural,2015-08-01,01,117.1
rural,2015-09-01,01,117.3
rural,2015-10-01,01,117.3
rural,2015-11-01,01,117.2
rural,2015-12-01,01,118.0
rural,2016-01-01,01,118.6
rural,2016-02-01,01,119.1
rural,2016-03-01,01,119.0
rural,2016-04-01,01,118.9
rural,2016-05-01,01,119.2
rural,2016-06-01,01,120.0
rural,2016-07-01,01,120.3
rural,2016-08-01,01,120.4
rural,2016-09-01,01,120.0
rural,2016-10-01,01,119.6
rural,2016-11-01,01,120.5
rural,2016-12-01,01,121.3
rural,2017-01-01,01,122.4
rural,2017-02-01,01,123.2
rural,2017-03-01,01,122.9
rural,2017-04-01,01,122.8
rural,2017-05-01,01,123.5
rural,2017-06-01,01,124.1
rural,2017-07-01,01,124.4
rural,2017-08-01,01,124.9
rural,2017-09-01,01,124.8
rural,2017-10-01,01,124.4
rural,2017-11-01,01,124.9
rural,2017-12-01,01,125.7
rural,2018-01-01,01,126.2
rural,2018-02-01,01,126.1
rural,2018-03-01,01,125.7
rural,2018-04-01,01,125.5
rural,2018-05-01,01,125.4
rural,2018-06-01,01,124.7
rural,2018-07-01,01,124.9
rural,2018-08-01,01,125.0
rural,2018-09-01,01,124.8
rural,2018-10-01,01,125.0
rural,2018-11-01,01,125.1
rural,2018-12-01,01,125.6
rural,2019-01-01,01,126.6
rural,2019-02-01,01,126.5
rural,2019-03-01,01,125.8
rural,2019-04-01,01,125.5
rural,2019-05-01,01,126.3
rural,2019-06-01,01,126.2
rural,2019-07-01,01,126.5
rural,2019-08-01,01,126.8
rural,2019-09-01,01,126.4
rural,2019-10-01,01,126.5
rural,2019-11-01,01,126.4
rural,2019-12-01,01,126.9
rural,2020-01-01,01,127.2
rural,2020-02-01,01,127.2
rural,2020-03-01,01,127.2
rural,2020-04-01,01,126.8
rural,2020-05-01,01,127.1
rural,2020-06-01,01,127.7
rural,2020-07-01,01,127.7
rural,2020-08-01,01,127.6
rural,2020-09-01,01,127.5
rural,2020-10-01,01,127.6
rural,2020-11-01,01,127.7
rural,2020-12-01,01,128.3
rural,2021-01-01,01,128.5
rural,2021-02-01,01,128.8
rural,2021-03-01,01,128.7
rural,2021-04-01,01,129.3
rural,2021-05-01,01,129.0
rural,2021-06-01,01,129.4
rural,2021-07-01,01,129.4
rural,2021-08-01,01,129.5
rural,2021-09-01,01,130.3
rural,2021-10-01,01,130.4
rural,2021-11-01,01,130.7
rural,2021-12-01,01,131.7
rural,2022-01-01,01,132.5
rural,2022-02-01,01,132.6
rural,2022-03-01,01,132.9
rural,2022-04-01,01,133.2
rural,2022-05-01,01,134.0
rural,2022-06-01,01,135.3
rural,2022-07-01,01,135.9
rural,2022-08-01,01,136.2
rural,2022-09-01,01,136.5
rural,2022-10-01,01,137.0
rural,2022-11-01,01,137.7
rural,2022-12-01,01,138.2
rural,2023-01-01,01,138.7
rural,2023-02-01,01,139.3
rural,2023-03-01,01,139.7
rural,2023-04-01,01,139.4
rural,2023-05-01,01,139.8
rural,2023-06-01,01,139.9
rural,2023-07-01,01,140.3
rural,2023-08-01,01,140.4
rural,2023-09-01,01,140.4
rural,2023-10-01,01,140.6
rural,2023-11-01,01,140.6
rural,2023-12-01,01,141.1
rural,2024-01-01,01,141.8
rural,2024-02-01,01,141.8
rural,2024-03-01,01,141.5
rural,2024-04-01,01,141.6
rural,2024-05-01,01,142.0
rural,2024-06-01,01,142.3
rural,2024-07-01,01,142.4
rural,2024-08-01,01,142.4
rural,2024-09-01,01,142.5
rural,2024-10-01,01,143.2
rural,2024-11-01,01,143.2
rural,2024-12-01,01,143.7
rural,2025-01-01,01,143.9
rural,2025-02-01,01,144.1
rural,2025-03-01,01,144.2
rural,2025-04-01,01,144.0
rural,2025-05-01,01,143.9
rural,2025-06-01,01,144.1
rural,2025-07-01,01,144.0
rural,2025-08-01,01,144.1
rural,2025-09-01,01,144.5
rural,2025-10-01,01,144.7
rural,2025-11-01,01,144.6
rural,2025-12-01,01,145.5
rural,2026-01-01,01,145.7
rural,2026-02-01,01,145.8
rural,2026-03-01,01,145.5
rural,2026-04-01,01,145.3
rural,2026-05-01,01,145.7
rural,2026-06-01,01,146.0
rural,2026-07-01,01,146.4
urban,2010-01-01,02,98.3
urban,2010-02-01,02,98.3
urban,2010-03-01,02,98.4
urban,2010-04-01,02,98.4
urban,2010-05-01,02,98.5
urban,2010-06-01,02,98.6
urban,2010-07-01,02,98.7
urban,2010-08-01,02,98.7
urban,2010-09-01,02,98.7
urban,2010-10-01,02,104.5
urban,2010-11-01,02,104.4
urban,2010-12-01,02,104.4
urban,2011-01-01,02,104.4
urban,2011-02-01,02,104.4
urban,2011-03-01,02,104.4
urban,2011-04-01,02,104.4
urban,2011-05-01,02,104.5
urban,2011-06-01,02,104.6
urban,2011-07-01,02,104.5
urban,2011-08-01,02,104.5
urban,2011-09-01,02,104.5
urban,2011-10-01,02,104.5
urban,2011-11-01,02,104.5
urban,2011-12-01,02,104.5
urban,2012-01-01,02,104.5
urban,2012-02-01,02,104.4
urban,2012-03-01,02,104.4
urban,2012-04-01,02,104.4
urban,2012-05-01,02,104.6
urban,2012-06-01,02,104.6
urban,2012-07-01,02,104.6
urban,2012-08-01,02,104.7
urban,2012-09-01,02,104.8
urban,2012-10-01,02,104.8
urban,2012-11-01,02,106.5
urban,2012-12-01,02,106.5
urban,2013-01-01,02,106.7
urban,2013-02-01,02,106.6
urban,2013-03-01,02,106.7
urban,2013-04-01,02,106.7
urban,2013-05-01,02,106.6
urban,2013-06-01,02,109.0
urban,2013-07-01,02,108.9
urban,2013-08-01,02,108.9
urban,2013-09-01,02,109.3
urban,2013-10-01,02,121.0
urban,2013-11-01,02,120.9
urban,2013-12-01,02,120.8
urban,2014-01-01,02,120.9
urban,2014-02-01,02,121.0
urban,2014-03-01,02,121.0
urban,2014-04-01,02,120.9
urban,2014-05-01,02,121.0
